Tm,#Dr_Defense,Plays/Drive_Defense,Yds/Drive_Defense,AvgStartingPosition_Defense,AvgDriveTime_Defense,Pts/Drive_Defense
Minnesota Vikings,166.0,6.3,35.3,31.8,175.0,2.33
Jacksonville Jaguars,174.0,5.7,29.4,28.7,164.0,1.37
Pittsburgh Steelers,174.0,5.2,23.7,28.3,143.0,1.28
New England Patriots,175.0,5.8,28.4,30.8,157.0,1.34
Houston Texans,178.0,5.6,30.5,30.2,163.0,1.79
New York Jets,178.0,5.5,27.3,29.5,155.0,1.41
Indianapolis Colts,178.0,6.0,33.1,30.7,169.0,1.92
Green Bay Packers,181.0,5.5,30.5,31.7,157.0,2.02
St. Louis Rams,181.0,5.8,29.5,32.4,157.0,1.94
San Diego Chargers,183.0,5.6,29.2,29.2,150.0,1.63
Philadelphia Eagles,183.0,5.8,28.0,29.8,167.0,1.39
Kansas City Chiefs,183.0,5.4,32.9,31.3,146.0,2.26
Oakland Raiders,183.0,6.0,32.3,31.0,174.0,2.23
Atlanta Falcons,185.0,5.5,28.1,29.6,160.0,1.74
Dallas Cowboys,185.0,5.3,28.5,30.0,152.0,2.04
Carolina Panthers,187.0,5.6,28.8,29.9,155.0,1.71
Tampa Bay Buccaneers,187.0,5.3,24.3,32.0,155.0,1.41
Detroit Lions,189.0,5.8,28.5,29.1,163.0,1.71
New York Giants,191.0,5.4,26.9,32.9,156.0,1.82
Denver Broncos,192.0,4.9,23.1,32.4,137.0,1.53
Tennessee Titans,192.0,5.2,29.7,31.3,142.0,2.07
Buffalo Bills,192.0,5.3,22.0,31.1,148.0,1.37
Seattle Seahawks,193.0,5.6,29.1,32.2,155.0,1.91
New Orleans Saints,194.0,5.7,31.5,30.0,158.0,1.92
San Francisco 49ers,195.0,5.4,28.0,34.7,154.0,2.14
Cincinnati Bengals,195.0,5.5,27.4,31.7,151.0,1.65
Cleveland Browns,195.0,5.4,26.7,33.0,159.0,1.77
Washington Redskins,198.0,5.0,21.6,30.9,139.0,1.11
Baltimore Ravens,199.0,5.2,24.1,29.5,148.0,1.2
Arizona Cardinals,203.0,5.0,25.1,29.4,139.0,1.4
Miami Dolphins,205.0,5.1,23.8,31.0,148.0,1.39
Chicago Bears,216.0,5.0,25.0,32.5,141.0,1.4
Avg Team,187.8125,5.481249999999998,27.884375,30.89375,154.28125,1.69375
