Tm,#Dr_Defense,Plays/Drive_Defense,Yds/Drive_Defense,AvgStartingPosition_Defense,AvgDriveTime_Defense,Pts/Drive_Defense
Washington Redskins,169.0,6.3,35.7,27.8,175.0,2.12
Detroit Lions,170.0,6.3,35.7,27.1,184.0,2.24
New Orleans Saints,173.0,6.0,34.7,29.4,161.0,2.42
Chicago Bears,174.0,6.0,31.9,29.2,176.0,2.18
Cincinnati Bengals,176.0,6.0,31.8,27.2,167.0,1.81
Indianapolis Colts,176.0,6.0,34.7,26.6,161.0,2.13
Tennessee Titans,177.0,6.0,32.2,26.7,160.0,1.84
Minnesota Vikings,177.0,5.8,28.4,27.1,162.0,1.7
Dallas Cowboys,178.0,6.2,33.2,28.2,164.0,1.95
Cleveland Browns,179.0,6.1,35.0,30.2,176.0,2.43
New York Jets,181.0,5.7,30.2,29.7,157.0,2.03
Buffalo Bills,182.0,5.8,31.2,29.1,164.0,2.03
Tampa Bay Buccaneers,184.0,5.6,31.9,28.4,156.0,1.92
San Diego Chargers,186.0,5.7,29.9,31.8,156.0,2.08
Philadelphia Eagles,186.0,5.4,29.4,27.7,144.0,1.77
Kansas City Chiefs,191.0,6.1,32.8,26.7,165.0,1.7
Jacksonville Jaguars,191.0,5.6,26.8,31.6,155.0,1.95
Baltimore Ravens,191.0,5.3,26.8,28.4,147.0,1.64
Los Angeles Rams,192.0,5.5,28.0,27.3,153.0,1.85
Arizona Cardinals,193.0,5.4,25.2,29.9,149.0,1.73
Denver Broncos,196.0,5.6,25.7,28.9,156.0,1.44
Carolina Panthers,196.0,5.4,29.4,27.3,143.0,1.86
San Francisco 49ers,202.0,5.6,32.1,31.2,159.0,2.34
Green Bay Packers,202.0,6.0,35.2,28.4,163.0,2.33
Seattle Seahawks,203.0,5.7,28.5,28.4,163.0,1.62
Miami Dolphins,205.0,5.7,31.5,28.4,159.0,1.97
Oakland Raiders,206.0,5.2,30.6,26.0,145.0,1.98
Pittsburgh Steelers,207.0,5.8,31.1,28.9,165.0,1.88
Atlanta Falcons,208.0,6.2,34.3,26.4,165.0,2.24
New York Giants,211.0,5.5,27.7,28.3,154.0,1.49
Houston Texans,214.0,5.2,25.1,29.8,144.0,1.62
New England Patriots,215.0,5.6,28.8,25.5,152.0,1.42
Avg Team,190.34375,5.759374999999999,30.796875,28.36249999999999,159.375,1.9284375
