Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%
1,Cincinnati Bengals,16,448,6057,985,6.1,27,13,351,225,392,3347,28,14,7.9,165,563,2710,27,4.8,159,82,647,27,,
2,Houston Oilers,16,424,5205,1010,5.2,35,17,308,218,428,2956,21,18,6.5,148,558,2249,26,4.0,141,125,1150,19,,
3,Los Angeles Rams,16,407,5808,1057,5.5,34,16,333,312,522,3805,31,18,6.9,203,507,2003,16,4.0,114,78,587,16,,
4,Minnesota Vikings,16,406,5595,1068,5.2,30,12,318,294,520,3789,20,18,6.7,187,501,1806,22,3.6,112,118,998,19,,
5,Philadelphia Eagles,16,379,5430,1102,4.9,26,9,318,309,581,3485,25,17,5.5,179,464,1945,17,4.2,105,115,907,34,,
6,New York Jets,16,372,5215,1094,4.8,27,16,331,299,538,3083,20,11,5.3,181,514,2132,19,4.1,118,115,931,32,,
7,San Francisco 49ers,16,369,5900,1076,5.5,26,12,326,293,502,3377,21,14,6.2,167,527,2523,18,4.8,141,115,986,18,,
8,New York Giants,16,359,4955,1078,4.6,27,13,317,290,525,3266,22,14,5.6,168,493,1689,15,3.4,123,88,660,26,,
9,Indianapolis Colts,16,354,4870,982,5.0,30,8,311,222,403,2621,15,22,6.0,130,545,2249,23,4.1,153,89,657,28,,
10,Washington Redskins,16,345,5679,1053,5.4,46,21,307,327,592,4136,33,25,6.7,202,437,1543,8,3.5,88,96,817,17,,
11,Phoenix Cardinals,16,344,5807,1102,5.3,35,16,336,322,562,3780,26,19,6.1,195,480,2027,15,4.2,122,99,790,19,,
12,Seattle Seahawks,16,339,4842,983,4.9,34,14,291,245,437,2756,22,20,5.9,139,517,2086,14,4.0,125,89,790,27,,
13,Pittsburgh Steelers,16,336,5204,1030,5.1,39,19,292,226,489,2976,15,20,5.6,150,499,2228,17,4.5,120,99,803,22,,
14,Buffalo Bills,16,329,5315,1012,5.3,33,16,313,271,454,3182,15,17,6.6,161,528,2133,15,4.0,137,109,824,15,,
15,Denver Broncos,16,327,5506,1077,5.1,34,12,338,324,581,3691,24,22,6.0,196,464,1815,13,3.9,106,85,717,36,,
16,Los Angeles Raiders,16,325,4961,1035,4.8,33,13,283,219,496,3109,21,20,5.7,145,493,1852,15,3.8,116,102,762,22,,
17,Miami Dolphins,16,319,5721,963,5.9,35,12,321,363,621,4516,29,23,7.2,218,335,1205,11,3.6,77,99,845,26,,
18,New Orleans Saints,16,312,5131,1034,5.0,32,16,306,286,498,3085,21,16,5.9,179,512,2046,9,4.0,108,101,821,19,,
19,Chicago Bears,16,312,5317,1040,5.1,34,19,303,248,461,2998,13,15,6.2,134,555,2319,25,4.2,137,88,644,32,,
20,Cleveland Browns,16,304,5011,1013,4.9,33,16,294,313,537,3436,19,17,6.0,177,440,1575,10,3.6,93,110,875,24,,
21,Dallas Cowboys,16,265,5483,1059,5.2,40,13,311,307,555,3488,21,27,5.9,175,469,1995,10,4.3,112,141,1148,24,,
22,Tampa Bay Buccaneers,16,261,5061,998,5.1,52,16,295,253,512,3308,16,36,6.1,173,452,1753,11,3.9,91,102,816,31,,
23,Kansas City Chiefs,16,254,4844,1019,4.8,33,12,289,282,528,3131,16,21,5.5,161,448,1713,8,3.8,104,85,636,24,,
24,New England Patriots,16,250,4293,1000,4.3,38,10,264,199,389,2173,12,28,5.3,112,588,2120,17,3.6,126,87,665,26,,
25,Atlanta Falcons,16,244,4582,1002,4.6,37,18,257,250,481,2566,13,19,4.9,136,478,2016,11,4.2,106,67,542,15,,
26,Green Bay Packers,16,240,4664,1018,4.6,50,26,280,319,582,3285,13,24,5.2,175,385,1379,14,3.6,78,94,785,27,,
27,San Diego Chargers,16,231,4429,937,4.7,32,12,255,241,468,2388,11,20,4.8,116,438,2041,11,4.7,115,118,1039,24,,
28,Detroit Lions,16,220,3405,920,3.7,33,15,226,213,477,2162,13,18,4.1,141,391,1243,7,3.2,63,94,804,22,,
,Avg Team,,324.1,5153.2,1026.7,5.0,34.5,14.7,302.6,273.9,504.7,3210.5,19.9,19.8,5.9,164.8,485.0,1942.7,15.1,4.0,113.9,,,24.0,,
,League Total,,9075,144290,28747,5.0,965,412,8474,7670,14131,89895,556,553,5.9,4613,13581,54395,424,4.0,3190,2790,22646,671,,
,Avg Tm/G,,20.3,322.1,64.2,5.0,2.2,0.9,18.9,17.1,31.5,200.7,1.2,1.2,5.9,10.3,30.3,121.4,0.9,4.0,7.1,,,1.5,,
