Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%
1,San Diego Chargers,9,288,4048,617,6.6,20,8,233,208,338,2927,19,12,8.4,145,267,1121,15,4.2,72,64,530,16,,
2,Los Angeles Raiders,9,260,2955,582,5.1,24,9,175,154,267,1875,14,15,6.5,95,292,1080,15,3.7,65,86,840,15,,
3,New York Jets,9,245,3218,606,5.3,18,9,193,165,279,1901,16,9,6.3,95,304,1317,13,4.3,87,63,533,11,,
4,Cincinnati Bengals,9,232,3288,606,5.4,16,7,207,219,310,2339,12,9,6.9,123,269,949,13,3.5,63,56,475,21,,
5,Dallas Cowboys,9,226,3199,579,5.5,26,12,180,160,258,1886,16,14,6.7,99,296,1313,10,4.4,70,42,304,11,,
6,Green Bay Packers,9,226,2910,582,5.0,26,11,175,143,267,1829,12,15,6.1,97,283,1081,12,3.8,59,42,343,19,,
7,San Francisco 49ers,9,209,3242,587,5.5,21,10,183,215,348,2502,17,11,6.8,121,219,740,6,3.4,49,45,451,13,,
8,Pittsburgh Steelers,9,204,2970,583,5.1,25,9,171,141,275,1783,17,16,6.1,91,289,1187,7,4.1,69,59,459,11,,
9,Los Angeles Rams,9,200,3024,563,5.4,24,10,163,166,297,1999,11,14,6.4,90,251,1025,13,4.1,61,63,550,12,,
10,Miami Dolphins,9,198,2658,582,4.6,23,10,165,129,238,1314,8,13,5.3,66,333,1344,11,4.0,84,34,240,15,,
11,Philadelphia Eagles,9,191,2685,530,5.1,23,10,157,168,288,1856,12,13,5.8,100,211,829,11,3.9,48,38,253,9,,
12,Washington Redskins,9,190,2985,598,5.0,16,7,165,162,253,1845,13,9,6.5,87,315,1140,5,3.6,66,46,404,12,,
13,Minnesota Vikings,9,187,2879,601,4.8,17,5,167,187,334,1967,15,12,5.5,107,245,912,6,3.7,52,62,496,8,,
14,Atlanta Falcons,9,183,2963,610,4.9,21,10,190,176,275,1782,9,11,5.9,92,310,1181,12,3.8,79,77,655,19,,
15,Detroit Lions,9,181,2534,598,4.2,26,8,160,136,285,1512,12,18,4.8,83,283,1022,5,3.6,60,58,548,17,,
16,Kansas City Chiefs,9,176,2498,573,4.4,12,4,163,145,264,1555,10,8,5.1,79,269,943,3,3.5,71,43,372,13,,
17,New York Giants,9,164,2729,559,4.9,19,10,153,161,298,1887,10,9,6.0,96,244,842,7,3.5,47,47,369,10,,
18,Tampa Bay Buccaneers,9,158,2895,587,4.9,23,12,163,164,308,1943,9,11,6.1,105,268,952,6,3.6,52,38,297,6,,
19,Buffalo Bills,9,150,2927,604,4.8,26,9,180,149,273,1556,8,17,5.5,84,319,1371,9,4.3,83,69,582,13,,
20,Denver Broncos,9,148,2837,592,4.8,36,17,170,181,311,1819,8,19,5.4,103,257,1018,6,4.0,52,54,516,15,,
21,New England Patriots,9,143,2633,526,5.0,17,8,146,93,187,1286,12,9,6.4,63,324,1347,3,4.2,74,52,412,9,,
22,Chicago Bears,9,141,2493,571,4.4,19,8,153,141,262,1505,10,11,5.1,83,276,988,5,3.6,56,58,422,14,,
23,Cleveland Browns,9,140,2718,616,4.4,24,8,176,174,334,1845,9,16,5.1,96,256,873,7,3.4,64,59,461,16,,
24,Houston Oilers,9,136,2373,551,4.3,26,11,138,153,287,1574,12,15,4.8,81,225,799,5,3.6,52,52,424,5,,
25,St. Louis Cardinals,9,135,2542,579,4.4,16,10,162,129,240,1333,6,6,4.9,81,307,1209,10,3.9,71,56,528,10,,
26,New Orleans Saints,9,129,2655,602,4.4,24,10,173,137,248,1398,8,14,5.2,76,331,1257,8,3.8,79,63,514,18,,
27,Seattle Seahawks,9,127,2594,589,4.4,24,11,159,176,326,1799,9,13,5.0,89,227,795,4,3.5,51,59,523,19,,
28,Baltimore Colts,9,113,2483,596,4.2,21,11,152,142,283,1439,6,10,4.7,80,293,1044,4,3.6,62,52,433,10,,
,Avg Team,,181.4,2854.8,584.6,4.9,21.9,9.4,170.4,159.8,283.3,1794.9,11.4,12.5,5.8,93.1,277.3,1060.0,8.3,3.8,64.2,,,13.1,,
,League Total,,5080,79935,16369,4.9,613,264,4772,4474,7933,50256,320,349,5.8,2607,7763,29679,231,3.8,1798,1537,12934,367,,
,Avg Tm/G,,20.2,317.2,65.0,4.9,2.4,1.0,18.9,17.8,31.5,199.4,1.3,1.4,5.8,10.3,30.8,117.8,0.9,3.8,7.1,,,1.5,,
