Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%
1,San Francisco 49ers,16,442,6268,1021,6.1,25,14,350,339,483,4302,35,11,8.1,209,493,1966,14,4.0,124,109,922,17,,
2,Los Angeles Rams,16,426,6042,1027,5.9,29,11,321,308,523,4133,29,18,7.4,197,472,1909,19,4.0,107,102,823,17,,
3,Buffalo Bills,16,409,5853,1045,5.6,41,21,334,281,478,3589,32,20,7.0,177,532,2264,15,4.3,136,103,831,21,,
4,Cincinnati Bengals,16,404,6101,1083,5.6,32,19,348,288,513,3618,32,13,6.5,183,529,2483,17,4.7,136,85,637,29,,
5,Washington Redskins,16,386,6253,1116,5.6,37,20,338,337,581,4349,24,17,7.2,217,514,1904,14,3.7,101,105,881,20,,
6,New Orleans Saints,16,386,5328,999,5.3,31,12,304,284,461,3380,23,19,6.8,167,502,1948,19,3.9,108,90,676,29,,
7,Houston Oilers,16,365,5427,1028,5.3,33,17,327,295,496,3499,23,16,6.6,185,495,1928,16,3.9,112,149,1153,30,,
8,Denver Broncos,16,362,5093,1071,4.8,32,12,308,256,474,3001,21,20,5.8,163,554,2092,15,3.8,125,83,594,20,,
9,Green Bay Packers,16,362,5780,1045,5.5,33,13,342,354,600,4048,27,20,6.2,207,397,1732,13,4.4,114,81,666,21,,
10,Chicago Bears,16,358,5375,1028,5.2,42,17,302,267,484,3088,21,25,6.0,147,516,2287,22,4.4,136,95,846,19,,
11,Minnesota Vikings,16,351,5255,1053,5.0,33,14,326,272,499,3189,17,19,5.9,172,514,2066,12,4.0,126,119,974,28,,
12,New York Giants,16,348,4963,1046,4.7,30,14,298,248,444,3074,17,16,6.3,157,556,1889,17,3.4,118,83,675,23,,
13,Philadelphia Eagles,16,342,5320,1123,4.7,32,16,321,294,538,3112,23,16,5.3,171,540,2208,14,4.1,120,114,938,30,,
14,Cleveland Browns,16,334,5042,1011,5.0,30,15,285,309,529,3433,20,15,6.1,161,448,1609,14,3.6,101,128,973,23,,
15,Miami Dolphins,16,331,5546,1011,5.5,41,16,310,331,601,4216,26,25,6.9,201,400,1330,10,3.3,88,83,614,21,,
16,Tampa Bay Buccaneers,16,320,4842,1025,4.7,37,9,288,302,570,3335,23,28,5.4,174,412,1507,10,3.7,84,104,881,30,,
17,Kansas City Chiefs,16,318,5265,1017,5.2,41,18,304,259,435,3038,14,23,6.6,165,559,2227,18,4.0,120,116,878,19,,
18,Los Angeles Raiders,16,315,4989,912,5.5,34,12,259,201,414,2951,21,22,6.4,143,454,2038,9,4.5,93,132,1105,23,,
19,Detroit Lions,16,312,4992,928,5.4,48,24,274,229,450,2939,11,24,5.8,139,421,2053,23,4.9,117,121,977,18,,
20,Indianapolis Colts,16,298,4813,979,4.9,27,10,273,253,493,2960,18,17,5.7,140,458,1853,11,4.0,118,89,704,15,,
21,New England Patriots,16,297,5456,1129,4.8,39,12,335,302,610,3707,17,27,5.8,187,485,1749,12,3.6,114,63,509,34,,
22,Atlanta Falcons,16,279,4669,947,4.9,23,11,261,312,578,3514,17,12,5.6,173,318,1155,11,3.6,75,82,671,13,,
23,San Diego Chargers,16,266,4910,986,5.0,36,17,267,270,515,3037,15,19,5.5,149,432,1873,13,4.3,95,122,906,23,,
24,Pittsburgh Steelers,16,265,3996,955,4.2,31,18,244,210,404,2178,10,13,4.8,117,500,1818,17,3.6,106,116,986,21,,
25,Phoenix Cardinals,16,258,4641,986,4.7,44,14,262,279,523,3280,17,30,5.7,157,407,1361,10,3.3,83,113,856,22,,
26,New York Jets,16,253,5011,1032,4.9,41,17,292,338,570,3415,14,24,5.4,189,400,1596,11,4.0,91,116,953,12,,
27,Seattle Seahawks,16,241,4596,1010,4.6,37,14,290,316,559,3204,21,23,5.3,180,405,1392,5,3.4,86,79,738,24,,
28,Dallas Cowboys,16,204,4294,898,4.8,42,15,246,266,513,2885,14,27,5.3,145,355,1409,7,4.0,78,100,771,23,,
,Avg Team,,329.7,5218.6,1018.3,5.1,35.0,15.1,300.3,285.7,512.1,3374.1,20.8,20.0,6.1,170.4,466.7,1844.5,13.9,4.0,107.6,,,22.3,,
,League Total,,9232,146120,28511,5.1,981,422,8409,8000,14338,94474,582,559,6.1,4772,13068,51646,388,4.0,3012,2882,23138,625,,
,Avg Tm/G,,20.6,326.2,63.6,5.1,2.2,0.9,18.8,17.9,32.0,210.9,1.3,1.2,6.1,10.7,29.2,115.3,0.9,4.0,6.7,,,1.4,,
