Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%
1,Washington Redskins,16,541,6139,1127,5.4,18,7,353,278,463,3514,29,11,7.1,173,629,2625,30,4.2,165,90,776,15,,
2,Dallas Cowboys,16,479,5959,1110,5.4,39,14,342,346,554,3842,31,25,6.5,205,519,2117,21,4.1,109,99,847,28,,
3,Los Angeles Raiders,16,442,5686,1101,5.2,49,25,356,301,504,3446,31,24,6.2,181,542,2240,18,4.1,143,121,992,32,,
4,San Francisco 49ers,16,432,6054,1072,5.6,31,19,344,339,528,3797,27,12,6.8,199,511,2257,17,4.4,129,89,695,16,,
5,Green Bay Packers,16,429,6172,1007,6.1,50,18,340,311,526,4365,33,32,7.7,214,439,1807,15,4.1,99,80,648,27,,
6,Seattle Seahawks,16,403,5092,1042,4.9,38,20,300,251,449,2973,25,18,6.0,153,546,2119,19,3.9,131,102,890,16,,
7,Miami Dolphins,16,389,5195,1033,5.0,27,16,314,254,442,3045,28,11,6.5,151,568,2150,16,3.8,132,64,567,31,,
8,Kansas City Chiefs,16,386,5595,1074,5.2,38,19,314,369,641,4341,29,19,6.3,208,387,1254,13,3.2,83,113,911,23,,
9,St. Louis Cardinals,16,374,5145,1044,4.9,48,27,296,267,460,2868,29,21,5.5,147,525,2277,15,4.3,123,89,770,26,,
10,Atlanta Falcons,16,370,5628,1054,5.3,29,19,325,321,507,3404,24,10,6.1,190,492,2224,17,4.5,118,90,806,17,,
11,Los Angeles Rams,16,361,5474,1023,5.4,47,24,316,286,489,3221,23,23,6.3,150,511,2253,20,4.4,148,96,748,18,,
12,San Diego Chargers,16,358,6197,1086,5.7,55,22,361,369,635,4661,27,33,7.0,230,423,1536,16,3.6,106,115,961,25,,
13,Cleveland Browns,16,356,5583,1065,5.2,38,10,327,324,567,3661,27,28,6.1,186,465,1922,13,4.1,113,115,991,28,,
14,Pittsburgh Steelers,16,355,5014,1075,4.7,43,20,312,211,409,2404,15,23,5.2,141,614,2610,17,4.3,156,99,836,15,,
15,Detroit Lions,16,347,5136,1061,4.8,39,16,315,263,503,2955,19,23,5.4,156,513,2181,18,4.3,136,118,988,23,,
16,Cincinnati Bengals,16,346,5287,1036,5.1,33,15,327,290,454,3183,14,18,6.4,179,542,2104,24,3.9,127,99,837,21,,
17,New Orleans Saints,16,319,4938,1055,4.7,47,22,286,243,425,2477,14,25,5.4,136,595,2461,19,4.1,135,91,802,15,,
18,Minnesota Vikings,16,316,5019,1068,4.7,32,10,303,310,555,3211,15,22,5.4,169,470,1808,17,3.8,112,90,748,22,,
19,New York Jets,16,313,5493,1076,5.1,47,19,313,330,559,3425,21,28,5.7,171,474,2068,11,4.4,126,110,1059,16,,
20,Chicago Bears,16,311,5830,1083,5.4,36,14,308,255,447,3103,21,22,6.2,136,583,2727,14,4.7,154,107,869,18,,
21,Denver Broncos,16,302,4811,1025,4.7,41,19,292,254,499,3027,17,22,5.5,155,471,1784,15,3.8,99,100,804,38,,
22,Houston Oilers,16,288,4900,1033,4.7,47,18,295,260,482,2902,16,29,5.5,155,502,1998,16,4.0,120,84,784,20,,
23,Buffalo Bills,16,283,4823,1023,4.7,40,12,309,317,571,3087,30,28,5.1,171,415,1736,4,4.2,100,144,1094,38,,
24,New England Patriots,16,274,5311,995,5.3,38,20,284,220,412,2706,16,18,5.9,138,538,2605,19,4.8,130,90,815,16,,
25,New York Giants,16,267,5285,1130,4.7,58,27,296,284,575,3491,12,31,5.6,164,506,1794,9,3.5,104,113,1020,28,,
26,Baltimore Colts,16,264,5018,1025,4.9,33,11,272,188,377,2323,12,22,5.5,110,601,2695,10,4.5,146,120,986,16,,
27,Tampa Bay Buccaneers,16,241,4477,1005,4.5,37,13,249,300,528,3124,18,24,5.4,157,428,1353,9,3.2,72,94,832,20,,
28,Philadelphia Eagles,16,233,4534,945,4.8,36,18,253,252,486,3117,22,18,5.7,150,402,1417,5,3.5,91,79,637,12,,
,Avg Team,,349.3,5349.8,1052.6,5.1,39.8,17.6,310.8,285.5,501.7,3274.0,22.3,22.1,6.0,167.0,507.5,2075.8,15.6,4.1,121.7,,,22.1,,
,League Total,,9779,149795,29473,5.1,1114,494,8702,7993,14047,91673,625,620,6.0,4675,14211,58122,437,4.1,3407,2801,23713,620,,
,Avg Tm/G,,21.8,334.4,65.8,5.1,2.5,1.1,19.4,17.8,31.4,204.6,1.4,1.4,6.0,10.4,31.7,129.7,1.0,4.1,7.6,,,1.4,,
