Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%
1,Denver Broncos,16,472,5872,1068,5.5,21,10,340,287,513,3494,27,11,6.4,172,520,2378,18,4.6,138,116,1006,30,,
2,Green Bay Packers,16,422,5614,1008,5.6,32,16,325,309,523,3705,35,16,6.7,191,459,1909,9,4.2,103,93,718,31,,
3,Jacksonville Jaguars,16,394,5424,998,5.4,20,11,308,313,504,3704,20,9,6.8,187,454,1720,20,3.8,103,110,914,18,,
4,Detroit Lions,16,379,5798,1028,5.6,28,11,304,304,540,3334,19,17,5.7,166,447,2464,19,5.5,120,94,866,18,,
5,San Francisco 49ers,16,375,5112,999,5.1,20,9,294,278,432,3143,20,11,6.6,167,523,1969,16,3.8,106,115,979,21,,
6,Kansas City Chiefs,16,375,5064,1054,4.8,20,10,315,281,493,2893,20,10,5.5,163,529,2171,15,4.1,129,121,1035,23,,
7,Pittsburgh Steelers,16,372,5542,1058,5.2,33,14,326,253,466,3063,22,19,6.3,157,572,2479,19,4.3,154,95,861,15,,
8,New England Patriots,16,369,5014,960,5.2,22,7,267,321,532,3550,31,15,6.3,173,398,1464,6,3.7,71,99,845,23,,
9,Seattle Seahawks,16,365,5759,1049,5.5,32,11,331,359,609,3959,26,21,6.1,207,404,1800,13,4.5,98,109,911,26,,
10,Cincinnati Bengals,16,355,5282,1002,5.3,22,13,310,302,504,3316,21,9,6.0,171,452,1966,23,4.3,104,98,877,35,,
11,Minnesota Vikings,16,354,5354,1022,5.2,22,6,293,319,540,3313,26,16,5.8,177,449,2041,14,4.5,96,97,800,20,,
12,New York Jets,16,348,4727,1043,4.5,22,12,291,319,564,3242,20,10,5.3,173,431,1485,10,3.4,97,83,678,21,,
13,Miami Dolphins,16,339,5135,1028,5.0,20,8,311,332,576,3792,16,12,6.3,199,430,1343,18,3.1,87,93,783,25,,
14,Tennessee Oilers,16,333,4919,993,5.0,26,13,288,220,420,2505,15,13,5.5,136,541,2414,17,4.5,130,103,814,22,,
15,Washington Redskins,16,327,4998,1033,4.8,29,7,300,283,547,3383,22,22,5.8,192,453,1615,12,3.6,86,78,639,22,,
16,Baltimore Ravens,16,326,5291,1043,5.1,33,17,292,338,586,3702,25,16,5.9,176,420,1589,7,3.8,99,101,777,17,,
17,Oakland Raiders,16,324,5102,947,5.4,24,14,263,294,529,3514,29,10,6.0,170,360,1588,9,4.4,74,117,976,19,,
18,Atlanta Falcons,16,320,4716,980,4.8,24,13,281,273,484,3073,26,11,5.7,168,442,1643,8,3.7,88,101,773,25,,
19,Philadelphia Eagles,16,317,5590,1116,5.0,32,16,326,330,587,3647,22,16,5.6,203,465,1943,11,4.2,105,104,866,18,,
20,Indianapolis Colts,16,313,4869,1035,4.7,28,11,301,317,523,3142,16,17,5.4,171,450,1727,10,3.8,109,106,880,21,,
21,New York Giants,16,307,4513,1027,4.4,19,7,273,249,474,2525,16,12,5.0,124,521,1988,14,3.8,113,116,1005,36,,
22,Dallas Cowboys,16,304,4778,1015,4.7,23,11,279,314,553,3141,19,12,5.3,170,423,1637,6,3.9,82,116,1058,27,,
23,Tampa Bay Buccaneers,16,299,4376,915,4.8,23,11,249,224,404,2442,21,12,5.6,134,479,1934,15,4.0,88,77,660,27,,
24,St. Louis Rams,16,299,4761,1013,4.7,30,15,271,271,526,3198,14,15,5.6,161,443,1563,15,3.5,85,142,1065,25,,
25,Arizona Cardinals,16,283,4713,1075,4.4,42,20,295,317,602,3458,19,22,5.1,186,395,1255,9,3.2,79,93,775,30,,
26,San Diego Chargers,16,266,4505,1025,4.4,35,14,251,291,565,3089,12,21,5.0,160,409,1416,5,3.5,70,129,1101,21,,
27,Carolina Panthers,16,265,4615,1019,4.5,39,15,284,289,534,2845,17,24,4.9,170,441,1770,11,4.0,91,94,763,23,,
28,Chicago Bears,16,263,4990,1128,4.4,41,19,305,336,595,3244,14,22,5.1,188,490,1746,14,3.6,94,107,867,23,,
29,Buffalo Bills,16,255,4657,1014,4.6,42,17,268,293,546,2875,14,25,4.9,144,422,1782,12,4.2,98,92,742,26,,
30,New Orleans Saints,16,237,4045,925,4.4,55,22,229,228,458,2584,13,33,5.1,127,417,1461,9,3.5,78,101,811,24,,
,Avg Team,,331.9,5037.8,1020.7,4.9,28.6,12.7,292.3,294.8,524.3,3229.2,20.6,16.0,5.7,169.4,454.6,1808.7,12.8,4.0,99.2,,,23.7,,
,League Total,,9957,151135,30620,4.9,859,380,8770,8844,15729,96875,617,479,5.7,5083,13639,54260,384,4.0,2975,3100,25845,712,,
,Avg Tm/G,,20.7,314.9,63.8,4.9,1.8,0.8,18.3,18.4,32.8,201.8,1.3,1.0,5.7,10.6,28.4,113.0,0.8,4.0,6.2,,,1.5,,
