Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%
1,Miami Dolphins,16,513,6936,1070,6.5,28,10,387,367,572,5018,49,18,8.6,243,484,1918,18,4.0,115,67,527,29,,
2,San Francisco 49ers,16,475,6366,1057,6.0,22,12,356,312,496,3901,32,10,7.5,204,534,2465,21,4.6,138,100,884,14,,
3,Washington Redskins,16,426,5350,1121,4.8,28,15,339,286,485,3076,24,13,5.8,164,588,2274,20,3.9,154,80,723,21,,
4,St. Louis Cardinals,16,423,6345,1103,5.8,36,20,345,347,566,4257,28,16,6.9,200,488,2088,21,4.3,129,109,904,16,,
5,Seattle Seahawks,16,418,5068,1034,4.9,39,13,287,283,497,3423,32,26,6.4,171,495,1645,10,3.3,94,128,1179,22,,
6,San Diego Chargers,16,394,6297,1154,5.5,38,17,374,401,662,4643,25,21,6.7,240,456,1654,18,3.6,106,112,1023,28,,
7,Green Bay Packers,16,390,5449,1009,5.4,37,7,315,281,506,3430,30,30,6.3,168,461,2019,18,4.4,120,110,915,27,,
8,Pittsburgh Steelers,16,387,5420,1052,5.2,40,15,302,240,443,3241,25,25,6.8,167,574,2179,13,3.8,117,112,948,18,,
9,Los Angeles Raiders,16,368,5244,1061,4.9,48,20,301,266,491,3358,21,28,6.2,162,516,1886,19,3.7,114,143,1209,25,,
10,New England Patriots,16,362,5263,1048,5.0,29,15,315,292,500,3231,26,14,5.7,186,482,2032,15,4.2,104,86,674,25,,
11,Denver Broncos,16,353,4935,1018,4.8,34,17,299,263,475,2859,22,17,5.6,152,508,2076,12,4.1,121,78,636,26,,
12,Los Angeles Rams,16,346,5006,931,5.4,35,18,258,176,358,2142,16,17,5.5,100,541,2864,16,5.3,140,93,830,18,,
13,Cincinnati Bengals,16,339,5480,1081,5.1,39,17,339,306,496,3301,17,22,6.1,179,540,2179,18,4.0,135,85,693,25,,
14,Tampa Bay Buccaneers,16,335,5321,1091,4.9,43,20,344,334,563,3545,22,23,5.8,209,483,1776,17,3.7,114,118,875,21,,
15,New York Jets,16,332,5148,1044,4.9,34,13,310,272,488,2959,20,21,5.5,176,504,2189,17,4.3,118,96,779,16,,
16,Chicago Bears,16,325,5437,1100,4.9,31,16,297,226,390,2463,14,15,5.8,115,674,2974,22,4.4,164,114,851,18,,
17,Kansas City Chiefs,16,314,5095,1034,4.9,37,15,295,305,593,3568,21,22,5.7,178,408,1527,12,3.7,88,98,801,29,,
18,Dallas Cowboys,16,308,5320,1121,4.7,43,17,323,322,604,3606,19,26,5.5,202,469,1714,12,3.7,93,100,947,28,,
19,New York Giants,16,299,5292,1083,4.9,27,9,310,288,535,3632,22,18,6.2,198,493,1660,12,3.4,97,79,703,15,,
20,New Orleans Saints,16,298,5008,1044,4.8,41,13,298,246,476,2837,21,28,5.4,137,523,2171,9,4.2,131,101,849,30,,
21,Detroit Lions,16,283,5318,1038,5.1,36,14,306,298,531,3301,19,22,5.6,170,446,2017,13,4.5,118,138,1165,18,,
22,Atlanta Falcons,16,281,5044,1034,4.9,41,21,292,294,478,3050,14,20,5.6,151,489,1994,16,4.1,123,125,1011,18,,
23,Philadelphia Eagles,16,278,4698,1047,4.5,33,16,280,331,606,3360,19,17,5.0,176,381,1338,6,3.5,83,77,632,21,,
24,Minnesota Vikings,16,276,4716,1041,4.5,41,16,289,281,533,2872,18,25,4.8,150,444,1844,10,4.2,111,90,762,28,,
25,Cleveland Browns,16,250,4828,1039,4.6,39,16,295,273,495,3132,14,23,5.7,180,489,1696,10,3.5,89,111,928,26,,
26,Buffalo Bills,16,250,4341,1046,4.2,44,14,263,298,588,2698,18,30,4.2,149,398,1643,9,4.1,98,121,997,16,,
27,Houston Oilers,16,240,4884,969,5.0,31,16,284,282,487,3228,14,15,6.0,164,433,1656,13,3.8,95,99,813,25,,
28,Indianapolis Colts,16,239,4132,979,4.2,38,16,254,206,411,2107,13,22,4.5,117,510,2025,13,4.0,114,95,798,23,,
,Avg Team,,339.4,5276.5,1051.8,5.0,36.1,15.3,309.2,288.4,511.6,3294.2,22.0,20.9,5.9,171.7,493.3,1982.3,14.6,4.0,115.1,,,22.4,,
,League Total,,9502,147741,29449,5.0,1012,428,8657,8076,14325,92238,615,584,5.9,4808,13811,55503,410,4.0,3223,2865,24056,626,,
,Avg Tm/G,,21.2,329.8,65.7,5.0,2.3,1.0,19.3,18.0,32.0,205.9,1.4,1.3,5.9,10.7,30.8,123.9,0.9,4.0,7.2,,,1.4,,
