Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%
1,Green Bay Packers,16,456,5535,1053,5.3,24,11,338,328,548,3697,39,13,6.3,197,465,1838,9,4.0,118,92,714,23,,
2,New England Patriots,16,418,5369,1085,4.9,27,12,339,374,628,3901,27,15,5.9,206,427,1468,15,3.4,103,97,716,30,,
3,San Francisco 49ers,16,398,5506,1046,5.3,24,8,315,358,550,3659,24,16,6.2,188,454,1847,17,4.1,108,119,925,19,,
4,Denver Broncos,16,391,5791,1092,5.3,32,15,336,327,536,3429,26,17,6.0,180,525,2362,20,4.5,134,109,949,22,,
5,Cincinnati Bengals,16,372,5225,1088,4.8,25,9,332,316,563,3432,25,16,5.6,190,478,1793,14,3.8,114,90,678,28,,
6,Baltimore Ravens,16,371,5723,1024,5.6,33,13,338,335,570,3978,34,20,6.5,208,416,1745,10,4.2,108,94,818,22,,
7,Carolina Panthers,16,367,4812,1025,4.7,25,14,292,273,487,3083,22,11,5.9,160,502,1729,9,3.4,93,94,638,39,,
8,Washington Redskins,16,364,5229,960,5.4,18,7,307,270,471,3319,12,11,6.7,174,467,1910,27,4.1,106,95,740,27,,
9,Philadelphia Eagles,16,363,5627,1076,5.2,32,14,319,328,548,3745,19,18,6.4,196,489,1882,16,3.8,107,117,963,16,,
10,Houston Oilers,16,345,5048,972,5.2,30,15,287,272,463,3098,22,15,6.2,157,475,1950,12,4.1,110,91,812,20,,
11,Pittsburgh Steelers,16,344,5140,1002,5.1,33,14,296,246,456,2841,15,19,6.0,146,525,2299,18,4.4,138,83,665,12,,
12,Oakland Raiders,16,340,5252,1034,5.1,31,12,306,311,533,3078,28,19,5.3,172,456,2174,7,4.8,98,156,1266,36,,
13,Miami Dolphins,16,339,5165,1000,5.2,24,13,294,300,504,3543,22,11,6.6,173,460,1622,14,3.5,92,111,852,29,,
14,Jacksonville Jaguars,16,325,5760,1038,5.5,30,10,325,353,557,4110,19,20,6.8,208,431,1650,13,3.8,90,127,1006,27,,
15,Buffalo Bills,16,319,5119,1094,4.7,37,13,294,279,483,3218,18,24,6.1,149,563,1901,14,3.4,128,106,831,17,,
16,Indianapolis Colts,16,317,4744,1000,4.7,24,13,288,311,537,3296,16,11,5.7,172,420,1448,9,3.4,89,76,615,27,,
17,Seattle Seahawks,16,317,5024,974,5.2,29,12,268,261,494,3027,14,17,5.7,147,442,1997,16,4.5,94,112,879,27,,
18,San Diego Chargers,16,310,4670,1022,4.6,32,11,272,314,577,3358,23,21,5.5,168,412,1312,7,3.2,80,110,969,24,,
19,Atlanta Falcons,16,309,5116,971,5.3,41,11,292,356,600,3655,26,30,5.7,202,329,1461,9,4.4,67,111,961,23,,
20,St. Louis Rams,16,303,4372,986,4.4,44,21,255,249,481,2765,18,23,5.1,141,448,1607,10,3.6,93,133,1015,21,,
21,Detroit Lions,16,302,5013,976,5.1,26,5,317,309,541,3203,20,21,5.5,180,389,1810,15,4.7,105,108,863,32,,
22,Arizona Cardinals,16,300,5190,1050,4.9,35,14,308,336,613,3688,23,21,5.7,214,401,1502,8,3.7,70,106,873,24,,
23,Minnesota Vikings,16,298,5204,1030,5.1,32,13,284,331,561,3658,24,19,6.1,186,435,1546,7,3.6,75,106,835,23,,
24,Kansas City Chiefs,16,297,4899,1045,4.7,24,10,312,290,530,2890,18,14,5.2,168,488,2009,15,4.1,111,122,901,33,,
25,Dallas Cowboys,16,286,4763,981,4.9,29,15,286,307,487,3122,12,14,6.2,163,475,1641,14,3.5,105,103,832,18,,
26,Chicago Bears,16,283,4905,1046,4.7,27,9,300,318,551,3185,19,18,5.5,176,472,1720,9,3.6,104,103,808,20,,
27,New York Jets,16,279,5208,1077,4.8,46,16,319,339,629,3625,22,30,5.4,191,407,1583,8,3.9,94,110,819,34,,
28,New York Giants,16,242,3942,1000,3.9,34,13,248,238,459,2339,14,21,4.5,145,485,1603,4,3.3,82,85,666,21,,
29,New Orleans Saints,16,229,4206,923,4.6,37,20,232,295,515,2898,13,17,5.4,135,386,1308,10,3.4,77,114,853,20,,
30,Tampa Bay Buccaneers,16,221,4316,996,4.3,34,14,260,274,494,2727,12,20,5.2,152,472,1589,8,3.4,90,95,787,18,,
,Avg Team,,326.8,5062.4,1022.2,5.0,30.6,12.6,298.6,306.6,532.2,3318.9,20.9,18.1,5.8,174.8,453.1,1743.5,12.1,3.8,99.4,,,24.4,,
,League Total,,9805,151873,30666,5.0,919,377,8959,9198,15966,99567,626,542,5.8,5244,13594,52306,364,3.8,2983,3175,25249,732,,
,Avg Tm/G,,20.4,316.4,63.9,5.0,1.9,0.8,18.7,19.2,33.3,207.4,1.3,1.1,5.8,10.9,28.3,109.0,0.8,3.8,6.2,,,1.5,,
