Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%
1,San Diego Chargers,16,478,6744,1129,6.0,40,22,379,368,629,4739,34,18,7.3,224,481,2005,26,4.2,127,128,947,28,,
2,Atlanta Falcons,16,426,5664,1095,5.2,41,17,318,311,563,3699,30,24,6.2,176,495,1965,15,4.0,116,90,940,26,,
3,Cincinnati Bengals,16,421,5968,1078,5.5,24,12,361,332,550,3995,30,12,6.8,210,493,1973,19,4.0,124,109,896,27,,
4,Detroit Lions,16,397,5933,1076,5.5,43,20,340,228,436,3138,18,23,6.5,150,596,2795,26,4.7,167,111,990,23,,
5,Philadelphia Eagles,16,368,5553,1057,5.3,39,17,332,258,476,3044,25,22,6.1,150,559,2509,17,4.5,157,113,855,25,,
6,Dallas Cowboys,16,367,5880,1100,5.3,35,20,321,241,439,3169,24,15,6.7,158,630,2711,15,4.3,137,103,839,26,,
7,San Francisco 49ers,16,357,5484,1106,5.0,25,12,317,328,517,3543,20,13,6.5,183,560,1941,17,3.5,110,92,752,24,,
8,Pittsburgh Steelers,16,356,5598,1042,5.4,41,22,318,247,461,3226,25,19,6.6,156,554,2372,21,4.3,137,97,840,25,,
9,New York Jets,16,355,5396,1108,4.9,31,17,318,283,507,3055,26,14,5.7,170,571,2341,11,4.1,122,112,936,26,,
10,Washington Redskins,16,347,5623,1087,5.2,41,19,334,307,525,3466,19,22,6.2,173,532,2157,19,4.1,136,98,940,25,,
11,Miami Dolphins,16,345,5322,1063,5.0,31,10,306,271,498,3149,18,21,6.0,157,535,2173,18,4.1,123,71,541,26,,
12,Kansas City Chiefs,16,343,5273,1057,5.0,46,24,315,224,410,2640,12,22,5.9,132,610,2633,22,4.3,160,97,924,23,,
13,Minnesota Vikings,16,325,5845,1129,5.2,50,21,343,382,709,4333,27,29,5.9,217,391,1512,8,3.9,91,109,865,35,,
14,Green Bay Packers,16,324,4859,1044,4.7,41,17,308,286,514,3189,24,24,5.6,174,478,1670,11,3.5,104,84,687,30,,
15,Seattle Seahawks,16,322,5021,1001,5.0,38,23,295,307,524,3427,21,15,6.1,166,440,1594,14,3.6,103,106,823,26,,
16,New England Patriots,16,322,5623,1026,5.5,50,16,306,254,482,3583,17,34,6.8,166,499,2040,23,4.1,124,89,742,16,,
17,Denver Broncos,16,321,5426,1061,5.1,39,18,306,289,485,3531,27,21,6.5,181,515,1895,12,3.7,91,99,833,34,,
18,Tampa Bay Buccaneers,16,315,5160,950,5.4,28,14,269,239,473,3429,20,14,7.0,159,458,1731,13,3.8,95,89,779,15,,
19,St. Louis Cardinals,16,315,5077,1044,4.9,44,20,300,253,477,2864,15,24,5.5,141,519,2213,20,4.3,135,106,877,24,,
20,Buffalo Bills,16,311,5640,1043,5.4,38,18,315,253,503,3515,25,20,6.8,163,524,2125,13,4.1,127,114,1001,25,,
21,Los Angeles Rams,16,303,4793,1086,4.4,47,15,305,235,477,2557,15,32,4.9,134,559,2236,17,4.0,142,117,916,29,,
22,New York Giants,16,295,4326,1034,4.2,36,16,253,251,506,2641,16,20,4.8,140,481,1685,11,3.5,92,108,897,21,,
23,Houston Oilers,16,281,4511,947,4.8,44,21,241,258,441,2777,21,23,5.8,124,466,1734,11,3.7,103,93,825,14,,
24,Cleveland Browns,16,276,5915,1138,5.2,53,26,364,348,624,3986,21,27,6.0,196,474,1929,11,4.1,131,109,971,37,,
25,Oakland Raiders,16,273,4977,1091,4.6,48,20,296,267,545,2919,18,28,4.9,166,493,2058,11,4.2,108,101,867,22,,
26,Baltimore Colts,16,259,4908,957,5.1,37,14,274,265,479,3058,21,23,5.9,158,441,1850,11,4.2,95,106,913,21,,
27,Chicago Bears,16,253,4633,1132,4.1,40,17,278,222,489,2462,14,23,4.7,126,608,2171,13,3.6,126,121,996,26,,
28,New Orleans Saints,16,207,4705,1028,4.6,47,20,280,238,441,2419,8,27,5.0,124,546,2286,16,4.2,126,109,899,30,,
,Avg Team,,330.8,5352.0,1061.0,5.0,39.9,18.1,310.4,276.6,506.4,3269.8,21.1,21.8,6.0,163.4,518.1,2082.3,15.8,4.0,121.8,,,25.3,,
,League Total,,9262,149857,29709,5.0,1117,508,8692,7745,14180,91553,591,609,6.0,4574,14508,58304,441,4.0,3409,2881,24291,709,,
,Avg Tm/G,,20.7,334.5,66.3,5.0,2.5,1.1,19.4,17.3,31.7,204.4,1.3,1.4,6.0,10.2,32.4,130.1,1.0,4.0,7.6,,,1.6,,
