Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%
1,San Francisco 49ers,16,457,6087,1092,5.6,28,12,355,432,644,4608,29,16,6.8,231,415,1479,19,3.6,109,88,711,15,,
2,Detroit Lions,16,436,6113,1024,6.0,25,13,349,362,605,4360,33,12,6.8,230,387,1753,16,4.5,91,134,1032,28,,
3,Dallas Cowboys,16,435,5824,1007,5.8,23,13,364,322,494,3623,18,10,7.1,195,495,2201,29,4.4,141,90,695,28,,
4,Minnesota Vikings,16,412,5938,1115,5.3,29,13,342,402,642,4205,33,16,6.2,223,433,1733,10,4.0,91,105,797,28,,
5,Pittsburgh Steelers,16,407,5769,1110,5.2,34,13,344,348,592,3917,21,21,6.4,193,494,1852,17,3.7,117,109,839,34,,
6,Green Bay Packers,16,404,5750,1036,5.6,21,6,339,372,593,4322,39,15,6.9,235,410,1428,9,3.5,84,85,604,20,,
7,Miami Dolphins,16,398,5716,1034,5.5,32,12,345,384,592,4210,28,20,6.8,225,413,1506,16,3.6,98,110,907,22,,
8,Chicago Bears,16,392,5673,1030,5.5,26,16,340,315,523,3743,29,10,7.0,201,492,1930,15,3.9,116,71,601,23,,
9,Denver Broncos,16,388,6040,1060,5.7,30,16,344,350,594,4045,27,14,6.5,205,440,1995,14,4.5,114,109,851,25,,
10,Seattle Seahawks,16,363,5270,1033,5.1,32,9,311,273,511,3092,19,23,5.6,171,477,2178,20,4.6,121,100,852,19,,
11,Atlanta Falcons,16,362,5579,983,5.7,21,9,317,364,603,4186,26,12,6.5,216,337,1393,8,4.1,85,96,737,16,,
12,Kansas City Chiefs,16,358,5242,1059,4.9,21,11,295,300,531,3020,21,10,5.5,164,507,2222,14,4.4,113,116,851,18,,
13,Buffalo Bills,16,350,5117,1059,4.8,26,12,300,279,506,3124,24,14,5.8,142,521,1993,10,3.8,130,89,672,28,,
14,Cincinnati Bengals,16,349,5192,975,5.3,32,14,288,334,586,3753,29,18,6.1,184,364,1439,7,4.0,76,103,835,28,,
15,Houston Oilers,16,348,4905,1046,4.7,38,20,295,314,536,3241,22,18,5.7,157,478,1664,12,3.5,109,98,791,29,,
16,Oakland Raiders,16,348,5505,1042,5.3,34,13,317,317,543,3573,25,21,6.2,189,463,1932,10,4.2,104,134,1059,24,,
17,Indianapolis Colts,16,331,4919,961,5.1,22,11,281,270,434,3064,20,11,6.3,147,478,1855,14,3.9,110,97,943,24,,
18,Washington Redskins,16,326,5184,1026,5.1,30,10,297,265,521,3228,16,20,5.8,169,469,1956,15,4.2,105,78,563,23,,
19,San Diego Chargers,16,321,5213,1051,5.0,30,12,314,318,540,3466,17,18,6.1,185,479,1747,14,3.6,108,107,953,21,,
20,New Orleans Saints,16,319,5178,984,5.3,25,11,294,349,573,3788,26,14,6.3,202,383,1390,11,3.6,75,86,688,17,,
21,Philadelphia Eagles,16,318,4807,1050,4.6,36,17,290,284,496,2686,11,19,5.0,145,508,2121,19,4.2,126,112,838,19,,
22,St. Louis Rams,16,309,5236,1067,4.9,39,16,292,366,632,3805,27,23,5.6,199,392,1431,5,3.7,77,117,916,16,,
23,New England Patriots,16,294,5457,1187,4.6,36,20,335,351,686,3591,14,16,5.0,207,474,1866,16,3.9,106,84,676,22,,
24,New York Giants,16,290,4483,1003,4.5,28,15,288,260,479,2650,11,13,5.0,150,478,1833,17,3.8,113,92,772,25,,
25,Cleveland Browns,16,289,5076,985,5.2,31,11,293,324,555,3594,21,20,6.1,189,398,1482,5,3.7,83,107,966,21,,
26,Carolina Panthers,16,289,4619,1029,4.5,41,16,250,263,537,3046,16,25,5.3,157,454,1573,10,3.5,74,94,683,19,,
27,Jacksonville Jaguars,16,275,4495,962,4.7,28,13,283,275,495,2790,19,15,5.1,154,410,1705,9,4.2,100,121,970,29,,
28,Arizona Cardinals,16,275,4866,1002,4.9,43,19,285,327,560,3503,17,24,5.7,184,387,1363,3,3.5,65,119,835,36,,
29,Tampa Bay Buccaneers,16,238,4542,961,4.7,34,14,283,267,507,2955,5,20,5.2,159,398,1587,19,4.0,101,113,882,23,,
30,New York Jets,16,233,4067,1001,4.1,42,18,254,330,589,2788,20,24,4.4,159,365,1279,2,3.5,78,121,1078,17,,
,Avg Team,,343.8,5262.1,1032.5,5.1,30.6,13.5,309.5,323.9,556.6,3532.5,22.1,17.1,6.0,185.6,440.0,1729.5,12.8,3.9,100.7,,,23.2,,
,League Total,,10314,157862,30974,5.1,917,405,9284,9717,16699,105976,663,512,6.0,5567,13199,51886,385,3.9,3020,3085,24597,697,,
,Avg Tm/G,,21.5,328.9,64.5,5.1,1.9,0.8,19.3,20.2,34.8,220.8,1.4,1.1,6.0,11.6,27.5,108.1,0.8,3.9,6.3,,,1.5,,
