Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%
1,San Francisco 49ers,16,505,6060,1037,5.8,24,13,362,359,511,4163,37,11,7.6,210,491,1897,23,3.9,122,109,890,30,,
2,Dallas Cowboys,16,414,5321,1018,5.2,24,10,322,282,448,3368,19,14,7.2,160,550,1953,26,3.6,136,100,895,26,,
3,Miami Dolphins,16,389,6078,1078,5.6,32,14,344,392,627,4420,31,18,6.9,220,433,1658,13,3.8,109,92,747,15,,
4,Green Bay Packers,16,382,5316,1059,5.0,22,8,314,375,609,3773,33,14,5.9,205,417,1543,11,3.7,88,85,760,21,,
5,San Diego Chargers,16,381,5220,1033,5.1,23,9,311,305,522,3368,20,14,6.1,181,482,1852,13,3.8,102,96,875,28,,
6,Detroit Lions,16,357,5002,891,5.6,24,10,280,250,459,2922,24,14,6.0,164,406,2080,12,5.1,94,109,781,22,,
7,Minnesota Vikings,16,356,5848,1123,5.2,34,14,325,409,673,4324,18,20,6.1,215,419,1524,11,3.6,92,112,880,18,,
8,New England Patriots,16,351,5776,1199,4.8,38,11,348,405,699,4444,25,27,6.2,243,478,1332,12,2.8,83,78,597,22,,
9,New Orleans Saints,16,348,5182,966,5.4,32,14,308,366,569,3846,22,18,6.5,203,373,1336,11,3.6,78,88,678,27,,
10,Denver Broncos,16,347,5487,1112,4.9,31,18,346,388,626,4017,18,13,5.9,202,431,1470,19,3.4,101,101,865,43,,
11,Cleveland Browns,16,340,4832,970,5.0,35,14,273,266,507,3175,20,21,6.1,161,449,1657,12,3.7,80,113,969,32,,
12,Buffalo Bills,16,340,5244,1066,4.9,34,13,319,342,542,3413,23,21,5.9,181,483,1831,14,3.8,107,92,631,31,,
13,Washington Redskins,16,320,4793,974,4.9,40,13,269,271,546,3378,25,27,6.0,166,407,1415,5,3.5,79,88,730,24,,
14,Kansas City Chiefs,16,319,5692,1098,5.2,26,12,322,366,615,3960,20,14,6.2,211,464,1732,12,3.7,97,127,911,14,,
15,Atlanta Falcons,16,317,5361,996,5.4,36,11,302,374,629,4112,25,25,6.2,218,330,1249,8,3.8,63,119,934,21,,
16,Pittsburgh Steelers,16,316,5144,1048,4.9,17,8,307,266,463,2964,17,9,5.9,148,546,2180,15,4.0,138,119,974,21,,
17,Philadelphia Eagles,16,308,5125,1046,4.9,26,12,293,316,566,3364,18,14,5.5,168,432,1761,14,4.1,103,138,1107,22,,
18,Indianapolis Colts,16,307,4413,899,4.9,31,17,252,217,376,2353,15,14,5.8,126,495,2060,15,4.2,108,82,658,18,,
19,Los Angeles Raiders,16,303,4779,966,4.9,30,14,267,281,488,3267,22,16,6.1,158,428,1512,7,3.5,87,156,1186,22,,
20,Seattle Seahawks,16,287,4652,1018,4.6,28,19,285,253,498,2568,13,9,4.8,143,480,2084,16,4.3,114,114,898,28,,
21,Los Angeles Rams,16,286,4747,944,5.0,31,13,274,291,512,3358,23,18,6.1,163,397,1389,6,3.5,80,112,922,31,,
22,New York Giants,16,279,4316,976,4.4,25,7,263,226,405,2562,16,18,5.7,136,525,1754,12,3.3,103,92,818,24,,
23,Cincinnati Bengals,16,276,4792,990,4.8,41,22,267,289,542,3236,21,19,5.5,158,404,1556,5,3.9,84,90,618,25,,
24,Chicago Bears,16,271,4679,1014,4.6,26,10,274,308,502,3091,19,16,5.9,165,487,1588,10,3.3,88,65,503,21,,
25,New York Jets,16,264,4703,983,4.8,28,10,265,310,539,3137,18,18,5.5,164,416,1566,8,3.8,90,95,754,11,,
26,Tampa Bay Buccaneers,16,251,4754,951,5.0,23,7,276,271,491,3265,17,16,6.3,149,430,1489,8,3.5,104,93,805,23,,
27,Arizona Cardinals,16,235,4607,1052,4.4,29,10,287,287,538,3047,11,19,5.3,169,480,1560,12,3.3,90,128,1090,28,,
28,Houston Oilers,16,226,4481,1036,4.3,42,25,278,274,554,2799,13,17,4.5,158,417,1682,10,4.0,97,115,959,23,,
,Avg Team,,324.1,5085.9,1019.4,5.0,29.7,12.8,297.6,312.1,537.7,3417.6,20.8,16.9,6.0,176.6,448.2,1668.2,12.1,3.7,97.0,,,24.0,,
,League Total,,9075,142404,28543,5.0,832,358,8333,8739,15056,95694,583,474,6.0,4945,12550,46710,340,3.7,2717,2908,23435,671,,
,Avg Tm/G,,20.3,317.9,63.7,5.0,1.9,0.8,18.6,19.5,33.6,213.6,1.3,1.1,6.0,11.0,28.0,104.3,0.8,3.7,6.1,,,1.5,,
