Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%
1,Buffalo Bills,16,428,5276,931,5.7,21,10,302,263,425,3196,28,11,7.1,161,479,2080,20,4.3,123,92,683,18,,
2,Houston Oilers,16,405,6222,1006,6.2,36,21,376,399,639,4805,37,15,7.1,251,328,1417,10,4.3,97,135,1009,28,,
3,Philadelphia Eagles,16,396,5700,1069,5.3,28,15,325,281,479,3144,34,13,5.9,170,540,2556,10,4.7,132,120,981,23,,
4,Washington Redskins,16,381,5562,1073,5.2,28,6,327,301,536,3479,22,22,6.2,193,515,2083,16,4.0,117,102,824,17,,
5,Detroit Lions,16,373,4977,870,5.7,36,16,278,242,460,3050,24,20,6.1,152,366,1927,19,5.3,112,88,711,14,,
6,Kansas City Chiefs,16,369,5215,975,5.3,19,14,280,260,449,3267,23,5,6.9,153,504,1948,11,3.9,104,111,886,23,,
7,Cincinnati Bengals,16,360,5063,943,5.4,35,12,277,237,425,2943,25,23,6.4,151,484,2120,16,4.4,107,83,627,19,,
8,San Francisco 49ers,16,353,5895,1074,5.5,30,14,324,360,583,4177,28,16,6.7,201,454,1718,12,3.8,107,104,828,16,,
9,Minnesota Vikings,16,351,5034,1001,5.0,37,13,288,265,497,3167,25,24,5.8,164,455,1867,10,4.1,106,83,565,18,,
10,Atlanta Falcons,16,348,5055,994,5.1,39,21,273,293,528,3461,21,18,6.0,168,420,1594,11,3.8,84,125,1004,21,,
11,Chicago Bears,16,348,4980,1024,4.9,26,14,295,229,430,2544,14,12,5.4,134,551,2436,22,4.4,142,75,615,19,,
12,Los Angeles Rams,16,345,5430,1013,5.4,31,14,311,310,561,3818,24,17,6.5,191,422,1612,17,3.8,89,87,632,31,,
13,Los Angeles Raiders,16,337,4716,861,5.5,24,14,258,183,336,2688,19,10,7.4,133,496,2028,20,4.1,110,97,682,15,,
14,Miami Dolphins,16,336,5047,975,5.2,27,15,303,310,539,3512,21,12,6.3,190,420,1535,13,3.7,90,64,486,23,,
15,New York Giants,16,335,4805,968,5.0,14,9,273,231,398,2756,18,5,6.5,135,541,2049,17,3.8,120,83,655,18,,
16,Denver Broncos,16,331,5213,1035,5.0,32,14,323,305,527,3341,15,18,5.8,170,462,1872,19,4.1,126,108,775,27,,
17,San Diego Chargers,16,315,4940,976,5.1,32,13,272,246,472,2683,18,19,5.5,142,484,2257,14,4.7,112,103,886,18,,
18,Seattle Seahawks,16,306,4583,945,4.8,36,16,284,265,448,2834,15,20,5.8,154,457,1749,18,3.8,112,89,746,18,,
19,New York Jets,16,295,4886,967,5.1,24,13,295,246,451,2759,14,11,5.6,143,476,2127,16,4.5,128,101,848,24,,
20,Pittsburgh Steelers,16,292,4525,897,5.0,32,17,263,237,408,2645,20,15,6.0,150,456,1880,11,4.1,93,110,928,20,,
21,Indianapolis Colts,16,281,4155,874,4.8,31,10,245,269,488,2873,22,21,5.3,142,335,1282,9,3.8,81,79,590,22,,
22,New Orleans Saints,16,274,4476,931,4.8,39,16,253,226,447,2626,15,23,5.6,133,464,1850,14,4.0,107,108,829,13,,
23,Green Bay Packers,16,271,4675,953,4.9,43,22,276,302,541,3306,20,21,5.5,183,350,1369,5,3.9,72,84,669,21,,
24,Phoenix Cardinals,16,268,4745,934,5.1,32,14,270,238,439,2833,16,18,5.9,135,452,1912,13,4.2,115,96,883,20,,
25,Tampa Bay Buccaneers,16,264,4475,911,4.9,43,19,238,245,448,2849,18,24,5.7,142,410,1626,7,4.0,83,77,651,13,,
26,Dallas Cowboys,16,244,4081,911,4.5,33,9,250,254,475,2581,12,24,5.0,135,393,1500,13,3.8,88,98,729,27,,
27,Cleveland Browns,16,228,4367,960,4.5,46,23,259,301,573,3147,13,23,5.1,167,345,1220,10,3.5,74,122,922,18,,
28,New England Patriots,16,181,4163,955,4.4,36,16,239,274,514,2765,14,20,4.8,156,383,1398,4,3.7,65,99,744,18,,
,Avg Team,,322.0,4937.9,965.2,5.1,31.8,14.6,284.2,270.4,482.7,3116.0,20.5,17.1,6.0,160.7,444.4,1821.9,13.5,4.1,103.4,,,20.1,,
,League Total,,9015,138261,27026,5.1,890,410,7957,7572,13516,87249,575,480,6.0,4499,12442,51012,377,4.1,2896,2723,21388,562,,
,Avg Tm/G,,20.1,308.6,60.3,5.1,2.0,0.9,17.8,16.9,30.2,194.8,1.3,1.1,6.0,10.0,27.8,113.9,0.8,4.1,6.5,,,1.3,,
