Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%
1,Washington Redskins,16,485,5741,996,5.8,23,12,302,261,447,3692,30,11,8.1,179,540,2049,21,3.8,107,90,798,16,,
2,Buffalo Bills,16,458,6252,1056,5.9,35,16,359,332,516,3871,39,19,7.0,208,505,2381,16,4.7,128,113,865,23,,
3,San Francisco 49ers,16,393,5858,986,5.9,31,19,336,325,522,3997,29,12,7.3,197,440,1861,19,4.2,112,114,902,27,,
4,Houston Oilers,16,386,5987,1022,5.9,40,19,353,411,667,4621,24,21,6.7,236,331,1366,16,4.1,99,99,784,18,,
5,Atlanta Falcons,16,361,5113,940,5.4,36,14,258,260,499,3449,30,22,6.5,162,410,1664,6,4.1,82,113,929,14,,
6,Miami Dolphins,16,343,5241,970,5.4,28,14,312,327,563,3889,26,14,6.6,205,379,1352,8,3.6,91,62,516,16,,
7,Dallas Cowboys,16,342,5101,971,5.3,24,12,304,305,500,3390,16,12,6.3,191,433,1711,15,4.0,89,74,610,24,,
8,New Orleans Saints,16,341,4968,1008,4.9,30,15,267,292,506,3259,20,15,6.2,157,483,1709,15,3.5,93,101,801,17,,
9,Detroit Lions,16,339,4788,938,5.1,30,13,280,252,459,2858,16,17,5.9,148,454,1930,19,4.3,116,93,799,16,,
10,Kansas City Chiefs,16,322,5321,1021,5.2,22,8,322,284,479,3104,19,14,6.2,172,521,2217,14,4.3,127,94,724,23,,
11,New York Jets,16,314,5316,1059,5.0,25,13,331,295,503,3156,12,12,5.9,169,523,2160,17,4.1,133,103,814,29,,
12,Denver Broncos,16,304,5012,1012,5.0,25,13,284,246,459,2997,13,12,5.9,150,507,2015,16,4.0,117,94,715,17,,
13,Minnesota Vikings,16,301,5084,969,5.2,26,10,300,284,477,2883,16,16,5.7,158,464,2201,18,4.7,125,88,675,17,,
14,Chicago Bears,16,299,5069,1025,4.9,33,16,317,286,497,3120,16,17,6.0,168,502,1949,18,3.9,120,80,662,29,,
15,Los Angeles Raiders,16,298,4425,893,5.0,31,13,248,220,414,2719,20,18,6.1,132,446,1706,8,3.8,97,117,1013,19,,
16,Cleveland Browns,16,293,4664,934,5.0,18,8,265,312,503,3304,19,10,6.1,163,389,1360,12,3.5,82,108,872,20,,
17,Pittsburgh Steelers,16,292,4581,915,5.0,30,14,254,259,476,2954,20,16,5.7,158,394,1627,8,4.1,82,116,933,14,,
18,Philadelphia Eagles,16,285,4302,1004,4.3,43,16,249,285,513,2906,17,27,5.2,142,446,1396,8,3.1,86,111,839,21,,
19,New York Giants,16,281,4908,951,5.2,23,15,280,261,428,2844,13,8,6.1,148,487,2064,16,4.2,120,92,719,12,,
20,Seattle Seahawks,16,276,4534,924,4.9,43,17,253,290,488,3108,15,26,5.9,159,394,1426,11,3.6,80,85,682,14,,
21,San Diego Chargers,16,274,4995,1010,4.9,28,12,285,272,511,2747,13,16,5.0,155,464,2248,16,4.8,114,96,799,16,,
22,Green Bay Packers,16,273,4332,940,4.6,36,17,259,272,514,2943,17,19,5.3,150,381,1389,12,3.6,88,98,834,21,,
23,Cincinnati Bengals,16,263,4969,993,5.0,42,20,286,290,511,3158,14,22,5.8,162,449,1811,11,4.0,96,107,845,28,,
24,Los Angeles Rams,16,234,4695,936,5.0,40,20,270,289,518,3410,13,20,6.2,180,388,1285,11,3.3,75,108,774,15,,
25,New England Patriots,16,211,4473,977,4.6,42,20,259,284,481,3006,11,22,5.5,155,433,1467,9,3.4,93,97,667,11,,
26,Tampa Bay Buccaneers,16,199,4001,922,4.3,47,18,249,250,495,2572,13,29,4.7,147,371,1429,9,3.9,79,88,780,23,,
27,Phoenix Cardinals,16,196,3962,926,4.3,39,14,237,254,492,2667,10,25,5.0,143,391,1295,6,3.3,73,78,661,21,,
28,Indianapolis Colts,16,143,3748,923,4.1,31,15,236,305,512,2579,10,16,4.5,163,354,1169,3,3.3,55,85,689,18,,
,Avg Team,,303.8,4908.6,972.2,5.0,32.2,14.8,284.1,285.8,498.2,3185.8,18.3,17.4,6.0,166.3,438.5,1722.8,12.8,3.9,98.5,,,19.3,,
,League Total,,8506,137440,27221,5.0,901,413,7955,8003,13950,89203,511,488,6.0,4657,12279,48237,358,3.9,2759,2704,21701,539,,
,Avg Tm/G,,19.0,306.8,60.8,5.0,2.0,0.9,17.8,17.9,31.1,199.1,1.1,1.1,6.0,10.4,27.4,107.7,0.8,3.9,6.2,,,1.2,,
