Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%
1,San Diego Chargers,16,467,6535,1111,5.9,49,19,380,386,632,4870,37,30,7.3,259,440,1665,20,3.8,92,100,937,29,,
2,Chicago Bears,16,456,5837,1085,5.4,31,15,343,237,432,3076,17,16,6.5,145,610,2761,27,4.5,176,104,912,22,,
3,Cincinnati Bengals,16,441,5900,1062,5.6,29,16,344,302,518,3717,31,13,6.6,191,503,2183,20,4.3,125,110,795,28,,
4,Miami Dolphins,16,428,5843,1039,5.6,41,20,361,343,576,4114,31,21,6.9,218,444,1729,19,3.9,116,77,637,27,,
5,San Francisco 49ers,16,411,5920,1069,5.5,34,20,340,331,550,3688,28,14,6.2,179,477,2232,20,4.7,137,105,868,24,,
6,New York Giants,16,399,5884,1130,5.2,38,18,356,275,497,3433,22,20,6.3,192,581,2451,24,4.2,138,80,781,26,,
7,New York Jets,16,393,5896,1123,5.3,29,21,344,303,497,3584,25,8,6.4,201,564,2312,18,4.1,121,119,907,22,,
8,Denver Broncos,16,380,5496,1152,4.8,31,8,339,329,617,3645,23,23,5.6,192,497,1851,20,3.7,113,85,677,34,,
9,Pittsburgh Steelers,16,379,5350,1086,4.9,36,9,315,254,512,3173,23,27,5.8,165,541,2177,14,4.0,125,85,665,25,,
10,New England Patriots,16,362,5499,1061,5.2,42,20,294,255,457,3168,20,22,6.4,153,565,2331,15,4.1,126,114,842,15,,
11,Dallas Cowboys,16,357,5602,1093,5.1,41,16,336,344,587,3861,27,25,6.1,208,462,1741,11,3.8,95,100,759,33,,
12,Los Angeles Raiders,16,354,5408,1081,5.0,38,14,304,269,506,3146,20,24,5.7,167,532,2262,18,4.3,111,116,962,26,,
13,Seattle Seahawks,16,349,5007,1090,4.6,41,18,299,304,575,3363,28,23,5.4,179,462,1644,9,3.6,96,102,827,24,,
14,Minnesota Vikings,16,346,5151,1027,5.0,47,18,317,311,576,3635,22,29,5.9,189,406,1516,19,3.7,95,88,690,33,,
15,Los Angeles Rams,16,340,4520,963,4.7,35,21,258,234,403,2463,16,14,5.4,131,503,2057,15,4.1,115,97,730,12,,
16,Green Bay Packers,16,337,5371,1033,5.2,45,18,318,267,513,3163,21,27,5.6,172,470,2208,16,4.7,114,101,798,32,,
17,Indianapolis Colts,16,320,5006,988,5.1,34,14,282,235,468,2567,15,20,5.1,130,485,2439,22,5.0,131,87,678,21,,
18,Kansas City Chiefs,16,317,4877,982,5.0,34,11,258,267,511,3391,23,23,6.1,158,428,1486,10,3.5,79,87,666,21,,
19,Detroit Lions,16,307,4476,967,4.6,41,20,259,254,462,2938,19,21,5.7,150,452,1538,13,3.4,89,104,741,20,,
20,Washington Redskins,16,297,5338,1135,4.7,40,19,319,280,512,2815,13,21,5.0,157,571,2523,20,4.4,147,74,596,15,,
21,Tampa Bay Buccaneers,16,294,4766,982,4.9,48,22,291,269,508,3122,22,26,5.7,162,434,1644,11,3.8,95,103,751,34,,
22,New Orleans Saints,16,294,4479,997,4.5,36,13,250,260,508,2796,20,23,4.9,148,431,1683,4,3.9,83,96,805,19,,
23,Cleveland Browns,16,287,4921,983,5.0,36,23,271,222,414,2636,17,13,5.9,128,533,2285,16,4.3,119,99,753,24,,
24,Philadelphia Eagles,16,286,5216,1050,5.0,40,12,292,290,567,3586,19,28,5.8,188,428,1630,8,3.8,82,98,736,22,,
25,Houston Oilers,16,284,4652,998,4.7,37,15,270,277,512,3082,18,22,5.4,149,428,1570,13,3.7,96,127,1150,25,,
26,Atlanta Falcons,16,282,4960,1091,4.5,30,10,296,254,462,2494,13,20,4.7,132,560,2466,14,4.4,149,126,1149,15,,
27,St. Louis Cardinals,16,278,5086,1016,5.0,34,16,301,296,534,3112,19,18,5.2,171,417,1974,14,4.7,108,101,816,22,,
28,Buffalo Bills,16,200,4595,971,4.7,52,21,256,263,517,2984,9,31,5.3,151,412,1611,13,3.9,86,132,965,19,,
,Avg Team,,344.5,5271.1,1048.8,5.0,38.2,16.7,306.9,282.5,515.1,3272.2,21.4,21.5,5.8,170.2,487.0,1998.9,15.8,4.1,112.8,,,23.9,,
,League Total,,9645,147591,29365,5.0,1069,467,8593,7911,14423,91622,598,602,5.8,4765,13636,55969,443,4.1,3159,2817,22593,669,,
,Avg Tm/G,,21.5,329.4,65.5,5.0,2.4,1.0,19.2,17.7,32.2,204.5,1.3,1.3,5.8,10.6,30.4,124.9,1.0,4.1,7.1,,,1.5,,
