Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%
1,St. Louis Rams,16,526,6412,994,6.5,31,16,335,343,530,4353,42,15,7.7,207,431,2059,13,4.8,102,113,889,26,39.9,15.4
2,Washington Redskins,16,443,5965,1031,5.8,25,11,338,324,537,3926,26,14,6.9,183,463,2039,23,4.4,121,104,808,34,35.1,11.4
3,Indianapolis Colts,16,423,5726,979,5.8,28,11,327,338,546,4066,26,17,7.3,200,419,1660,15,4.0,89,81,683,38,40.9,15.1
4,Carolina Panthers,16,421,5686,982,5.8,34,19,307,345,575,4161,36,15,6.6,208,356,1525,12,4.3,78,106,857,21,38.0,15.1
5,Minnesota Vikings,16,399,5793,995,5.8,40,19,324,316,530,3989,32,21,7.0,192,422,1804,13,4.3,96,114,955,36,34.4,18.8
6,Jacksonville Jaguars,16,396,5586,1085,5.1,18,7,331,320,535,3495,16,11,6.1,194,514,2091,20,4.1,116,90,755,21,35.6,9.0
7,Tennessee Titans,16,392,5296,1011,5.2,22,9,294,304,527,3485,23,13,6.3,167,459,1811,19,3.9,109,114,1069,18,31.3,10.9
8,Kansas City Chiefs,16,390,5321,1049,5.1,24,9,282,295,502,3239,22,15,6.1,164,521,2082,14,4.0,108,126,982,10,27.1,11.0
9,Oakland Raiders,16,390,5693,1057,5.4,29,15,326,306,520,3609,24,14,6.3,196,488,2084,18,4.3,110,98,825,20,34.5,12.9
10,Green Bay Packers,16,357,5419,1027,5.3,36,13,314,344,605,3900,23,23,6.1,196,386,1519,13,3.9,87,100,808,31,31.6,18.1
11,Dallas Cowboys,16,352,5178,1024,5.1,23,10,295,295,507,3127,20,13,5.9,139,493,2051,16,4.2,129,136,1196,27,27.6,11.7
12,Seattle Seahawks,16,338,4805,971,4.9,33,17,276,288,525,3397,25,16,6.0,179,408,1408,5,3.5,65,98,883,32,32.7,15.3
13,Miami Dolphins,16,326,4938,1071,4.6,34,13,287,329,589,3485,20,21,5.6,188,445,1453,8,3.3,81,111,936,18,32.4,15.5
14,Baltimore Ravens,16,324,4778,1033,4.6,31,11,259,270,546,3024,21,20,5.0,148,431,1754,9,4.1,87,125,1010,24,26.7,13.8
15,Detroit Lions,16,322,4931,978,5.0,22,8,269,326,558,3686,22,14,5.9,179,356,1245,8,3.5,67,110,995,23,29.2,10.4
16,Buffalo Bills,16,320,5333,1059,5.0,27,11,313,290,513,3293,21,16,6.1,173,519,2040,12,3.9,117,97,789,23,30.5,14.2
17,Pittsburgh Steelers,16,317,4874,1067,4.6,25,7,295,301,535,2883,19,18,5.0,159,495,1991,14,4.0,111,119,945,25,29.0,12.0
18,Denver Broncos,16,314,5283,1053,5.0,28,10,308,319,554,3419,16,18,5.8,168,465,1864,13,4.0,107,114,872,33,29.9,13.9
19,New York Jets,16,308,4752,999,4.8,22,6,268,272,476,2791,22,16,5.4,139,486,1961,7,4.0,111,87,771,18,29.3,10.5
20,New England Patriots,16,299,5062,1021,5.0,33,12,280,305,540,3636,19,21,6.1,184,425,1426,9,3.4,72,95,812,24,26.2,15.5
21,New York Giants,16,299,5127,1075,4.8,32,12,308,350,602,3719,17,20,5.8,197,431,1408,11,3.3,87,98,906,24,26.8,16.2
22,San Francisco 49ers,16,295,5380,1012,5.3,32,13,300,324,560,3285,14,19,5.5,172,418,2095,14,5.0,102,120,1045,26,26.9,15.9
23,Atlanta Falcons,16,285,4542,931,4.9,35,16,273,278,509,3346,22,19,6.0,179,373,1196,9,3.2,68,110,968,26,25.0,17.4
24,Cincinnati Bengals,16,283,5277,1039,5.1,32,14,293,300,548,3226,18,18,5.4,161,442,2051,11,4.6,111,126,1027,21,24.4,13.5
25,Philadelphia Eagles,16,272,3830,947,4.0,39,21,218,235,474,2084,18,18,4.0,123,424,1746,5,4.1,76,102,905,19,21.5,17.1
26,Chicago Bears,16,272,5523,1118,4.9,37,15,302,404,684,4136,25,22,5.7,203,396,1387,4,3.5,82,117,915,17,23.4,17.6
27,Tampa Bay Buccaneers,16,270,4254,991,4.3,35,19,245,268,447,2478,18,16,5.1,132,502,1776,7,3.5,97,75,583,16,25.2,16.0
28,San Diego Chargers,16,269,4589,1039,4.4,35,11,262,332,583,3343,12,24,5.3,171,410,1246,10,3.0,69,104,823,22,27.0,17.3
29,New Orleans Saints,16,260,4983,1055,4.7,39,9,288,288,553,3293,16,30,5.5,159,461,1690,9,3.7,97,110,877,32,24.3,18.8
30,Arizona Cardinals,16,245,4010,999,4.0,40,10,254,287,558,2803,11,30,4.6,150,396,1207,13,3.0,77,70,481,27,20.8,18.8
31,Cleveland Browns,16,217,3762,865,4.3,31,16,220,271,492,2612,19,15,4.7,134,313,1150,9,3.7,64,92,714,22,19.6,12.5
,Avg Team,,333.0,5100.3,1018.0,5.0,30.7,12.6,290.0,308.6,540.6,3396.4,21.5,18.1,5.8,172.4,437.0,1703.8,11.7,3.9,93.3,,,24.3,,
,League Total,,10324,158108,31557,5.0,952,390,8991,9567,16760,105289,665,562,5.8,5344,13548,52819,363,3.9,2893,3262,27084,754,29.2,14.6
,Avg Tm/G,,20.8,318.8,63.6,5.0,1.9,0.8,18.1,19.3,33.8,212.3,1.3,1.1,5.8,10.8,27.3,106.5,0.7,3.9,5.8,,,1.5,,
