Tm,PF,TotalYds,Ply,Y/Play,TO,FL,1stD,Cmp,PassAtt,PassYds,PassTD,Int,NY/A,1stDpass,RushAtt,RushYds,RushTD,Y/Arun,1stDrun,Pen,PenYds,1stPy,Sc%,TO%,ExpectedPoints
Kansas City Chiefs,467.0,6000.0,965.0,6.2,15.0,2.0,343.0,292.0,477.0,3622.0,27.0,13.0,7.2,179.0,462.0,2378.0,26.0,5.1,140.0,75.0,700.0,24.0,42.7,7.9,177.04
Oakland Raiders,450.0,6237.0,1069.0,5.8,19.0,9.0,366.0,418.0,619.0,4475.0,26.0,10.0,6.8,226.0,414.0,1762.0,21.0,4.3,113.0,129.0,1094.0,27.0,42.7,9.4,140.02
New Orleans Saints,432.0,5205.0,1001.0,5.2,30.0,15.0,291.0,291.0,538.0,3441.0,27.0,15.0,6.0,169.0,426.0,1764.0,16.0,4.1,91.0,119.0,911.0,31.0,38.5,14.6,-12.05
Philadelphia Eagles,415.0,5604.0,1073.0,5.2,24.0,13.0,311.0,318.0,548.0,3384.0,27.0,11.0,5.8,164.0,489.0,2220.0,15.0,4.5,124.0,111.0,897.0,23.0,36.0,12.0,-2.03
Atlanta Falcons,402.0,5535.0,1038.0,5.3,27.0,15.0,316.0,268.0,479.0,3167.0,18.0,12.0,6.1,163.0,523.0,2368.0,23.0,4.5,123.0,105.0,931.0,30.0,38.6,13.2,31.41
Green Bay Packers,398.0,5560.0,1058.0,5.3,28.0,12.0,318.0,361.0,580.0,3627.0,29.0,16.0,6.0,197.0,451.0,1933.0,12.0,4.3,94.0,108.0,913.0,27.0,34.8,14.1,-5.73
Denver Broncos,392.0,6090.0,1057.0,5.8,27.0,7.0,357.0,359.0,554.0,3824.0,21.0,20.0,6.4,199.0,457.0,2266.0,21.0,5.0,125.0,104.0,877.0,33.0,37.6,14.9,71.47
Pittsburgh Steelers,390.0,5952.0,1097.0,5.4,36.0,14.0,343.0,350.0,551.0,3832.0,26.0,22.0,6.6,200.0,512.0,2120.0,15.0,4.1,119.0,90.0,712.0,24.0,35.7,16.8,31.07
Minnesota Vikings,390.0,6192.0,1080.0,5.7,41.0,18.0,350.0,337.0,558.0,3685.0,19.0,23.0,6.1,191.0,473.0,2507.0,26.0,5.3,139.0,137.0,1139.0,20.0,35.6,19.9,65.12
New England Patriots,381.0,5085.0,1031.0,4.9,24.0,10.0,304.0,374.0,605.0,3577.0,28.0,14.0,5.6,184.0,395.0,1508.0,9.0,3.8,99.0,108.0,895.0,21.0,34.6,11.9,-1.09
Buffalo Bills,379.0,5591.0,1054.0,5.3,31.0,16.0,355.0,377.0,612.0,3995.0,24.0,15.0,6.0,218.0,388.0,1596.0,17.0,4.1,90.0,112.0,1031.0,47.0,35.9,15.8,23.79
Miami Dolphins,378.0,5392.0,1010.0,5.3,30.0,15.0,318.0,271.0,455.0,2890.0,18.0,15.0,6.0,155.0,530.0,2502.0,24.0,4.7,139.0,103.0,859.0,24.0,34.6,15.7,-0.4
Tennessee Titans,367.0,5272.0,1032.0,5.1,25.0,10.0,312.0,306.0,500.0,3320.0,22.0,15.0,6.4,182.0,511.0,1952.0,16.0,3.8,112.0,112.0,891.0,18.0,34.6,13.2,38.34
