Tm,PF,TotalYds,Ply,Y/Play,TO,FL,1stD,Cmp,PassAtt,PassYds,PassTD,Int,NY/A,1stDpass,RushAtt,RushYds,RushTD,Y/Arun,1stDrun,Pen,PenYds,1stPy,Sc%,TO%
Washington Redskins,541.0,6139.0,1127.0,5.4,18.0,7.0,353.0,278.0,463.0,3514.0,29.0,11.0,7.1,173.0,629.0,2625.0,30.0,4.2,165.0,90.0,776.0,15.0,0.0,0.0
Dallas Cowboys,479.0,5959.0,1110.0,5.4,39.0,14.0,342.0,346.0,554.0,3842.0,31.0,25.0,6.5,205.0,519.0,2117.0,21.0,4.1,109.0,99.0,847.0,28.0,0.0,0.0
Los Angeles Raiders,442.0,5686.0,1101.0,5.2,49.0,25.0,356.0,301.0,504.0,3446.0,31.0,24.0,6.2,181.0,542.0,2240.0,18.0,4.1,143.0,121.0,992.0,32.0,0.0,0.0
San Francisco 49ers,432.0,6054.0,1072.0,5.6,31.0,19.0,344.0,339.0,528.0,3797.0,27.0,12.0,6.8,199.0,511.0,2257.0,17.0,4.4,129.0,89.0,695.0,16.0,0.0,0.0
Green Bay Packers,429.0,6172.0,1007.0,6.1,50.0,18.0,340.0,311.0,526.0,4365.0,33.0,32.0,7.7,214.0,439.0,1807.0,15.0,4.1,99.0,80.0,648.0,27.0,0.0,0.0
Seattle Seahawks,403.0,5092.0,1042.0,4.9,38.0,20.0,300.0,251.0,449.0,2973.0,25.0,18.0,6.0,153.0,546.0,2119.0,19.0,3.9,131.0,102.0,890.0,16.0,0.0,0.0
Miami Dolphins,389.0,5195.0,1033.0,5.0,27.0,16.0,314.0,254.0,442.0,3045.0,28.0,11.0,6.5,151.0,568.0,2150.0,16.0,3.8,132.0,64.0,567.0,31.0,0.0,0.0
Kansas City Chiefs,386.0,5595.0,1074.0,5.2,38.0,19.0,314.0,369.0,641.0,4341.0,29.0,19.0,6.3,208.0,387.0,1254.0,13.0,3.2,83.0,113.0,911.0,23.0,0.0,0.0
St. Louis Cardinals,374.0,5145.0,1044.0,4.9,48.0,27.0,296.0,267.0,460.0,2868.0,29.0,21.0,5.5,147.0,525.0,2277.0,15.0,4.3,123.0,89.0,770.0,26.0,0.0,0.0
Atlanta Falcons,370.0,5628.0,1054.0,5.3,29.0,19.0,325.0,321.0,507.0,3404.0,24.0,10.0,6.1,190.0,492.0,2224.0,17.0,4.5,118.0,90.0,806.0,17.0,0.0,0.0
Los Angeles Rams,361.0,5474.0,1023.0,5.4,47.0,24.0,316.0,286.0,489.0,3221.0,23.0,23.0,6.3,150.0,511.0,2253.0,20.0,4.4,148.0,96.0,748.0,18.0,0.0,0.0
San Diego Chargers,358.0,6197.0,1086.0,5.7,55.0,22.0,361.0,369.0,635.0,4661.0,27.0,33.0,7.0,230.0,423.0,1536.0,16.0,3.6,106.0,115.0,961.0,25.0,0.0,0.0
Cleveland Browns,356.0,5583.0,1065.0,5.2,38.0,10.0,327.0,324.0,567.0,3661.0,27.0,28.0,6.1,186.0,465.0,1922.0,13.0,4.1,113.0,115.0,991.0,28.0,0.0,0.0
