Tm,PF,TotalYds,Ply,Y/Play,TO,FL,1stD,Cmp,PassAtt,PassYds,PassTD,Int,NY/A,1stDpass,RushAtt,RushYds,RushTD,Y/Arun,1stDrun,Pen,PenYds,1stPy,Sc%,TO%
Minnesota Vikings,556.0,6264.0,1008.0,6.2,20.0,4.0,335.0,327.0,533.0,4328.0,41.0,16.0,7.8,210.0,450.0,1936.0,17.0,4.3,98.0,116.0,1045.0,27.0,51.5,10.8
Denver Broncos,501.0,6092.0,1041.0,5.9,20.0,6.0,347.0,290.0,491.0,3624.0,32.0,14.0,7.0,186.0,525.0,2468.0,26.0,4.7,135.0,115.0,1023.0,26.0,41.7,8.8
San Francisco 49ers,479.0,6800.0,1100.0,6.2,30.0,15.0,381.0,347.0,556.0,4256.0,41.0,15.0,7.0,223.0,491.0,2544.0,19.0,5.2,129.0,133.0,1156.0,29.0,39.3,15.5
Atlanta Falcons,442.0,5487.0,993.0,5.5,24.0,9.0,319.0,237.0,424.0,3386.0,28.0,15.0,7.1,175.0,516.0,2101.0,18.0,4.1,111.0,116.0,841.0,33.0,36.8,13.5
New York Jets,416.0,5715.0,1057.0,5.4,24.0,11.0,338.0,318.0,532.0,3836.0,33.0,13.0,6.9,207.0,500.0,1879.0,12.0,3.8,99.0,85.0,651.0,32.0,36.7,14.3
Green Bay Packers,408.0,5636.0,1061.0,5.3,34.0,11.0,329.0,361.0,575.0,4110.0,33.0,23.0,6.7,210.0,447.0,1526.0,7.0,3.4,93.0,88.0,681.0,26.0,36.3,16.4
Buffalo Bills,400.0,5541.0,1033.0,5.4,20.0,6.0,319.0,269.0,461.0,3380.0,28.0,14.0,6.7,176.0,531.0,2161.0,13.0,4.1,115.0,123.0,993.0,28.0,38.7,12.9
Jacksonville Jaguars,392.0,5214.0,989.0,5.3,20.0,8.0,287.0,269.0,463.0,3112.0,24.0,12.0,6.2,153.0,487.0,2102.0,19.0,4.3,111.0,121.0,898.0,23.0,33.6,10.5
Dallas Cowboys,381.0,5450.0,992.0,5.5,15.0,7.0,308.0,279.0,474.0,3436.0,17.0,8.0,7.0,154.0,499.0,2014.0,21.0,4.0,125.0,128.0,1106.0,29.0,33.9,8.1
Seattle Seahawks,372.0,4626.0,940.0,4.9,34.0,16.0,267.0,273.0,480.0,3000.0,21.0,18.0,5.8,144.0,426.0,1626.0,11.0,3.8,92.0,117.0,914.0,31.0,27.0,16.9
New England Patriots,337.0,5140.0,999.0,5.1,24.0,7.0,281.0,295.0,556.0,3660.0,23.0,17.0,6.1,184.0,403.0,1480.0,9.0,3.7,68.0,108.0,853.0,29.0,32.6,13.5
Carolina Panthers,336.0,4780.0,966.0,4.9,35.0,17.0,261.0,292.0,507.0,3322.0,25.0,18.0,5.9,171.0,405.0,1458.0,11.0,3.6,68.0,113.0,931.0,22.0,29.3,18.9
Tennessee Oilers,330.0,5261.0,1016.0,5.2,19.0,9.0,308.0,305.0,519.0,3291.0,16.0,10.0,5.9,171.0,462.0,1970.0,12.0,4.3,118.0,126.0,1135.0,19.0,35.0,10.2
Kansas City Chiefs,327.0,4808.0,1012.0,4.8,32.0,14.0,289.0,305.0,543.0,3260.0,15.0,18.0,5.6,153.0,433.0,1548.0,19.0,3.6,103.0,158.0,1304.0,33.0,29.6,16.3
Arizona Cardinals,325.0,5109.0,1052.0,4.9,36.0,16.0,315.0,326.0,552.0,3482.0,17.0,20.0,5.8,179.0,450.0,1627.0,18.0,3.6,98.0,88.0,758.0,38.0,29.8,16.5
Miami Dolphins,321.0,4930.0,1028.0,4.8,28.0,12.0,269.0,316.0,546.0,3395.0,23.0,16.0,6.0,176.0,458.0,1535.0,10.0,3.4,73.0,106.0,864.0,20.0,27.6,14.3
Washington Redskins,319.0,5010.0,1027.0,4.9,29.0,15.0,295.0,304.0,565.0,3325.0,24.0,14.0,5.3,186.0,401.0,1685.0,15.0,4.2,84.0,112.0,975.0,25.0,24.7,13.6
Tampa Bay Buccaneers,314.0,4754.0,1000.0,4.8,31.0,13.0,262.0,234.0,449.0,2606.0,21.0,18.0,5.5,139.0,523.0,2148.0,12.0,4.1,111.0,99.0,840.0,12.0,28.2,16.0
Indianapolis Colts,310.0,5116.0,982.0,5.2,33.0,5.0,298.0,326.0,576.0,3630.0,26.0,28.0,6.1,190.0,384.0,1486.0,7.0,3.9,77.0,106.0,853.0,31.0,31.4,16.9
Detroit Lions,306.0,5085.0,975.0,5.2,25.0,12.0,278.0,274.0,489.0,3130.0,17.0,13.0,5.9,160.0,441.0,1955.0,12.0,4.4,94.0,121.0,1019.0,24.0,32.2,12.2
New Orleans Saints,305.0,4463.0,966.0,4.6,33.0,14.0,258.0,278.0,535.0,3138.0,19.0,19.0,5.3,165.0,374.0,1325.0,6.0,3.5,67.0,121.0,928.0,26.0,23.1,16.7
Oakland Raiders,288.0,4815.0,1035.0,4.7,43.0,18.0,273.0,282.0,519.0,3088.0,21.0,25.0,5.3,156.0,449.0,1727.0,6.0,3.8,89.0,127.0,986.0,28.0,20.8,16.8
New York Giants,287.0,4455.0,1016.0,4.4,24.0,9.0,263.0,265.0,507.0,2566.0,18.0,15.0,4.7,129.0,474.0,1889.0,10.0,4.0,104.0,124.0,946.0,30.0,25.8,12.9
St. Louis Rams,285.0,4472.0,998.0,4.5,33.0,15.0,281.0,314.0,556.0,3087.0,12.0,18.0,5.1,164.0,395.0,1385.0,17.0,3.5,81.0,111.0,945.0,36.0,25.9,15.1
Chicago Bears,276.0,4766.0,979.0,4.9,34.0,21.0,264.0,284.0,494.0,3053.0,16.0,13.0,5.8,154.0,454.0,1713.0,9.0,3.8,89.0,86.0,714.0,21.0,24.3,17.8
Baltimore Ravens,269.0,4498.0,926.0,4.9,30.0,15.0,243.0,272.0,477.0,2869.0,16.0,15.0,5.5,140.0,408.0,1629.0,7.0,4.0,86.0,113.0,909.0,17.0,23.8,14.9
Cincinnati Bengals,268.0,4824.0,979.0,4.9,22.0,10.0,271.0,307.0,521.0,3185.0,20.0,12.0,5.5,148.0,405.0,1639.0,7.0,4.0,92.0,69.0,620.0,31.0,25.8,10.1
Pittsburgh Steelers,263.0,4586.0,1014.0,4.5,32.0,12.0,268.0,274.0,489.0,2552.0,13.0,20.0,4.9,135.0,490.0,2034.0,8.0,4.2,106.0,79.0,691.0,27.0,24.3,13.3
San Diego Chargers,241.0,4592.0,1063.0,4.3,51.0,17.0,272.0,261.0,566.0,2864.0,11.0,34.0,4.7,146.0,460.0,1728.0,11.0,3.8,95.0,137.0,1229.0,31.0,23.4,22.8
Philadelphia Eagles,161.0,4188.0,1017.0,4.1,26.0,8.0,259.0,282.0,534.0,2413.0,7.0,18.0,4.1,141.0,427.0,1775.0,10.0,4.2,86.0,102.0,852.0,32.0,16.4,12.7
Avg Team,340.5,5082.6,1008.8,5.0,28.7,11.7,291.3,292.2,516.3,3279.5,21.9,17.0,5.9,167.5,452.3,1803.1,12.6,4.0,96.6,111.6,922.0,27.2,30.316666666666663,14.306666666666668
