Tm,PF,TotalYds,Ply,Y/Play,TO,FL,1stD,Cmp,PassAtt,PassYds,PassTD,Int,NY/A,1stDpass,RushAtt,RushYds,RushTD,Y/Arun,1stDrun,Pen,PenYds,1stPy,Sc%,TO%
San Francisco 49ers,505.0,6060.0,1037.0,5.8,24.0,13.0,362.0,359.0,511.0,4163.0,37.0,11.0,7.6,210.0,491.0,1897.0,23.0,3.9,122.0,109.0,890.0,30.0,0.0,0.0
Dallas Cowboys,414.0,5321.0,1018.0,5.2,24.0,10.0,322.0,282.0,448.0,3368.0,19.0,14.0,7.2,160.0,550.0,1953.0,26.0,3.6,136.0,100.0,895.0,26.0,0.0,0.0
Miami Dolphins,389.0,6078.0,1078.0,5.6,32.0,14.0,344.0,392.0,627.0,4420.0,31.0,18.0,6.9,220.0,433.0,1658.0,13.0,3.8,109.0,92.0,747.0,15.0,0.0,0.0
Green Bay Packers,382.0,5316.0,1059.0,5.0,22.0,8.0,314.0,375.0,609.0,3773.0,33.0,14.0,5.9,205.0,417.0,1543.0,11.0,3.7,88.0,85.0,760.0,21.0,0.0,0.0
San Diego Chargers,381.0,5220.0,1033.0,5.1,23.0,9.0,311.0,305.0,522.0,3368.0,20.0,14.0,6.1,181.0,482.0,1852.0,13.0,3.8,102.0,96.0,875.0,28.0,0.0,0.0
Detroit Lions,357.0,5002.0,891.0,5.6,24.0,10.0,280.0,250.0,459.0,2922.0,24.0,14.0,6.0,164.0,406.0,2080.0,12.0,5.1,94.0,109.0,781.0,22.0,0.0,0.0
Minnesota Vikings,356.0,5848.0,1123.0,5.2,34.0,14.0,325.0,409.0,673.0,4324.0,18.0,20.0,6.1,215.0,419.0,1524.0,11.0,3.6,92.0,112.0,880.0,18.0,0.0,0.0
New England Patriots,351.0,5776.0,1199.0,4.8,38.0,11.0,348.0,405.0,699.0,4444.0,25.0,27.0,6.2,243.0,478.0,1332.0,12.0,2.8,83.0,78.0,597.0,22.0,0.0,0.0
New Orleans Saints,348.0,5182.0,966.0,5.4,32.0,14.0,308.0,366.0,569.0,3846.0,22.0,18.0,6.5,203.0,373.0,1336.0,11.0,3.6,78.0,88.0,678.0,27.0,0.0,0.0
Denver Broncos,347.0,5487.0,1112.0,4.9,31.0,18.0,346.0,388.0,626.0,4017.0,18.0,13.0,5.9,202.0,431.0,1470.0,19.0,3.4,101.0,101.0,865.0,43.0,0.0,0.0
