Tm,PF,TotalYds,Ply,Y/Play,TO,FL,1stD,Cmp,PassAtt,PassYds,PassTD,Int,NY/A,1stDpass,RushAtt,RushYds,RushTD,Y/Arun,1stDrun,Pen,PenYds,1stPy,Sc%,TO%
Miami Dolphins,513.0,6936.0,1070.0,6.5,28.0,10.0,387.0,367.0,572.0,5018.0,49.0,18.0,8.6,243.0,484.0,1918.0,18.0,4.0,115.0,67.0,527.0,29.0,0.0,0.0
San Francisco 49ers,475.0,6366.0,1057.0,6.0,22.0,12.0,356.0,312.0,496.0,3901.0,32.0,10.0,7.5,204.0,534.0,2465.0,21.0,4.6,138.0,100.0,884.0,14.0,0.0,0.0
Washington Redskins,426.0,5350.0,1121.0,4.8,28.0,15.0,339.0,286.0,485.0,3076.0,24.0,13.0,5.8,164.0,588.0,2274.0,20.0,3.9,154.0,80.0,723.0,21.0,0.0,0.0
St. Louis Cardinals,423.0,6345.0,1103.0,5.8,36.0,20.0,345.0,347.0,566.0,4257.0,28.0,16.0,6.9,200.0,488.0,2088.0,21.0,4.3,129.0,109.0,904.0,16.0,0.0,0.0
Seattle Seahawks,418.0,5068.0,1034.0,4.9,39.0,13.0,287.0,283.0,497.0,3423.0,32.0,26.0,6.4,171.0,495.0,1645.0,10.0,3.3,94.0,128.0,1179.0,22.0,0.0,0.0
San Diego Chargers,394.0,6297.0,1154.0,5.5,38.0,17.0,374.0,401.0,662.0,4643.0,25.0,21.0,6.7,240.0,456.0,1654.0,18.0,3.6,106.0,112.0,1023.0,28.0,0.0,0.0
Green Bay Packers,390.0,5449.0,1009.0,5.4,37.0,7.0,315.0,281.0,506.0,3430.0,30.0,30.0,6.3,168.0,461.0,2019.0,18.0,4.4,120.0,110.0,915.0,27.0,0.0,0.0
Pittsburgh Steelers,387.0,5420.0,1052.0,5.2,40.0,15.0,302.0,240.0,443.0,3241.0,25.0,25.0,6.8,167.0,574.0,2179.0,13.0,3.8,117.0,112.0,948.0,18.0,0.0,0.0
Los Angeles Raiders,368.0,5244.0,1061.0,4.9,48.0,20.0,301.0,266.0,491.0,3358.0,21.0,28.0,6.2,162.0,516.0,1886.0,19.0,3.7,114.0,143.0,1209.0,25.0,0.0,0.0
New England Patriots,362.0,5263.0,1048.0,5.0,29.0,15.0,315.0,292.0,500.0,3231.0,26.0,14.0,5.7,186.0,482.0,2032.0,15.0,4.2,104.0,86.0,674.0,25.0,0.0,0.0
Denver Broncos,353.0,4935.0,1018.0,4.8,34.0,17.0,299.0,263.0,475.0,2859.0,22.0,17.0,5.6,152.0,508.0,2076.0,12.0,4.1,121.0,78.0,636.0,26.0,0.0,0.0
Los Angeles Rams,346.0,5006.0,931.0,5.4,35.0,18.0,258.0,176.0,358.0,2142.0,16.0,17.0,5.5,100.0,541.0,2864.0,16.0,5.3,140.0,93.0,830.0,18.0,0.0,0.0
Cincinnati Bengals,339.0,5480.0,1081.0,5.1,39.0,17.0,339.0,306.0,496.0,3301.0,17.0,22.0,6.1,179.0,540.0,2179.0,18.0,4.0,135.0,85.0,693.0,25.0,0.0,0.0
Tampa Bay Buccaneers,335.0,5321.0,1091.0,4.9,43.0,20.0,344.0,334.0,563.0,3545.0,22.0,23.0,5.8,209.0,483.0,1776.0,17.0,3.7,114.0,118.0,875.0,21.0,0.0,0.0
New York Jets,332.0,5148.0,1044.0,4.9,34.0,13.0,310.0,272.0,488.0,2959.0,20.0,21.0,5.5,176.0,504.0,2189.0,17.0,4.3,118.0,96.0,779.0,16.0,0.0,0.0
Chicago Bears,325.0,5437.0,1100.0,4.9,31.0,16.0,297.0,226.0,390.0,2463.0,14.0,15.0,5.8,115.0,674.0,2974.0,22.0,4.4,164.0,114.0,851.0,18.0,0.0,0.0
Kansas City Chiefs,314.0,5095.0,1034.0,4.9,37.0,15.0,295.0,305.0,593.0,3568.0,21.0,22.0,5.7,178.0,408.0,1527.0,12.0,3.7,88.0,98.0,801.0,29.0,0.0,0.0
Dallas Cowboys,308.0,5320.0,1121.0,4.7,43.0,17.0,323.0,322.0,604.0,3606.0,19.0,26.0,5.5,202.0,469.0,1714.0,12.0,3.7,93.0,100.0,947.0,28.0,0.0,0.0
New York Giants,299.0,5292.0,1083.0,4.9,27.0,9.0,310.0,288.0,535.0,3632.0,22.0,18.0,6.2,198.0,493.0,1660.0,12.0,3.4,97.0,79.0,703.0,15.0,0.0,0.0
New Orleans Saints,298.0,5008.0,1044.0,4.8,41.0,13.0,298.0,246.0,476.0,2837.0,21.0,28.0,5.4,137.0,523.0,2171.0,9.0,4.2,131.0,101.0,849.0,30.0,0.0,0.0
Detroit Lions,283.0,5318.0,1038.0,5.1,36.0,14.0,306.0,298.0,531.0,3301.0,19.0,22.0,5.6,170.0,446.0,2017.0,13.0,4.5,118.0,138.0,1165.0,18.0,0.0,0.0
Atlanta Falcons,281.0,5044.0,1034.0,4.9,41.0,21.0,292.0,294.0,478.0,3050.0,14.0,20.0,5.6,151.0,489.0,1994.0,16.0,4.1,123.0,125.0,1011.0,18.0,0.0,0.0
Philadelphia Eagles,278.0,4698.0,1047.0,4.5,33.0,16.0,280.0,331.0,606.0,3360.0,19.0,17.0,5.0,176.0,381.0,1338.0,6.0,3.5,83.0,77.0,632.0,21.0,0.0,0.0
Minnesota Vikings,276.0,4716.0,1041.0,4.5,41.0,16.0,289.0,281.0,533.0,2872.0,18.0,25.0,4.8,150.0,444.0,1844.0,10.0,4.2,111.0,90.0,762.0,28.0,0.0,0.0
Cleveland Browns,250.0,4828.0,1039.0,4.6,39.0,16.0,295.0,273.0,495.0,3132.0,14.0,23.0,5.7,180.0,489.0,1696.0,10.0,3.5,89.0,111.0,928.0,26.0,0.0,0.0
Buffalo Bills,250.0,4341.0,1046.0,4.2,44.0,14.0,263.0,298.0,588.0,2698.0,18.0,30.0,4.2,149.0,398.0,1643.0,9.0,4.1,98.0,121.0,997.0,16.0,0.0,0.0
Houston Oilers,240.0,4884.0,969.0,5.0,31.0,16.0,284.0,282.0,487.0,3228.0,14.0,15.0,6.0,164.0,433.0,1656.0,13.0,3.8,95.0,99.0,813.0,25.0,0.0,0.0
Indianapolis Colts,239.0,4132.0,979.0,4.2,38.0,16.0,254.0,206.0,411.0,2107.0,13.0,22.0,4.5,117.0,510.0,2025.0,13.0,4.0,114.0,95.0,798.0,23.0,0.0,0.0
Avg Team,339.4,5276.5,1051.8,5.0,36.1,15.3,309.2,288.4,511.6,3294.2,22.0,20.9,5.9,171.7,493.3,1982.3,14.6,4.0,115.1,102.32142857142857,859.1428571428571,22.4,0.0,0.0
