Tm,PF,TotalYds,Ply,Y/Play,TO,FL,1stD,Cmp,PassAtt,PassYds,PassTD,Int,NY/A,1stDpass,RushAtt,RushYds,RushTD,Y/Arun,1stDrun,Pen,PenYds,1stPy,Sc%,TO%
San Diego Chargers,478.0,6744.0,1129.0,6.0,40.0,22.0,379.0,368.0,629.0,4739.0,34.0,18.0,7.3,224.0,481.0,2005.0,26.0,4.2,127.0,128.0,947.0,28.0,0.0,0.0
Atlanta Falcons,426.0,5664.0,1095.0,5.2,41.0,17.0,318.0,311.0,563.0,3699.0,30.0,24.0,6.2,176.0,495.0,1965.0,15.0,4.0,116.0,90.0,940.0,26.0,0.0,0.0
Cincinnati Bengals,421.0,5968.0,1078.0,5.5,24.0,12.0,361.0,332.0,550.0,3995.0,30.0,12.0,6.8,210.0,493.0,1973.0,19.0,4.0,124.0,109.0,896.0,27.0,0.0,0.0
Detroit Lions,397.0,5933.0,1076.0,5.5,43.0,20.0,340.0,228.0,436.0,3138.0,18.0,23.0,6.5,150.0,596.0,2795.0,26.0,4.7,167.0,111.0,990.0,23.0,0.0,0.0
Philadelphia Eagles,368.0,5553.0,1057.0,5.3,39.0,17.0,332.0,258.0,476.0,3044.0,25.0,22.0,6.1,150.0,559.0,2509.0,17.0,4.5,157.0,113.0,855.0,25.0,0.0,0.0
Dallas Cowboys,367.0,5880.0,1100.0,5.3,35.0,20.0,321.0,241.0,439.0,3169.0,24.0,15.0,6.7,158.0,630.0,2711.0,15.0,4.3,137.0,103.0,839.0,26.0,0.0,0.0
San Francisco 49ers,357.0,5484.0,1106.0,5.0,25.0,12.0,317.0,328.0,517.0,3543.0,20.0,13.0,6.5,183.0,560.0,1941.0,17.0,3.5,110.0,92.0,752.0,24.0,0.0,0.0
Pittsburgh Steelers,356.0,5598.0,1042.0,5.4,41.0,22.0,318.0,247.0,461.0,3226.0,25.0,19.0,6.6,156.0,554.0,2372.0,21.0,4.3,137.0,97.0,840.0,25.0,0.0,0.0
New York Jets,355.0,5396.0,1108.0,4.9,31.0,17.0,318.0,283.0,507.0,3055.0,26.0,14.0,5.7,170.0,571.0,2341.0,11.0,4.1,122.0,112.0,936.0,26.0,0.0,0.0
Washington Redskins,347.0,5623.0,1087.0,5.2,41.0,19.0,334.0,307.0,525.0,3466.0,19.0,22.0,6.2,173.0,532.0,2157.0,19.0,4.1,136.0,98.0,940.0,25.0,0.0,0.0
Miami Dolphins,345.0,5322.0,1063.0,5.0,31.0,10.0,306.0,271.0,498.0,3149.0,18.0,21.0,6.0,157.0,535.0,2173.0,18.0,4.1,123.0,71.0,541.0,26.0,0.0,0.0
Kansas City Chiefs,343.0,5273.0,1057.0,5.0,46.0,24.0,315.0,224.0,410.0,2640.0,12.0,22.0,5.9,132.0,610.0,2633.0,22.0,4.3,160.0,97.0,924.0,23.0,0.0,0.0
Minnesota Vikings,325.0,5845.0,1129.0,5.2,50.0,21.0,343.0,382.0,709.0,4333.0,27.0,29.0,5.9,217.0,391.0,1512.0,8.0,3.9,91.0,109.0,865.0,35.0,0.0,0.0
Green Bay Packers,324.0,4859.0,1044.0,4.7,41.0,17.0,308.0,286.0,514.0,3189.0,24.0,24.0,5.6,174.0,478.0,1670.0,11.0,3.5,104.0,84.0,687.0,30.0,0.0,0.0
Seattle Seahawks,322.0,5021.0,1001.0,5.0,38.0,23.0,295.0,307.0,524.0,3427.0,21.0,15.0,6.1,166.0,440.0,1594.0,14.0,3.6,103.0,106.0,823.0,26.0,0.0,0.0
New England Patriots,322.0,5623.0,1026.0,5.5,50.0,16.0,306.0,254.0,482.0,3583.0,17.0,34.0,6.8,166.0,499.0,2040.0,23.0,4.1,124.0,89.0,742.0,16.0,0.0,0.0
Denver Broncos,321.0,5426.0,1061.0,5.1,39.0,18.0,306.0,289.0,485.0,3531.0,27.0,21.0,6.5,181.0,515.0,1895.0,12.0,3.7,91.0,99.0,833.0,34.0,0.0,0.0
