Tm,PF,TotalYds,Ply,Y/Play,TO,FL,1stD,Cmp,PassAtt,PassYds,PassTD,Int,NY/A,1stDpass,RushAtt,RushYds,RushTD,Y/Arun,1stDrun,Pen,PenYds,1stPy,Sc%,TO%
San Francisco 49ers,457.0,6087.0,1092.0,5.6,28.0,12.0,355.0,432.0,644.0,4608.0,29.0,16.0,6.8,231.0,415.0,1479.0,19.0,3.6,109.0,88.0,711.0,15.0,0.0,0.0
Detroit Lions,436.0,6113.0,1024.0,6.0,25.0,13.0,349.0,362.0,605.0,4360.0,33.0,12.0,6.8,230.0,387.0,1753.0,16.0,4.5,91.0,134.0,1032.0,28.0,0.0,0.0
Dallas Cowboys,435.0,5824.0,1007.0,5.8,23.0,13.0,364.0,322.0,494.0,3623.0,18.0,10.0,7.1,195.0,495.0,2201.0,29.0,4.4,141.0,90.0,695.0,28.0,0.0,0.0
Minnesota Vikings,412.0,5938.0,1115.0,5.3,29.0,13.0,342.0,402.0,642.0,4205.0,33.0,16.0,6.2,223.0,433.0,1733.0,10.0,4.0,91.0,105.0,797.0,28.0,0.0,0.0
Pittsburgh Steelers,407.0,5769.0,1110.0,5.2,34.0,13.0,344.0,348.0,592.0,3917.0,21.0,21.0,6.4,193.0,494.0,1852.0,17.0,3.7,117.0,109.0,839.0,34.0,0.0,0.0
Green Bay Packers,404.0,5750.0,1036.0,5.6,21.0,6.0,339.0,372.0,593.0,4322.0,39.0,15.0,6.9,235.0,410.0,1428.0,9.0,3.5,84.0,85.0,604.0,20.0,0.0,0.0
Miami Dolphins,398.0,5716.0,1034.0,5.5,32.0,12.0,345.0,384.0,592.0,4210.0,28.0,20.0,6.8,225.0,413.0,1506.0,16.0,3.6,98.0,110.0,907.0,22.0,0.0,0.0
Chicago Bears,392.0,5673.0,1030.0,5.5,26.0,16.0,340.0,315.0,523.0,3743.0,29.0,10.0,7.0,201.0,492.0,1930.0,15.0,3.9,116.0,71.0,601.0,23.0,0.0,0.0
Denver Broncos,388.0,6040.0,1060.0,5.7,30.0,16.0,344.0,350.0,594.0,4045.0,27.0,14.0,6.5,205.0,440.0,1995.0,14.0,4.5,114.0,109.0,851.0,25.0,0.0,0.0
Seattle Seahawks,363.0,5270.0,1033.0,5.1,32.0,9.0,311.0,273.0,511.0,3092.0,19.0,23.0,5.6,171.0,477.0,2178.0,20.0,4.6,121.0,100.0,852.0,19.0,0.0,0.0
Atlanta Falcons,362.0,5579.0,983.0,5.7,21.0,9.0,317.0,364.0,603.0,4186.0,26.0,12.0,6.5,216.0,337.0,1393.0,8.0,4.1,85.0,96.0,737.0,16.0,0.0,0.0
