Tm,PF,TotalYds,Ply,Y/Play,TO,FL,1stD,Cmp,PassAtt,PassYds,PassTD,Int,NY/A,1stDpass,RushAtt,RushYds,RushTD,Y/Arun,1stDrun,Pen,PenYds,1stPy,Sc%,TO%
Cincinnati Bengals,448.0,6057.0,985.0,6.1,27.0,13.0,351.0,225.0,392.0,3347.0,28.0,14.0,7.9,165.0,563.0,2710.0,27.0,4.8,159.0,82.0,647.0,27.0,0.0,0.0
Houston Oilers,424.0,5205.0,1010.0,5.2,35.0,17.0,308.0,218.0,428.0,2956.0,21.0,18.0,6.5,148.0,558.0,2249.0,26.0,4.0,141.0,125.0,1150.0,19.0,0.0,0.0
Los Angeles Rams,407.0,5808.0,1057.0,5.5,34.0,16.0,333.0,312.0,522.0,3805.0,31.0,18.0,6.9,203.0,507.0,2003.0,16.0,4.0,114.0,78.0,587.0,16.0,0.0,0.0
Minnesota Vikings,406.0,5595.0,1068.0,5.2,30.0,12.0,318.0,294.0,520.0,3789.0,20.0,18.0,6.7,187.0,501.0,1806.0,22.0,3.6,112.0,118.0,998.0,19.0,0.0,0.0
Philadelphia Eagles,379.0,5430.0,1102.0,4.9,26.0,9.0,318.0,309.0,581.0,3485.0,25.0,17.0,5.5,179.0,464.0,1945.0,17.0,4.2,105.0,115.0,907.0,34.0,0.0,0.0
New York Jets,372.0,5215.0,1094.0,4.8,27.0,16.0,331.0,299.0,538.0,3083.0,20.0,11.0,5.3,181.0,514.0,2132.0,19.0,4.1,118.0,115.0,931.0,32.0,0.0,0.0
San Francisco 49ers,369.0,5900.0,1076.0,5.5,26.0,12.0,326.0,293.0,502.0,3377.0,21.0,14.0,6.2,167.0,527.0,2523.0,18.0,4.8,141.0,115.0,986.0,18.0,0.0,0.0
New York Giants,359.0,4955.0,1078.0,4.6,27.0,13.0,317.0,290.0,525.0,3266.0,22.0,14.0,5.6,168.0,493.0,1689.0,15.0,3.4,123.0,88.0,660.0,26.0,0.0,0.0
Indianapolis Colts,354.0,4870.0,982.0,5.0,30.0,8.0,311.0,222.0,403.0,2621.0,15.0,22.0,6.0,130.0,545.0,2249.0,23.0,4.1,153.0,89.0,657.0,28.0,0.0,0.0
Washington Redskins,345.0,5679.0,1053.0,5.4,46.0,21.0,307.0,327.0,592.0,4136.0,33.0,25.0,6.7,202.0,437.0,1543.0,8.0,3.5,88.0,96.0,817.0,17.0,0.0,0.0
Phoenix Cardinals,344.0,5807.0,1102.0,5.3,35.0,16.0,336.0,322.0,562.0,3780.0,26.0,19.0,6.1,195.0,480.0,2027.0,15.0,4.2,122.0,99.0,790.0,19.0,0.0,0.0
