Tm,PF,TotalYds,Ply,Y/Play,TO,FL,1stD,Cmp,PassAtt,PassYds,PassTD,Int,NY/A,1stDpass,RushAtt,RushYds,RushTD,Y/Arun,1stDrun,Pen,PenYds,1stPy,Sc%,TO%,ExpectedPoints
New Orleans Saints,463.0,6571.0,1047.0,6.3,26.0,8.0,354.0,413.0,636.0,4977.0,34.0,18.0,7.7,232.0,398.0,1594.0,20.0,4.0,103.0,86.0,797.0,19.0,42.7,14.0,159.5
San Diego Chargers,439.0,5584.0,924.0,6.0,20.0,9.0,301.0,312.0,478.0,3858.0,34.0,11.0,7.7,191.0,421.0,1726.0,13.0,4.1,92.0,95.0,748.0,18.0,43.5,10.6,133.07
New York Giants,427.0,5695.0,1021.0,5.6,13.0,3.0,338.0,298.0,491.0,3177.0,23.0,10.0,6.1,176.0,502.0,2518.0,19.0,5.0,130.0,102.0,821.0,32.0,43.8,7.3,91.08
Arizona Cardinals,427.0,5852.0,998.0,5.9,30.0,15.0,328.0,418.0,630.0,4674.0,31.0,15.0,7.1,231.0,340.0,1178.0,14.0,3.5,72.0,107.0,781.0,25.0,39.3,15.7,88.71
Green Bay Packers,419.0,5618.0,1012.0,5.6,21.0,8.0,299.0,343.0,541.0,3813.0,28.0,13.0,6.6,182.0,437.0,1805.0,11.0,4.1,99.0,110.0,984.0,18.0,36.9,11.2,64.12
Philadelphia Eagles,416.0,5608.0,1056.0,5.3,26.0,10.0,318.0,362.0,606.0,3911.0,23.0,16.0,6.2,204.0,427.0,1697.0,15.0,4.0,94.0,74.0,635.0,20.0,35.5,11.5,24.99
Carolina Panthers,414.0,5595.0,938.0,6.0,19.0,7.0,287.0,246.0,414.0,3158.0,15.0,12.0,7.3,152.0,504.0,2437.0,30.0,4.8,118.0,94.0,637.0,17.0,38.0,9.9,48.11
New England Patriots,410.0,5847.0,1095.0,5.3,21.0,10.0,356.0,339.0,534.0,3569.0,21.0,11.0,6.1,186.0,513.0,2278.0,21.0,4.4,145.0,57.0,501.0,25.0,44.8,11.5,116.71
New York Jets,405.0,5307.0,981.0,5.4,31.0,8.0,308.0,347.0,529.0,3303.0,22.0,23.0,5.9,186.0,422.0,2004.0,20.0,4.7,94.0,77.0,569.0,28.0,37.3,16.9,27.89
Atlanta Falcons,391.0,5779.0,1011.0,5.7,21.0,10.0,313.0,265.0,434.0,3336.0,16.0,11.0,7.4,157.0,560.0,2443.0,23.0,4.4,131.0,71.0,591.0,25.0,39.7,10.3,88.17
