Tm,PF,TotalYds,Ply,Y/Play,TO,FL,1stD,Cmp,PassAtt,PassYds,PassTD,Int,NY/A,1stDpass,RushAtt,RushYds,RushTD,Y/Arun,1stDrun,Pen,PenYds,1stPy,Sc%,TO%
Denver Broncos,472.0,5872.0,1068.0,5.5,21.0,10.0,340.0,287.0,513.0,3494.0,27.0,11.0,6.4,172.0,520.0,2378.0,18.0,4.6,138.0,116.0,1006.0,30.0,0.0,0.0
Green Bay Packers,422.0,5614.0,1008.0,5.6,32.0,16.0,325.0,309.0,523.0,3705.0,35.0,16.0,6.7,191.0,459.0,1909.0,9.0,4.2,103.0,93.0,718.0,31.0,0.0,0.0
Jacksonville Jaguars,394.0,5424.0,998.0,5.4,20.0,11.0,308.0,313.0,504.0,3704.0,20.0,9.0,6.8,187.0,454.0,1720.0,20.0,3.8,103.0,110.0,914.0,18.0,0.0,0.0
Detroit Lions,379.0,5798.0,1028.0,5.6,28.0,11.0,304.0,304.0,540.0,3334.0,19.0,17.0,5.7,166.0,447.0,2464.0,19.0,5.5,120.0,94.0,866.0,18.0,0.0,0.0
San Francisco 49ers,375.0,5112.0,999.0,5.1,20.0,9.0,294.0,278.0,432.0,3143.0,20.0,11.0,6.6,167.0,523.0,1969.0,16.0,3.8,106.0,115.0,979.0,21.0,0.0,0.0
Kansas City Chiefs,375.0,5064.0,1054.0,4.8,20.0,10.0,315.0,281.0,493.0,2893.0,20.0,10.0,5.5,163.0,529.0,2171.0,15.0,4.1,129.0,121.0,1035.0,23.0,0.0,0.0
Pittsburgh Steelers,372.0,5542.0,1058.0,5.2,33.0,14.0,326.0,253.0,466.0,3063.0,22.0,19.0,6.3,157.0,572.0,2479.0,19.0,4.3,154.0,95.0,861.0,15.0,0.0,0.0
New England Patriots,369.0,5014.0,960.0,5.2,22.0,7.0,267.0,321.0,532.0,3550.0,31.0,15.0,6.3,173.0,398.0,1464.0,6.0,3.7,71.0,99.0,845.0,23.0,0.0,0.0
Seattle Seahawks,365.0,5759.0,1049.0,5.5,32.0,11.0,331.0,359.0,609.0,3959.0,26.0,21.0,6.1,207.0,404.0,1800.0,13.0,4.5,98.0,109.0,911.0,26.0,0.0,0.0
Cincinnati Bengals,355.0,5282.0,1002.0,5.3,22.0,13.0,310.0,302.0,504.0,3316.0,21.0,9.0,6.0,171.0,452.0,1966.0,23.0,4.3,104.0,98.0,877.0,35.0,0.0,0.0
Minnesota Vikings,354.0,5354.0,1022.0,5.2,22.0,6.0,293.0,319.0,540.0,3313.0,26.0,16.0,5.8,177.0,449.0,2041.0,14.0,4.5,96.0,97.0,800.0,20.0,0.0,0.0
New York Jets,348.0,4727.0,1043.0,4.5,22.0,12.0,291.0,319.0,564.0,3242.0,20.0,10.0,5.3,173.0,431.0,1485.0,10.0,3.4,97.0,83.0,678.0,21.0,0.0,0.0
Miami Dolphins,339.0,5135.0,1028.0,5.0,20.0,8.0,311.0,332.0,576.0,3792.0,16.0,12.0,6.3,199.0,430.0,1343.0,18.0,3.1,87.0,93.0,783.0,25.0,0.0,0.0
Tennessee Oilers,333.0,4919.0,993.0,5.0,26.0,13.0,288.0,220.0,420.0,2505.0,15.0,13.0,5.5,136.0,541.0,2414.0,17.0,4.5,130.0,103.0,814.0,22.0,0.0,0.0
Washington Redskins,327.0,4998.0,1033.0,4.8,29.0,7.0,300.0,283.0,547.0,3383.0,22.0,22.0,5.8,192.0,453.0,1615.0,12.0,3.6,86.0,78.0,639.0,22.0,0.0,0.0
Baltimore Ravens,326.0,5291.0,1043.0,5.1,33.0,17.0,292.0,338.0,586.0,3702.0,25.0,16.0,5.9,176.0,420.0,1589.0,7.0,3.8,99.0,101.0,777.0,17.0,0.0,0.0
Oakland Raiders,324.0,5102.0,947.0,5.4,24.0,14.0,263.0,294.0,529.0,3514.0,29.0,10.0,6.0,170.0,360.0,1588.0,9.0,4.4,74.0,117.0,976.0,19.0,0.0,0.0
Atlanta Falcons,320.0,4716.0,980.0,4.8,24.0,13.0,281.0,273.0,484.0,3073.0,26.0,11.0,5.7,168.0,442.0,1643.0,8.0,3.7,88.0,101.0,773.0,25.0,0.0,0.0
Philadelphia Eagles,317.0,5590.0,1116.0,5.0,32.0,16.0,326.0,330.0,587.0,3647.0,22.0,16.0,5.6,203.0,465.0,1943.0,11.0,4.2,105.0,104.0,866.0,18.0,0.0,0.0
Indianapolis Colts,313.0,4869.0,1035.0,4.7,28.0,11.0,301.0,317.0,523.0,3142.0,16.0,17.0,5.4,171.0,450.0,1727.0,10.0,3.8,109.0,106.0,880.0,21.0,0.0,0.0
New York Giants,307.0,4513.0,1027.0,4.4,19.0,7.0,273.0,249.0,474.0,2525.0,16.0,12.0,5.0,124.0,521.0,1988.0,14.0,3.8,113.0,116.0,1005.0,36.0,0.0,0.0
Dallas Cowboys,304.0,4778.0,1015.0,4.7,23.0,11.0,279.0,314.0,553.0,3141.0,19.0,12.0,5.3,170.0,423.0,1637.0,6.0,3.9,82.0,116.0,1058.0,27.0,0.0,0.0
Tampa Bay Buccaneers,299.0,4376.0,915.0,4.8,23.0,11.0,249.0,224.0,404.0,2442.0,21.0,12.0,5.6,134.0,479.0,1934.0,15.0,4.0,88.0,77.0,660.0,27.0,0.0,0.0
St. Louis Rams,299.0,4761.0,1013.0,4.7,30.0,15.0,271.0,271.0,526.0,3198.0,14.0,15.0,5.6,161.0,443.0,1563.0,15.0,3.5,85.0,142.0,1065.0,25.0,0.0,0.0
Arizona Cardinals,283.0,4713.0,1075.0,4.4,42.0,20.0,295.0,317.0,602.0,3458.0,19.0,22.0,5.1,186.0,395.0,1255.0,9.0,3.2,79.0,93.0,775.0,30.0,0.0,0.0
San Diego Chargers,266.0,4505.0,1025.0,4.4,35.0,14.0,251.0,291.0,565.0,3089.0,12.0,21.0,5.0,160.0,409.0,1416.0,5.0,3.5,70.0,129.0,1101.0,21.0,0.0,0.0
Carolina Panthers,265.0,4615.0,1019.0,4.5,39.0,15.0,284.0,289.0,534.0,2845.0,17.0,24.0,4.9,170.0,441.0,1770.0,11.0,4.0,91.0,94.0,763.0,23.0,0.0,0.0
Chicago Bears,263.0,4990.0,1128.0,4.4,41.0,19.0,305.0,336.0,595.0,3244.0,14.0,22.0,5.1,188.0,490.0,1746.0,14.0,3.6,94.0,107.0,867.0,23.0,0.0,0.0
Buffalo Bills,255.0,4657.0,1014.0,4.6,42.0,17.0,268.0,293.0,546.0,2875.0,14.0,25.0,4.9,144.0,422.0,1782.0,12.0,4.2,98.0,92.0,742.0,26.0,0.0,0.0
New Orleans Saints,237.0,4045.0,925.0,4.4,55.0,22.0,229.0,228.0,458.0,2584.0,13.0,33.0,5.1,127.0,417.0,1461.0,9.0,3.5,78.0,101.0,811.0,24.0,0.0,0.0
Avg Team,331.9,5037.8,1020.7,4.9,28.6,12.7,292.3,294.8,524.3,3229.2,20.6,16.0,5.7,169.4,454.6,1808.7,12.8,4.0,99.2,103.33333333333333,861.5,23.7,0.0,0.0
