Tm,PF,TotalYds,Ply,Y/Play,TO,FL,1stD,Cmp,PassAtt,PassYds,PassTD,Int,NY/A,1stDpass,RushAtt,RushYds,RushTD,Y/Arun,1stDrun,Pen,PenYds,1stPy,Sc%,TO%
Buffalo Bills,428.0,5276.0,931.0,5.7,21.0,10.0,302.0,263.0,425.0,3196.0,28.0,11.0,7.1,161.0,479.0,2080.0,20.0,4.3,123.0,92.0,683.0,18.0,0.0,0.0
Houston Oilers,405.0,6222.0,1006.0,6.2,36.0,21.0,376.0,399.0,639.0,4805.0,37.0,15.0,7.1,251.0,328.0,1417.0,10.0,4.3,97.0,135.0,1009.0,28.0,0.0,0.0
Philadelphia Eagles,396.0,5700.0,1069.0,5.3,28.0,15.0,325.0,281.0,479.0,3144.0,34.0,13.0,5.9,170.0,540.0,2556.0,10.0,4.7,132.0,120.0,981.0,23.0,0.0,0.0
Washington Redskins,381.0,5562.0,1073.0,5.2,28.0,6.0,327.0,301.0,536.0,3479.0,22.0,22.0,6.2,193.0,515.0,2083.0,16.0,4.0,117.0,102.0,824.0,17.0,0.0,0.0
Detroit Lions,373.0,4977.0,870.0,5.7,36.0,16.0,278.0,242.0,460.0,3050.0,24.0,20.0,6.1,152.0,366.0,1927.0,19.0,5.3,112.0,88.0,711.0,14.0,0.0,0.0
Kansas City Chiefs,369.0,5215.0,975.0,5.3,19.0,14.0,280.0,260.0,449.0,3267.0,23.0,5.0,6.9,153.0,504.0,1948.0,11.0,3.9,104.0,111.0,886.0,23.0,0.0,0.0
Cincinnati Bengals,360.0,5063.0,943.0,5.4,35.0,12.0,277.0,237.0,425.0,2943.0,25.0,23.0,6.4,151.0,484.0,2120.0,16.0,4.4,107.0,83.0,627.0,19.0,0.0,0.0
San Francisco 49ers,353.0,5895.0,1074.0,5.5,30.0,14.0,324.0,360.0,583.0,4177.0,28.0,16.0,6.7,201.0,454.0,1718.0,12.0,3.8,107.0,104.0,828.0,16.0,0.0,0.0
Minnesota Vikings,351.0,5034.0,1001.0,5.0,37.0,13.0,288.0,265.0,497.0,3167.0,25.0,24.0,5.8,164.0,455.0,1867.0,10.0,4.1,106.0,83.0,565.0,18.0,0.0,0.0
Atlanta Falcons,348.0,5055.0,994.0,5.1,39.0,21.0,273.0,293.0,528.0,3461.0,21.0,18.0,6.0,168.0,420.0,1594.0,11.0,3.8,84.0,125.0,1004.0,21.0,0.0,0.0
Chicago Bears,348.0,4980.0,1024.0,4.9,26.0,14.0,295.0,229.0,430.0,2544.0,14.0,12.0,5.4,134.0,551.0,2436.0,22.0,4.4,142.0,75.0,615.0,19.0,0.0,0.0
Los Angeles Rams,345.0,5430.0,1013.0,5.4,31.0,14.0,311.0,310.0,561.0,3818.0,24.0,17.0,6.5,191.0,422.0,1612.0,17.0,3.8,89.0,87.0,632.0,31.0,0.0,0.0
Los Angeles Raiders,337.0,4716.0,861.0,5.5,24.0,14.0,258.0,183.0,336.0,2688.0,19.0,10.0,7.4,133.0,496.0,2028.0,20.0,4.1,110.0,97.0,682.0,15.0,0.0,0.0
Miami Dolphins,336.0,5047.0,975.0,5.2,27.0,15.0,303.0,310.0,539.0,3512.0,21.0,12.0,6.3,190.0,420.0,1535.0,13.0,3.7,90.0,64.0,486.0,23.0,0.0,0.0
New York Giants,335.0,4805.0,968.0,5.0,14.0,9.0,273.0,231.0,398.0,2756.0,18.0,5.0,6.5,135.0,541.0,2049.0,17.0,3.8,120.0,83.0,655.0,18.0,0.0,0.0
Denver Broncos,331.0,5213.0,1035.0,5.0,32.0,14.0,323.0,305.0,527.0,3341.0,15.0,18.0,5.8,170.0,462.0,1872.0,19.0,4.1,126.0,108.0,775.0,27.0,0.0,0.0
San Diego Chargers,315.0,4940.0,976.0,5.1,32.0,13.0,272.0,246.0,472.0,2683.0,18.0,19.0,5.5,142.0,484.0,2257.0,14.0,4.7,112.0,103.0,886.0,18.0,0.0,0.0
Seattle Seahawks,306.0,4583.0,945.0,4.8,36.0,16.0,284.0,265.0,448.0,2834.0,15.0,20.0,5.8,154.0,457.0,1749.0,18.0,3.8,112.0,89.0,746.0,18.0,0.0,0.0
New York Jets,295.0,4886.0,967.0,5.1,24.0,13.0,295.0,246.0,451.0,2759.0,14.0,11.0,5.6,143.0,476.0,2127.0,16.0,4.5,128.0,101.0,848.0,24.0,0.0,0.0
Pittsburgh Steelers,292.0,4525.0,897.0,5.0,32.0,17.0,263.0,237.0,408.0,2645.0,20.0,15.0,6.0,150.0,456.0,1880.0,11.0,4.1,93.0,110.0,928.0,20.0,0.0,0.0
Indianapolis Colts,281.0,4155.0,874.0,4.8,31.0,10.0,245.0,269.0,488.0,2873.0,22.0,21.0,5.3,142.0,335.0,1282.0,9.0,3.8,81.0,79.0,590.0,22.0,0.0,0.0
New Orleans Saints,274.0,4476.0,931.0,4.8,39.0,16.0,253.0,226.0,447.0,2626.0,15.0,23.0,5.6,133.0,464.0,1850.0,14.0,4.0,107.0,108.0,829.0,13.0,0.0,0.0
Green Bay Packers,271.0,4675.0,953.0,4.9,43.0,22.0,276.0,302.0,541.0,3306.0,20.0,21.0,5.5,183.0,350.0,1369.0,5.0,3.9,72.0,84.0,669.0,21.0,0.0,0.0
Phoenix Cardinals,268.0,4745.0,934.0,5.1,32.0,14.0,270.0,238.0,439.0,2833.0,16.0,18.0,5.9,135.0,452.0,1912.0,13.0,4.2,115.0,96.0,883.0,20.0,0.0,0.0
Tampa Bay Buccaneers,264.0,4475.0,911.0,4.9,43.0,19.0,238.0,245.0,448.0,2849.0,18.0,24.0,5.7,142.0,410.0,1626.0,7.0,4.0,83.0,77.0,651.0,13.0,0.0,0.0
Dallas Cowboys,244.0,4081.0,911.0,4.5,33.0,9.0,250.0,254.0,475.0,2581.0,12.0,24.0,5.0,135.0,393.0,1500.0,13.0,3.8,88.0,98.0,729.0,27.0,0.0,0.0
