Tm,PF,TotalYds,Ply,Y/Play,TO,FL,1stD,Cmp,PassAtt,PassYds,PassTD,Int,NY/A,1stDpass,RushAtt,RushYds,RushTD,Y/Arun,1stDrun,Pen,PenYds,1stPy,Sc%,TO%
Washington Redskins,485.0,5741.0,996.0,5.8,23.0,12.0,302.0,261.0,447.0,3692.0,30.0,11.0,8.1,179.0,540.0,2049.0,21.0,3.8,107.0,90.0,798.0,16.0,0.0,0.0
Buffalo Bills,458.0,6252.0,1056.0,5.9,35.0,16.0,359.0,332.0,516.0,3871.0,39.0,19.0,7.0,208.0,505.0,2381.0,16.0,4.7,128.0,113.0,865.0,23.0,0.0,0.0
San Francisco 49ers,393.0,5858.0,986.0,5.9,31.0,19.0,336.0,325.0,522.0,3997.0,29.0,12.0,7.3,197.0,440.0,1861.0,19.0,4.2,112.0,114.0,902.0,27.0,0.0,0.0
Houston Oilers,386.0,5987.0,1022.0,5.9,40.0,19.0,353.0,411.0,667.0,4621.0,24.0,21.0,6.7,236.0,331.0,1366.0,16.0,4.1,99.0,99.0,784.0,18.0,0.0,0.0
Atlanta Falcons,361.0,5113.0,940.0,5.4,36.0,14.0,258.0,260.0,499.0,3449.0,30.0,22.0,6.5,162.0,410.0,1664.0,6.0,4.1,82.0,113.0,929.0,14.0,0.0,0.0
Miami Dolphins,343.0,5241.0,970.0,5.4,28.0,14.0,312.0,327.0,563.0,3889.0,26.0,14.0,6.6,205.0,379.0,1352.0,8.0,3.6,91.0,62.0,516.0,16.0,0.0,0.0
Dallas Cowboys,342.0,5101.0,971.0,5.3,24.0,12.0,304.0,305.0,500.0,3390.0,16.0,12.0,6.3,191.0,433.0,1711.0,15.0,4.0,89.0,74.0,610.0,24.0,0.0,0.0
New Orleans Saints,341.0,4968.0,1008.0,4.9,30.0,15.0,267.0,292.0,506.0,3259.0,20.0,15.0,6.2,157.0,483.0,1709.0,15.0,3.5,93.0,101.0,801.0,17.0,0.0,0.0
Detroit Lions,339.0,4788.0,938.0,5.1,30.0,13.0,280.0,252.0,459.0,2858.0,16.0,17.0,5.9,148.0,454.0,1930.0,19.0,4.3,116.0,93.0,799.0,16.0,0.0,0.0
Kansas City Chiefs,322.0,5321.0,1021.0,5.2,22.0,8.0,322.0,284.0,479.0,3104.0,19.0,14.0,6.2,172.0,521.0,2217.0,14.0,4.3,127.0,94.0,724.0,23.0,0.0,0.0
New York Jets,314.0,5316.0,1059.0,5.0,25.0,13.0,331.0,295.0,503.0,3156.0,12.0,12.0,5.9,169.0,523.0,2160.0,17.0,4.1,133.0,103.0,814.0,29.0,0.0,0.0
Denver Broncos,304.0,5012.0,1012.0,5.0,25.0,13.0,284.0,246.0,459.0,2997.0,13.0,12.0,5.9,150.0,507.0,2015.0,16.0,4.0,117.0,94.0,715.0,17.0,0.0,0.0
