Tm,PF,TotalYds,Ply,Y/Play,TO,FL,1stD,Cmp,PassAtt,PassYds,PassTD,Int,NY/A,1stDpass,RushAtt,RushYds,RushTD,Y/Arun,1stDrun,Pen,PenYds,1stPy,Sc%,TO%
San Diego Chargers,467.0,6535.0,1111.0,5.9,49.0,19.0,380.0,386.0,632.0,4870.0,37.0,30.0,7.3,259.0,440.0,1665.0,20.0,3.8,92.0,100.0,937.0,29.0,0.0,0.0
Chicago Bears,456.0,5837.0,1085.0,5.4,31.0,15.0,343.0,237.0,432.0,3076.0,17.0,16.0,6.5,145.0,610.0,2761.0,27.0,4.5,176.0,104.0,912.0,22.0,0.0,0.0
Cincinnati Bengals,441.0,5900.0,1062.0,5.6,29.0,16.0,344.0,302.0,518.0,3717.0,31.0,13.0,6.6,191.0,503.0,2183.0,20.0,4.3,125.0,110.0,795.0,28.0,0.0,0.0
Miami Dolphins,428.0,5843.0,1039.0,5.6,41.0,20.0,361.0,343.0,576.0,4114.0,31.0,21.0,6.9,218.0,444.0,1729.0,19.0,3.9,116.0,77.0,637.0,27.0,0.0,0.0
San Francisco 49ers,411.0,5920.0,1069.0,5.5,34.0,20.0,340.0,331.0,550.0,3688.0,28.0,14.0,6.2,179.0,477.0,2232.0,20.0,4.7,137.0,105.0,868.0,24.0,0.0,0.0
New York Giants,399.0,5884.0,1130.0,5.2,38.0,18.0,356.0,275.0,497.0,3433.0,22.0,20.0,6.3,192.0,581.0,2451.0,24.0,4.2,138.0,80.0,781.0,26.0,0.0,0.0
New York Jets,393.0,5896.0,1123.0,5.3,29.0,21.0,344.0,303.0,497.0,3584.0,25.0,8.0,6.4,201.0,564.0,2312.0,18.0,4.1,121.0,119.0,907.0,22.0,0.0,0.0
Denver Broncos,380.0,5496.0,1152.0,4.8,31.0,8.0,339.0,329.0,617.0,3645.0,23.0,23.0,5.6,192.0,497.0,1851.0,20.0,3.7,113.0,85.0,677.0,34.0,0.0,0.0
Pittsburgh Steelers,379.0,5350.0,1086.0,4.9,36.0,9.0,315.0,254.0,512.0,3173.0,23.0,27.0,5.8,165.0,541.0,2177.0,14.0,4.0,125.0,85.0,665.0,25.0,0.0,0.0
New England Patriots,362.0,5499.0,1061.0,5.2,42.0,20.0,294.0,255.0,457.0,3168.0,20.0,22.0,6.4,153.0,565.0,2331.0,15.0,4.1,126.0,114.0,842.0,15.0,0.0,0.0
Dallas Cowboys,357.0,5602.0,1093.0,5.1,41.0,16.0,336.0,344.0,587.0,3861.0,27.0,25.0,6.1,208.0,462.0,1741.0,11.0,3.8,95.0,100.0,759.0,33.0,0.0,0.0
Los Angeles Raiders,354.0,5408.0,1081.0,5.0,38.0,14.0,304.0,269.0,506.0,3146.0,20.0,24.0,5.7,167.0,532.0,2262.0,18.0,4.3,111.0,116.0,962.0,26.0,0.0,0.0
Seattle Seahawks,349.0,5007.0,1090.0,4.6,41.0,18.0,299.0,304.0,575.0,3363.0,28.0,23.0,5.4,179.0,462.0,1644.0,9.0,3.6,96.0,102.0,827.0,24.0,0.0,0.0
Minnesota Vikings,346.0,5151.0,1027.0,5.0,47.0,18.0,317.0,311.0,576.0,3635.0,22.0,29.0,5.9,189.0,406.0,1516.0,19.0,3.7,95.0,88.0,690.0,33.0,0.0,0.0
Los Angeles Rams,340.0,4520.0,963.0,4.7,35.0,21.0,258.0,234.0,403.0,2463.0,16.0,14.0,5.4,131.0,503.0,2057.0,15.0,4.1,115.0,97.0,730.0,12.0,0.0,0.0
Green Bay Packers,337.0,5371.0,1033.0,5.2,45.0,18.0,318.0,267.0,513.0,3163.0,21.0,27.0,5.6,172.0,470.0,2208.0,16.0,4.7,114.0,101.0,798.0,32.0,0.0,0.0
Indianapolis Colts,320.0,5006.0,988.0,5.1,34.0,14.0,282.0,235.0,468.0,2567.0,15.0,20.0,5.1,130.0,485.0,2439.0,22.0,5.0,131.0,87.0,678.0,21.0,0.0,0.0
Kansas City Chiefs,317.0,4877.0,982.0,5.0,34.0,11.0,258.0,267.0,511.0,3391.0,23.0,23.0,6.1,158.0,428.0,1486.0,10.0,3.5,79.0,87.0,666.0,21.0,0.0,0.0
Detroit Lions,307.0,4476.0,967.0,4.6,41.0,20.0,259.0,254.0,462.0,2938.0,19.0,21.0,5.7,150.0,452.0,1538.0,13.0,3.4,89.0,104.0,741.0,20.0,0.0,0.0
Washington Redskins,297.0,5338.0,1135.0,4.7,40.0,19.0,319.0,280.0,512.0,2815.0,13.0,21.0,5.0,157.0,571.0,2523.0,20.0,4.4,147.0,74.0,596.0,15.0,0.0,0.0
Tampa Bay Buccaneers,294.0,4766.0,982.0,4.9,48.0,22.0,291.0,269.0,508.0,3122.0,22.0,26.0,5.7,162.0,434.0,1644.0,11.0,3.8,95.0,103.0,751.0,34.0,0.0,0.0
New Orleans Saints,294.0,4479.0,997.0,4.5,36.0,13.0,250.0,260.0,508.0,2796.0,20.0,23.0,4.9,148.0,431.0,1683.0,4.0,3.9,83.0,96.0,805.0,19.0,0.0,0.0
Cleveland Browns,287.0,4921.0,983.0,5.0,36.0,23.0,271.0,222.0,414.0,2636.0,17.0,13.0,5.9,128.0,533.0,2285.0,16.0,4.3,119.0,99.0,753.0,24.0,0.0,0.0
