Tm,PF,TotalYds,Ply,Y/Play,TO,FL,1stD,Cmp,PassAtt,PassYds,PassTD,Int,NY/A,1stDpass,RushAtt,RushYds,RushTD,Y/Arun,1stDrun,Pen,PenYds,1stPy,Sc%,TO%,ExpectedPoints
St. Louis Rams,503.0,6690.0,1007.0,6.6,44.0,22.0,357.0,379.0,551.0,4663.0,37.0,22.0,7.9,236.0,416.0,2027.0,20.0,4.9,104.0,107.0,847.0,17.0,44.0,20.9,164.29
Indianapolis Colts,413.0,5955.0,1025.0,5.8,38.0,15.0,343.0,349.0,557.0,3989.0,27.0,23.0,6.8,206.0,438.0,1966.0,16.0,4.5,110.0,76.0,730.0,27.0,36.4,18.5,23.74
San Francisco 49ers,409.0,5689.0,1041.0,5.5,19.0,7.0,328.0,318.0,506.0,3445.0,32.0,12.0,6.5,184.0,509.0,2244.0,16.0,4.4,121.0,82.0,669.0,23.0,36.3,10.4,103.62
Oakland Raiders,399.0,5361.0,1030.0,5.2,25.0,16.0,316.0,364.0,553.0,3707.0,27.0,9.0,6.4,195.0,450.0,1654.0,14.0,3.7,102.0,107.0,897.0,19.0,36.2,10.8,67.35
Green Bay Packers,390.0,5463.0,942.0,5.8,27.0,12.0,282.0,314.0,510.0,3770.0,32.0,15.0,7.1,187.0,410.0,1693.0,11.0,4.1,72.0,80.0,633.0,23.0,32.3,12.8,6.5
New England Patriots,371.0,4882.0,1001.0,4.9,28.0,13.0,292.0,306.0,482.0,3089.0,21.0,15.0,5.9,163.0,473.0,1793.0,15.0,3.8,101.0,92.0,802.0,28.0,32.4,14.6,-37.79
Pittsburgh Steelers,352.0,5887.0,1065.0,5.5,21.0,9.0,314.0,274.0,454.0,3113.0,16.0,12.0,6.4,150.0,580.0,2774.0,17.0,4.8,148.0,86.0,737.0,16.0,34.6,11.5,50.57
Miami Dolphins,344.0,4821.0,953.0,5.1,38.0,19.0,263.0,275.0,453.0,3157.0,20.0,19.0,6.6,154.0,473.0,1664.0,14.0,3.5,95.0,107.0,914.0,14.0,29.7,18.1,-64.97
Philadelphia Eagles,343.0,4923.0,974.0,5.1,24.0,10.0,256.0,300.0,522.0,3145.0,27.0,14.0,5.6,146.0,412.0,1778.0,6.0,4.3,90.0,100.0,768.0,20.0,29.4,10.9,-48.92
Denver Broncos,340.0,4817.0,1034.0,4.7,27.0,8.0,304.0,312.0,511.0,2940.0,26.0,19.0,5.3,174.0,481.0,1877.0,7.0,3.9,106.0,95.0,917.0,24.0,32.8,13.3,-67.85
