Tm,PF,TotalYds,Ply,Y/Play,TO,FL,1stD,Cmp,PassAtt,PassYds,PassTD,Int,NY/A,1stDpass,RushAtt,RushYds,RushTD,Y/Arun,1stDrun,Pen,PenYds,1stPy,Sc%,TO%,ExpectedPoints
New England Patriots,589.0,6580.0,1058.0,6.2,15.0,6.0,393.0,403.0,586.0,4731.0,50.0,9.0,7.8,243.0,451.0,1849.0,17.0,4.1,124.0,78.0,690.0,26.0,52.7,7.8,310.31
Dallas Cowboys,455.0,5851.0,975.0,6.0,24.0,5.0,322.0,342.0,531.0,4105.0,36.0,19.0,7.4,217.0,419.0,1746.0,14.0,4.2,83.0,104.0,815.0,22.0,41.8,12.6,117.63
Indianapolis Colts,450.0,5739.0,1020.0,5.6,19.0,5.0,357.0,355.0,551.0,4033.0,32.0,14.0,7.0,212.0,446.0,1706.0,19.0,3.8,119.0,67.0,515.0,26.0,44.6,11.4,177.78
Green Bay Packers,435.0,5931.0,985.0,6.0,24.0,9.0,307.0,383.0,578.0,4334.0,30.0,15.0,7.3,210.0,388.0,1597.0,13.0,4.1,69.0,113.0,1006.0,28.0,38.9,12.1,101.36
San Diego Chargers,412.0,5044.0,980.0,5.1,24.0,8.0,278.0,281.0,471.0,3005.0,22.0,16.0,6.1,158.0,485.0,2039.0,19.0,4.2,104.0,94.0,761.0,16.0,34.0,12.6,8.78
Jacksonville Jaguars,411.0,5719.0,1022.0,5.6,21.0,13.0,328.0,288.0,469.0,3328.0,28.0,8.0,6.7,180.0,522.0,2391.0,18.0,4.6,127.0,76.0,594.0,21.0,39.6,10.1,120.14
Arizona Cardinals,404.0,5505.0,1016.0,5.4,36.0,12.0,308.0,356.0,590.0,4065.0,32.0,24.0,6.6,210.0,402.0,1440.0,9.0,3.6,70.0,137.0,1128.0,28.0,32.0,18.3,-11.3
Cleveland Browns,402.0,5621.0,1004.0,5.6,29.0,9.0,315.0,305.0,545.0,3726.0,29.0,20.0,6.6,192.0,440.0,1895.0,13.0,4.3,110.0,114.0,868.0,13.0,35.4,14.6,-2.69
Seattle Seahawks,393.0,5583.0,1056.0,5.3,24.0,11.0,323.0,371.0,590.0,3964.0,30.0,13.0,6.3,211.0,430.0,1619.0,9.0,3.8,93.0,59.0,428.0,19.0,33.2,11.4,8.97
Pittsburgh Steelers,393.0,5239.0,1000.0,5.2,22.0,8.0,298.0,282.0,442.0,3071.0,34.0,14.0,6.3,179.0,511.0,2168.0,9.0,4.2,108.0,80.0,651.0,11.0,37.7,11.4,58.06
Cincinnati Bengals,380.0,5568.0,1008.0,5.5,30.0,10.0,320.0,373.0,575.0,4012.0,26.0,20.0,6.8,213.0,416.0,1556.0,10.0,3.7,81.0,90.0,670.0,26.0,37.9,15.3,30.63
Houston Texans,379.0,5337.0,968.0,5.5,38.0,17.0,295.0,346.0,529.0,3751.0,24.0,21.0,6.8,190.0,417.0,1586.0,12.0,3.8,96.0,82.0,636.0,9.0,35.5,20.9,8.6
New Orleans Saints,379.0,5780.0,1060.0,5.5,30.0,12.0,346.0,440.0,652.0,4314.0,28.0,18.0,6.5,232.0,392.0,1466.0,14.0,3.7,94.0,68.0,581.0,20.0,31.7,16.1,50.74
New York Giants,373.0,5302.0,1041.0,5.1,34.0,14.0,321.0,302.0,544.0,3154.0,23.0,20.0,5.5,167.0,469.0,2148.0,15.0,4.6,119.0,77.0,652.0,35.0,32.3,17.5,-5.3
Minnesota Vikings,365.0,5379.0,964.0,5.6,30.0,16.0,294.0,249.0,432.0,2745.0,12.0,14.0,5.8,139.0,494.0,2634.0,22.0,5.3,131.0,86.0,662.0,24.0,28.4,15.3,-3.74
Detroit Lions,346.0,5166.0,965.0,5.4,36.0,14.0,303.0,368.0,587.0,3878.0,19.0,22.0,6.0,203.0,324.0,1288.0,13.0,4.0,73.0,100.0,676.0,27.0,32.3,18.5,-42.6
Philadelphia Eagles,336.0,5729.0,1047.0,5.5,27.0,12.0,323.0,350.0,577.0,3755.0,24.0,15.0,6.0,186.0,421.0,1974.0,12.0,4.7,118.0,83.0,649.0,19.0,34.1,13.2,49.64
Tampa Bay Buccaneers,334.0,5229.0,975.0,5.4,20.0,12.0,281.0,316.0,490.0,3357.0,18.0,8.0,6.4,162.0,449.0,1872.0,15.0,4.2,98.0,81.0,614.0,21.0,33.0,9.7,-3.17
Washington Redskins,334.0,5334.0,1052.0,5.1,29.0,18.0,307.0,319.0,525.0,3463.0,18.0,11.0,6.3,192.0,498.0,1871.0,15.0,3.8,103.0,90.0,751.0,12.0,32.1,15.0,-56.19
Chicago Bears,334.0,4692.0,1035.0,4.5,34.0,13.0,266.0,327.0,569.0,3362.0,18.0,21.0,5.5,168.0,423.0,1330.0,8.0,3.1,74.0,111.0,839.0,24.0,27.8,15.1,-141.68
