Tm,PF,TotalYds,Ply,Y/Play,TO,FL,1stD,Cmp,PassAtt,PassYds,PassTD,Int,NY/A,1stDpass,RushAtt,RushYds,RushTD,Y/Arun,1stDrun,Pen,PenYds,1stPy,Sc%,TO%
San Francisco 49ers,431.0,6195.0,994.0,6.2,22.0,13.0,344.0,319.0,480.0,3880.0,29.0,9.0,7.6,192.0,482.0,2315.0,22.0,4.8,135.0,80.0,636.0,17.0,0.0,0.0
Dallas Cowboys,409.0,5606.0,1014.0,5.5,24.0,9.0,324.0,314.0,491.0,3485.0,23.0,15.0,6.8,183.0,500.0,2121.0,20.0,4.2,119.0,91.0,650.0,22.0,0.0,0.0
Buffalo Bills,381.0,5893.0,1087.0,5.4,38.0,17.0,350.0,293.0,509.0,3457.0,23.0,21.0,6.4,192.0,549.0,2436.0,18.0,4.4,133.0,103.0,775.0,25.0,0.0,0.0
Minnesota Vikings,374.0,4899.0,995.0,4.9,32.0,17.0,288.0,258.0,458.0,2869.0,18.0,15.0,5.8,157.0,497.0,2030.0,19.0,4.1,115.0,99.0,809.0,16.0,0.0,0.0
Philadelphia Eagles,354.0,4980.0,1009.0,4.9,28.0,15.0,292.0,255.0,429.0,2592.0,20.0,13.0,5.3,138.0,516.0,2388.0,19.0,4.6,138.0,101.0,807.0,16.0,0.0,0.0
Houston Oilers,352.0,5655.0,958.0,5.9,35.0,12.0,339.0,373.0,573.0,4029.0,27.0,23.0,6.7,217.0,353.0,1626.0,10.0,4.6,101.0,111.0,824.0,21.0,0.0,0.0
Kansas City Chiefs,348.0,4324.0,907.0,4.8,21.0,9.0,246.0,230.0,413.0,2792.0,15.0,12.0,6.1,134.0,446.0,1532.0,14.0,3.4,87.0,82.0,675.0,25.0,0.0,0.0
Miami Dolphins,340.0,5500.0,998.0,5.5,34.0,17.0,316.0,332.0,563.0,3975.0,24.0,17.0,6.7,194.0,407.0,1525.0,9.0,3.7,101.0,86.0,656.0,21.0,0.0,0.0
San Diego Chargers,335.0,5221.0,1018.0,5.1,33.0,12.0,302.0,282.0,496.0,3346.0,16.0,21.0,6.3,161.0,489.0,1875.0,18.0,3.8,118.0,91.0,813.0,23.0,0.0,0.0
New Orleans Saints,330.0,4806.0,895.0,5.4,29.0,13.0,267.0,251.0,426.0,3178.0,19.0,16.0,7.2,155.0,454.0,1628.0,10.0,3.6,92.0,60.0,567.0,20.0,0.0,0.0
Atlanta Falcons,327.0,4903.0,910.0,5.4,29.0,14.0,273.0,336.0,548.0,3633.0,33.0,15.0,6.2,194.0,322.0,1270.0,3.0,3.9,67.0,78.0,656.0,12.0,0.0,0.0
Los Angeles Rams,313.0,4877.0,914.0,5.3,37.0,17.0,278.0,289.0,495.0,3218.0,23.0,20.0,6.2,174.0,393.0,1659.0,12.0,4.2,83.0,79.0,592.0,21.0,0.0,0.0
New York Giants,306.0,4422.0,936.0,4.7,23.0,13.0,271.0,232.0,433.0,2345.0,14.0,10.0,4.9,119.0,458.0,2077.0,20.0,4.5,120.0,87.0,647.0,32.0,0.0,0.0
Washington Redskins,300.0,4890.0,991.0,4.9,24.0,7.0,276.0,272.0,485.0,3163.0,15.0,17.0,6.2,160.0,483.0,1727.0,10.0,3.6,104.0,84.0,741.0,12.0,0.0,0.0
Pittsburgh Steelers,299.0,4906.0,989.0,5.0,32.0,18.0,284.0,249.0,431.0,2750.0,15.0,14.0,5.8,143.0,518.0,2156.0,13.0,4.2,119.0,106.0,941.0,22.0,0.0,0.0
Chicago Bears,295.0,4941.0,951.0,5.2,34.0,10.0,282.0,266.0,479.0,3070.0,17.0,24.0,5.9,157.0,427.0,1871.0,15.0,4.4,101.0,93.0,776.0,24.0,0.0,0.0
Green Bay Packers,276.0,4785.0,990.0,4.8,36.0,21.0,291.0,340.0,527.0,3230.0,20.0,15.0,5.7,171.0,420.0,1555.0,7.0,3.7,101.0,88.0,749.0,19.0,0.0,0.0
Cincinnati Bengals,274.0,3919.0,934.0,4.2,27.0,10.0,248.0,227.0,435.0,1943.0,16.0,17.0,4.0,114.0,454.0,1976.0,11.0,4.4,112.0,98.0,755.0,22.0,0.0,0.0
Detroit Lions,273.0,4440.0,843.0,5.3,36.0,15.0,241.0,231.0,406.0,2796.0,16.0,21.0,6.0,133.0,378.0,1644.0,9.0,4.3,83.0,122.0,903.0,25.0,0.0,0.0
Cleveland Browns,272.0,4492.0,883.0,5.1,28.0,12.0,242.0,238.0,398.0,2885.0,18.0,16.0,6.7,141.0,451.0,1607.0,7.0,3.6,85.0,104.0,765.0,16.0,0.0,0.0
Tampa Bay Buccaneers,267.0,4771.0,994.0,4.8,29.0,9.0,281.0,299.0,511.0,3065.0,17.0,20.0,5.5,165.0,438.0,1706.0,12.0,3.9,100.0,91.0,754.0,16.0,0.0,0.0
Denver Broncos,262.0,4430.0,928.0,4.8,43.0,14.0,234.0,258.0,473.0,2930.0,16.0,29.0,5.6,135.0,403.0,1500.0,11.0,3.7,84.0,98.0,768.0,15.0,0.0,0.0
Los Angeles Raiders,249.0,4384.0,953.0,4.6,38.0,15.0,259.0,233.0,471.0,2590.0,20.0,23.0,5.0,139.0,434.0,1794.0,7.0,4.1,99.0,113.0,832.0,21.0,0.0,0.0
Phoenix Cardinals,243.0,4577.0,948.0,4.8,42.0,18.0,277.0,298.0,517.0,3086.0,15.0,24.0,5.6,161.0,395.0,1491.0,11.0,3.8,88.0,85.0,722.0,28.0,0.0,0.0
New York Jets,220.0,4431.0,958.0,4.6,39.0,15.0,252.0,251.0,495.0,2679.0,12.0,24.0,5.0,137.0,424.0,1752.0,8.0,4.1,94.0,107.0,873.0,21.0,0.0,0.0
Indianapolis Colts,216.0,4368.0,969.0,4.5,37.0,11.0,267.0,305.0,546.0,3266.0,13.0,26.0,5.5,174.0,379.0,1102.0,8.0,2.9,70.0,122.0,958.0,23.0,0.0,0.0
New England Patriots,205.0,3584.0,928.0,3.9,45.0,26.0,215.0,244.0,444.0,2034.0,13.0,19.0,4.0,130.0,419.0,1550.0,6.0,3.7,71.0,111.0,1051.0,14.0,0.0,0.0
