Tm,PF,TotalYds,Ply,Y/Play,TO,FL,1stD,Cmp,PassAtt,PassYds,PassTD,Int,NY/A,1stDpass,RushAtt,RushYds,RushTD,Y/Arun,1stDrun,Pen,PenYds,1stPy,Sc%,TO%
San Francisco 49ers,442.0,6268.0,1021.0,6.1,25.0,14.0,350.0,339.0,483.0,4302.0,35.0,11.0,8.1,209.0,493.0,1966.0,14.0,4.0,124.0,109.0,922.0,17.0,0.0,0.0
Los Angeles Rams,426.0,6042.0,1027.0,5.9,29.0,11.0,321.0,308.0,523.0,4133.0,29.0,18.0,7.4,197.0,472.0,1909.0,19.0,4.0,107.0,102.0,823.0,17.0,0.0,0.0
Buffalo Bills,409.0,5853.0,1045.0,5.6,41.0,21.0,334.0,281.0,478.0,3589.0,32.0,20.0,7.0,177.0,532.0,2264.0,15.0,4.3,136.0,103.0,831.0,21.0,0.0,0.0
Cincinnati Bengals,404.0,6101.0,1083.0,5.6,32.0,19.0,348.0,288.0,513.0,3618.0,32.0,13.0,6.5,183.0,529.0,2483.0,17.0,4.7,136.0,85.0,637.0,29.0,0.0,0.0
Washington Redskins,386.0,6253.0,1116.0,5.6,37.0,20.0,338.0,337.0,581.0,4349.0,24.0,17.0,7.2,217.0,514.0,1904.0,14.0,3.7,101.0,105.0,881.0,20.0,0.0,0.0
New Orleans Saints,386.0,5328.0,999.0,5.3,31.0,12.0,304.0,284.0,461.0,3380.0,23.0,19.0,6.8,167.0,502.0,1948.0,19.0,3.9,108.0,90.0,676.0,29.0,0.0,0.0
Houston Oilers,365.0,5427.0,1028.0,5.3,33.0,17.0,327.0,295.0,496.0,3499.0,23.0,16.0,6.6,185.0,495.0,1928.0,16.0,3.9,112.0,149.0,1153.0,30.0,0.0,0.0
Denver Broncos,362.0,5093.0,1071.0,4.8,32.0,12.0,308.0,256.0,474.0,3001.0,21.0,20.0,5.8,163.0,554.0,2092.0,15.0,3.8,125.0,83.0,594.0,20.0,0.0,0.0
Green Bay Packers,362.0,5780.0,1045.0,5.5,33.0,13.0,342.0,354.0,600.0,4048.0,27.0,20.0,6.2,207.0,397.0,1732.0,13.0,4.4,114.0,81.0,666.0,21.0,0.0,0.0
Chicago Bears,358.0,5375.0,1028.0,5.2,42.0,17.0,302.0,267.0,484.0,3088.0,21.0,25.0,6.0,147.0,516.0,2287.0,22.0,4.4,136.0,95.0,846.0,19.0,0.0,0.0
Minnesota Vikings,351.0,5255.0,1053.0,5.0,33.0,14.0,326.0,272.0,499.0,3189.0,17.0,19.0,5.9,172.0,514.0,2066.0,12.0,4.0,126.0,119.0,974.0,28.0,0.0,0.0
New York Giants,348.0,4963.0,1046.0,4.7,30.0,14.0,298.0,248.0,444.0,3074.0,17.0,16.0,6.3,157.0,556.0,1889.0,17.0,3.4,118.0,83.0,675.0,23.0,0.0,0.0
Philadelphia Eagles,342.0,5320.0,1123.0,4.7,32.0,16.0,321.0,294.0,538.0,3112.0,23.0,16.0,5.3,171.0,540.0,2208.0,14.0,4.1,120.0,114.0,938.0,30.0,0.0,0.0
