Tm,PF,TotalYds,Ply,Y/Play,TO,FL,1stD,Cmp,PassAtt,PassYds,PassTD,Int,NY/A,1stDpass,RushAtt,RushYds,RushTD,Y/Arun,1stDrun,Pen,PenYds,1stPy,Sc%,TO%
Green Bay Packers,456.0,5535.0,1053.0,5.3,24.0,11.0,338.0,328.0,548.0,3697.0,39.0,13.0,6.3,197.0,465.0,1838.0,9.0,4.0,118.0,92.0,714.0,23.0,0.0,0.0
New England Patriots,418.0,5369.0,1085.0,4.9,27.0,12.0,339.0,374.0,628.0,3901.0,27.0,15.0,5.9,206.0,427.0,1468.0,15.0,3.4,103.0,97.0,716.0,30.0,0.0,0.0
San Francisco 49ers,398.0,5506.0,1046.0,5.3,24.0,8.0,315.0,358.0,550.0,3659.0,24.0,16.0,6.2,188.0,454.0,1847.0,17.0,4.1,108.0,119.0,925.0,19.0,0.0,0.0
Denver Broncos,391.0,5791.0,1092.0,5.3,32.0,15.0,336.0,327.0,536.0,3429.0,26.0,17.0,6.0,180.0,525.0,2362.0,20.0,4.5,134.0,109.0,949.0,22.0,0.0,0.0
Cincinnati Bengals,372.0,5225.0,1088.0,4.8,25.0,9.0,332.0,316.0,563.0,3432.0,25.0,16.0,5.6,190.0,478.0,1793.0,14.0,3.8,114.0,90.0,678.0,28.0,0.0,0.0
Baltimore Ravens,371.0,5723.0,1024.0,5.6,33.0,13.0,338.0,335.0,570.0,3978.0,34.0,20.0,6.5,208.0,416.0,1745.0,10.0,4.2,108.0,94.0,818.0,22.0,0.0,0.0
Carolina Panthers,367.0,4812.0,1025.0,4.7,25.0,14.0,292.0,273.0,487.0,3083.0,22.0,11.0,5.9,160.0,502.0,1729.0,9.0,3.4,93.0,94.0,638.0,39.0,0.0,0.0
Washington Redskins,364.0,5229.0,960.0,5.4,18.0,7.0,307.0,270.0,471.0,3319.0,12.0,11.0,6.7,174.0,467.0,1910.0,27.0,4.1,106.0,95.0,740.0,27.0,0.0,0.0
Philadelphia Eagles,363.0,5627.0,1076.0,5.2,32.0,14.0,319.0,328.0,548.0,3745.0,19.0,18.0,6.4,196.0,489.0,1882.0,16.0,3.8,107.0,117.0,963.0,16.0,0.0,0.0
Houston Oilers,345.0,5048.0,972.0,5.2,30.0,15.0,287.0,272.0,463.0,3098.0,22.0,15.0,6.2,157.0,475.0,1950.0,12.0,4.1,110.0,91.0,812.0,20.0,0.0,0.0
Pittsburgh Steelers,344.0,5140.0,1002.0,5.1,33.0,14.0,296.0,246.0,456.0,2841.0,15.0,19.0,6.0,146.0,525.0,2299.0,18.0,4.4,138.0,83.0,665.0,12.0,0.0,0.0
