Tm,PF,TotalYds,Ply,Y/Play,TO,FL,1stD,Cmp,PassAtt,PassYds,PassTD,Int,NY/A,1stDpass,RushAtt,RushYds,RushTD,Y/Arun,1stDrun,Pen,PenYds,1stPy,Sc%,TO%,ExpectedPoints
New England Patriots,557.0,6846.0,1191.0,5.7,16.0,7.0,444.0,402.0,641.0,4662.0,34.0,9.0,7.0,256.0,523.0,2184.0,25.0,4.2,151.0,97.0,840.0,37.0,48.1,8.1,253.91
Denver Broncos,481.0,6366.0,1090.0,5.8,25.0,14.0,380.0,402.0,588.0,4534.0,37.0,11.0,7.4,232.0,481.0,1832.0,12.0,3.8,112.0,100.0,805.0,36.0,39.9,12.2,135.85
New Orleans Saints,461.0,6574.0,1067.0,6.2,24.0,5.0,352.0,423.0,671.0,4997.0,43.0,19.0,7.2,267.0,370.0,1577.0,10.0,4.3,64.0,104.0,911.0,21.0,37.4,12.1,142.9
Washington Redskins,436.0,6131.0,994.0,6.2,14.0,6.0,341.0,291.0,442.0,3422.0,24.0,8.0,7.2,171.0,519.0,2709.0,22.0,5.2,144.0,116.0,985.0,26.0,39.3,7.7,130.52
Green Bay Packers,433.0,5751.0,1042.0,5.5,16.0,8.0,341.0,374.0,558.0,4049.0,40.0,8.0,6.6,213.0,433.0,1702.0,9.0,3.9,85.0,103.0,923.0,43.0,37.6,8.1,149.37
New York Giants,429.0,5687.0,968.0,5.9,21.0,6.0,327.0,323.0,539.0,3825.0,26.0,15.0,6.8,187.0,409.0,1862.0,18.0,4.6,103.0,72.0,578.0,37.0,43.8,11.9,103.44
Atlanta Falcons,419.0,5906.0,1021.0,5.8,18.0,4.0,343.0,422.0,615.0,4509.0,32.0,14.0,7.0,247.0,378.0,1397.0,12.0,3.7,70.0,55.0,415.0,26.0,44.0,10.3,153.25
Houston Texans,416.0,5953.0,1090.0,5.5,17.0,4.0,341.0,354.0,554.0,3830.0,22.0,13.0,6.6,205.0,508.0,2123.0,19.0,4.2,114.0,108.0,873.0,22.0,35.6,8.4,84.0
Seattle Seahawks,412.0,5610.0,974.0,5.8,18.0,8.0,311.0,259.0,405.0,3031.0,27.0,10.0,6.9,153.0,536.0,2579.0,16.0,4.8,129.0,110.0,890.0,29.0,39.4,10.0,129.06
Baltimore Ravens,398.0,5640.0,1042.0,5.4,16.0,5.0,314.0,334.0,560.0,3739.0,22.0,11.0,6.3,182.0,444.0,1901.0,17.0,4.3,98.0,121.0,1127.0,34.0,35.8,7.8,81.26
San Francisco 49ers,397.0,5789.0,969.0,6.0,16.0,8.0,322.0,289.0,436.0,3298.0,23.0,8.0,6.9,172.0,492.0,2491.0,17.0,5.1,128.0,109.0,960.0,22.0,39.3,7.9,147.79
Cincinnati Bengals,391.0,5323.0,1016.0,5.2,26.0,10.0,292.0,335.0,540.0,3578.0,28.0,16.0,6.1,173.0,430.0,1745.0,11.0,4.1,95.0,99.0,857.0,24.0,35.4,12.8,-3.9
Tampa Bay Buccaneers,389.0,5820.0,1008.0,5.8,23.0,6.0,301.0,311.0,566.0,3983.0,27.0,17.0,6.7,188.0,416.0,1837.0,13.0,4.4,89.0,101.0,819.0,24.0,35.2,10.9,37.78
Minnesota Vikings,379.0,5385.0,1001.0,5.4,23.0,11.0,306.0,300.0,483.0,2751.0,18.0,12.0,5.3,163.0,486.0,2634.0,16.0,5.4,113.0,90.0,830.0,30.0,37.9,12.6,34.14
Dallas Cowboys,376.0,5994.0,1049.0,5.7,29.0,10.0,338.0,434.0,658.0,4729.0,29.0,19.0,6.8,237.0,355.0,1265.0,8.0,3.6,76.0,117.0,853.0,25.0,36.7,15.0,67.75
Chicago Bears,375.0,4969.0,999.0,5.0,24.0,8.0,292.0,287.0,485.0,2999.0,21.0,16.0,5.7,163.0,470.0,1970.0,11.0,4.2,99.0,102.0,811.0,30.0,30.3,11.8,-38.94
Detroit Lions,372.0,6540.0,1160.0,5.6,33.0,16.0,382.0,445.0,740.0,4927.0,22.0,17.0,6.4,272.0,391.0,1613.0,17.0,4.1,84.0,103.0,944.0,26.0,36.0,15.2,40.5
Indianapolis Colts,357.0,5799.0,1109.0,5.2,27.0,9.0,360.0,339.0,628.0,4128.0,23.0,18.0,6.2,208.0,440.0,1671.0,11.0,3.8,110.0,94.0,801.0,42.0,33.3,13.9,70.29
Carolina Panthers,357.0,5771.0,988.0,5.8,22.0,10.0,328.0,284.0,490.0,3683.0,19.0,12.0,7.0,171.0,462.0,2088.0,21.0,4.5,123.0,98.0,835.0,34.0,32.6,10.3,96.36
San Diego Chargers,350.0,4756.0,988.0,4.8,26.0,11.0,293.0,338.0,528.0,3295.0,26.0,15.0,5.7,184.0,411.0,1461.0,4.0,3.6,81.0,103.0,796.0,28.0,30.6,13.9,-37.96
Buffalo Bills,344.0,5486.0,983.0,5.6,34.0,17.0,301.0,309.0,511.0,3269.0,24.0,17.0,6.0,176.0,442.0,2217.0,12.0,5.0,103.0,104.0,871.0,22.0,30.0,17.4,-3.15
Pittsburgh Steelers,336.0,5324.0,1023.0,5.2,30.0,16.0,307.0,354.0,574.0,3787.0,27.0,14.0,6.2,202.0,412.0,1537.0,8.0,3.7,80.0,92.0,938.0,25.0,33.9,15.6,1.4
Tennessee Titans,330.0,5010.0,957.0,5.2,28.0,12.0,260.0,318.0,540.0,3323.0,17.0,16.0,5.7,166.0,378.0,1687.0,10.0,4.5,70.0,106.0,847.0,24.0,27.7,14.9,-70.69
Cleveland Browns,302.0,5028.0,998.0,5.0,26.0,8.0,279.0,328.0,566.0,3435.0,16.0,18.0,5.7,185.0,396.0,1593.0,12.0,4.0,71.0,113.0,1005.0,23.0,29.8,12.0,-63.47
St. Louis Rams,299.0,5264.0,1002.0,5.3,22.0,8.0,287.0,332.0,557.0,3550.0,22.0,14.0,6.0,189.0,410.0,1714.0,5.0,4.2,79.0,130.0,978.0,19.0,27.5,11.0,-27.88
Oakland Raiders,290.0,5504.0,1032.0,5.3,26.0,10.0,300.0,376.0,629.0,4084.0,24.0,16.0,6.2,200.0,376.0,1420.0,4.0,3.8,72.0,108.0,939.0,28.0,31.4,12.8,-40.18
Miami Dolphins,288.0,4984.0,981.0,5.1,26.0,13.0,288.0,293.0,504.0,3182.0,13.0,13.0,5.9,158.0,440.0,1802.0,15.0,4.1,93.0,82.0,724.0,37.0,27.4,12.9,-38.78
New York Jets,281.0,4787.0,1034.0,4.6,37.0,18.0,299.0,272.0,493.0,2891.0,14.0,19.0,5.4,162.0,494.0,1896.0,12.0,3.8,102.0,83.0,708.0,35.0,24.2,17.5,-93.73
Philadelphia Eagles,280.0,5665.0,1079.0,5.3,37.0,22.0,332.0,367.0,618.0,3791.0,18.0,15.0,5.7,190.0,413.0,1874.0,10.0,4.5,111.0,98.0,813.0,31.0,29.9,17.9,-50.97
Jacksonville Jaguars,255.0,4788.0,994.0,4.8,26.0,9.0,269.0,328.0,586.0,3419.0,20.0,17.0,5.4,157.0,358.0,1369.0,5.0,3.8,76.0,101.0,955.0,36.0,25.5,12.8,-121.17
Arizona Cardinals,250.0,4209.0,1018.0,4.1,34.0,13.0,246.0,337.0,608.0,3005.0,11.0,21.0,4.5,168.0,352.0,1204.0,10.0,3.4,58.0,102.0,857.0,20.0,22.0,14.8,-230.4
Kansas City Chiefs,211.0,5108.0,1015.0,5.0,37.0,17.0,286.0,273.0,475.0,2713.0,8.0,20.0,5.3,144.0,500.0,2395.0,9.0,4.8,118.0,92.0,733.0,24.0,24.2,18.8,-119.35
Avg Team,364.1,5555.2,1027.6,5.4,24.9,10.3,317.6,338.5,555.9,3700.6,23.7,14.6,6.2,191.9,435.2,1854.7,12.5,4.3,96.9,100.40625,850.65625,28.8,33.803125,12.478125,28.718749999999975
