Tm,PF,TotalYds,Ply,Y/Play,TO,FL,1stD,Cmp,PassAtt,PassYds,PassTD,Int,NY/A,1stDpass,RushAtt,RushYds,RushTD,Y/Arun,1stDrun,Pen,PenYds,1stPy,Sc%,TO%,ExpectedPoints
Carolina Panthers,500.0,5871.0,1060.0,5.5,19.0,9.0,357.0,300.0,501.0,3589.0,35.0,10.0,6.7,197.0,526.0,2282.0,19.0,4.3,136.0,103.0,887.0,24.0,42.9,9.6,125.65
Arizona Cardinals,489.0,6533.0,1041.0,6.3,24.0,11.0,373.0,353.0,562.0,4616.0,35.0,13.0,7.8,237.0,452.0,1917.0,16.0,4.2,92.0,94.0,758.0,44.0,42.5,11.8,161.96
New England Patriots,465.0,5991.0,1050.0,5.7,14.0,7.0,348.0,404.0,629.0,4587.0,36.0,7.0,6.9,230.0,383.0,1404.0,14.0,3.7,87.0,96.0,860.0,31.0,43.2,5.7,127.68
Pittsburgh Steelers,423.0,6327.0,1011.0,6.3,28.0,7.0,331.0,391.0,590.0,4603.0,26.0,21.0,7.4,207.0,388.0,1724.0,16.0,4.4,91.0,94.0,868.0,33.0,40.5,13.7,115.87
Seattle Seahawks,423.0,6058.0,1035.0,5.9,16.0,8.0,335.0,333.0,489.0,3790.0,34.0,8.0,7.1,190.0,500.0,2268.0,10.0,4.5,128.0,117.0,1007.0,17.0,42.0,8.6,132.31
New York Giants,420.0,5952.0,1053.0,5.7,21.0,7.0,331.0,392.0,623.0,4343.0,36.0,14.0,6.7,208.0,403.0,1609.0,5.0,4.0,77.0,102.0,777.0,46.0,38.2,11.3,58.71
Cincinnati Bengals,419.0,5728.0,1004.0,5.7,17.0,8.0,324.0,334.0,505.0,3923.0,31.0,9.0,7.3,191.0,467.0,1805.0,18.0,3.9,99.0,111.0,917.0,34.0,39.6,9.3,97.28
New Orleans Saints,408.0,6461.0,1096.0,5.9,20.0,8.0,381.0,460.0,667.0,4970.0,32.0,12.0,7.1,247.0,397.0,1491.0,16.0,3.8,98.0,130.0,1112.0,36.0,36.3,10.4,144.2
Kansas City Chiefs,405.0,5299.0,955.0,5.5,15.0,8.0,303.0,310.0,473.0,3255.0,20.0,7.0,6.3,155.0,436.0,2044.0,19.0,4.7,116.0,104.0,878.0,32.0,37.9,7.1,73.11
Washington Redskins,388.0,5661.0,1011.0,5.6,22.0,11.0,317.0,386.0,555.0,4095.0,30.0,11.0,7.0,208.0,429.0,1566.0,9.0,3.7,81.0,105.0,828.0,28.0,36.1,11.1,69.13
New York Jets,387.0,5925.0,1074.0,5.5,24.0,8.0,329.0,362.0,604.0,4057.0,33.0,16.0,6.5,210.0,448.0,1868.0,11.0,4.2,99.0,96.0,787.0,20.0,35.7,11.6,55.82
Buffalo Bills,379.0,5775.0,1016.0,5.7,19.0,10.0,297.0,295.0,465.0,3343.0,23.0,9.0,6.6,155.0,509.0,2432.0,19.0,4.8,122.0,143.0,1249.0,20.0,34.9,8.6,49.56
Philadelphia Eagles,377.0,5830.0,1102.0,5.3,31.0,13.0,339.0,405.0,623.0,4087.0,23.0,18.0,6.2,193.0,442.0,1743.0,15.0,3.9,110.0,104.0,819.0,36.0,29.1,15.3,-5.18
Jacksonville Jaguars,376.0,5581.0,1012.0,5.5,28.0,10.0,313.0,355.0,607.0,4108.0,35.0,18.0,6.2,215.0,354.0,1473.0,5.0,4.2,69.0,105.0,880.0,29.0,34.2,14.0,-8.44
Green Bay Packers,368.0,5353.0,1056.0,5.1,17.0,9.0,317.0,348.0,573.0,3503.0,31.0,8.0,5.7,173.0,436.0,1850.0,8.0,4.2,100.0,105.0,906.0,44.0,33.3,8.9,50.06
Minnesota Vikings,365.0,5139.0,973.0,5.3,17.0,8.0,297.0,294.0,454.0,2928.0,14.0,9.0,5.9,153.0,474.0,2211.0,18.0,4.7,113.0,88.0,797.0,31.0,38.4,9.3,34.58
Oakland Raiders,359.0,5336.0,1008.0,5.3,24.0,10.0,300.0,373.0,605.0,3879.0,34.0,14.0,6.1,193.0,370.0,1457.0,7.0,3.9,74.0,139.0,1102.0,33.0,31.8,10.3,0.17
Detroit Lions,358.0,5547.0,1030.0,5.4,24.0,10.0,337.0,420.0,632.0,4212.0,33.0,14.0,6.2,236.0,354.0,1335.0,7.0,3.8,71.0,104.0,930.0,30.0,34.6,12.3,40.73
Denver Broncos,355.0,5688.0,1056.0,5.4,31.0,8.0,314.0,368.0,606.0,3970.0,19.0,23.0,6.2,201.0,411.0,1718.0,13.0,4.2,85.0,115.0,1063.0,28.0,31.2,15.1,-56.3
Tampa Bay Buccaneers,342.0,6014.0,1017.0,5.9,28.0,13.0,336.0,312.0,535.0,3852.0,22.0,15.0,6.9,201.0,455.0,2162.0,12.0,4.8,99.0,143.0,1195.0,36.0,35.8,14.8,58.23
Atlanta Falcons,339.0,5985.0,1073.0,5.6,30.0,13.0,359.0,410.0,621.0,4379.0,21.0,17.0,6.7,230.0,420.0,1606.0,13.0,3.8,95.0,100.0,969.0,34.0,34.5,17.2,60.21
Houston Texans,339.0,5564.0,1127.0,4.9,20.0,8.0,335.0,358.0,619.0,3833.0,29.0,12.0,5.9,210.0,472.0,1731.0,7.0,3.7,90.0,107.0,910.0,35.0,28.9,9.8,-45.34
Chicago Bears,335.0,5517.0,1025.0,5.4,21.0,9.0,312.0,334.0,523.0,3663.0,21.0,12.0,6.6,177.0,468.0,1854.0,13.0,4.0,108.0,99.0,909.0,27.0,37.4,11.2,23.83
Indianapolis Colts,333.0,5142.0,1052.0,4.9,30.0,11.0,311.0,355.0,619.0,3704.0,26.0,19.0,5.6,195.0,396.0,1438.0,6.0,3.6,77.0,108.0,931.0,39.0,29.4,14.4,-42.31
