Tm,PF,TotalYds,Ply,Y/Play,TO,FL,1stD,Cmp,PassAtt,PassYds,PassTD,Int,NY/A,1stDpass,RushAtt,RushYds,RushTD,Y/Arun,1stDrun,Pen,PenYds,1stPy,Sc%,TO%,ExpectedPoints
San Diego Chargers,492.0,5840.0,1016.0,5.7,15.0,6.0,321.0,287.0,466.0,3262.0,24.0,9.0,6.6,169.0,522.0,2578.0,32.0,4.9,137.0,90.0,791.0,15.0,43.2,6.8,138.43
Indianapolis Colts,427.0,6070.0,1011.0,6.0,19.0,10.0,376.0,362.0,557.0,4308.0,31.0,9.0,7.5,241.0,439.0,1762.0,17.0,4.0,112.0,86.0,718.0,23.0,47.4,10.9,193.32
Chicago Bears,427.0,5199.0,1042.0,5.0,36.0,14.0,300.0,282.0,514.0,3281.0,24.0,22.0,6.1,161.0,503.0,1918.0,14.0,3.8,103.0,112.0,923.0,36.0,34.8,15.9,-59.7
Dallas Cowboys,425.0,5772.0,1015.0,5.7,30.0,9.0,336.0,310.0,506.0,3836.0,26.0,21.0,7.1,197.0,472.0,1936.0,21.0,4.1,107.0,100.0,939.0,32.0,38.1,15.3,83.15
New Orleans Saints,413.0,6264.0,1075.0,5.8,23.0,10.0,330.0,372.0,580.0,4503.0,27.0,13.0,7.5,207.0,472.0,1761.0,19.0,3.7,99.0,79.0,597.0,24.0,36.8,12.1,89.67
Philadelphia Eagles,398.0,6103.0,988.0,6.2,24.0,15.0,312.0,323.0,544.0,4119.0,31.0,9.0,7.2,189.0,416.0,1984.0,13.0,4.8,106.0,112.0,983.0,17.0,33.9,11.5,83.65
New England Patriots,385.0,5369.0,1055.0,5.1,27.0,15.0,330.0,326.0,527.0,3400.0,25.0,12.0,6.1,181.0,499.0,1969.0,20.0,3.9,121.0,98.0,940.0,28.0,34.4,13.8,70.55
Cincinnati Bengals,373.0,5462.0,994.0,5.5,24.0,11.0,313.0,327.0,523.0,3833.0,28.0,13.0,6.9,200.0,435.0,1629.0,14.0,3.7,88.0,92.0,717.0,25.0,35.6,12.2,45.9
Jacksonville Jaguars,371.0,5423.0,989.0,5.5,23.0,9.0,293.0,266.0,446.0,2882.0,17.0,14.0,6.1,147.0,513.0,2541.0,23.0,5.0,127.0,97.0,810.0,19.0,35.1,11.2,3.77
St. Louis Rams,367.0,5767.0,1065.0,5.4,18.0,10.0,332.0,371.0,592.0,3962.0,24.0,8.0,6.2,212.0,424.0,1805.0,13.0,4.3,94.0,116.0,960.0,26.0,37.7,8.7,68.36
New York Giants,355.0,5214.0,1003.0,5.2,28.0,10.0,304.0,301.0,523.0,3058.0,24.0,18.0,5.6,163.0,455.0,2156.0,14.0,4.7,120.0,101.0,881.0,21.0,32.6,13.7,0.13
Baltimore Ravens,353.0,5072.0,1017.0,5.0,23.0,9.0,282.0,328.0,524.0,3435.0,21.0,14.0,6.3,179.0,476.0,1637.0,11.0,3.4,86.0,109.0,878.0,17.0,31.3,11.5,-47.89
Pittsburgh Steelers,353.0,5725.0,1041.0,5.5,37.0,14.0,327.0,312.0,523.0,3733.0,23.0,23.0,6.5,201.0,469.0,1992.0,16.0,4.2,100.0,69.0,611.0,26.0,31.4,18.1,22.95
Seattle Seahawks,335.0,4977.0,1045.0,4.8,34.0,12.0,312.0,292.0,512.0,3054.0,26.0,22.0,5.4,167.0,484.0,1923.0,8.0,4.0,112.0,94.0,700.0,33.0,29.9,17.3,-70.15
Kansas City Chiefs,331.0,5143.0,1004.0,5.1,26.0,14.0,310.0,272.0,450.0,3000.0,18.0,12.0,6.1,184.0,513.0,2143.0,17.0,4.2,105.0,76.0,577.0,21.0,32.4,12.6,-13.5
Tennessee Titans,324.0,4810.0,945.0,5.1,26.0,7.0,261.0,226.0,447.0,2596.0,13.0,19.0,5.5,133.0,469.0,2214.0,15.0,4.7,105.0,94.0,803.0,23.0,26.7,13.9,-63.93
Denver Broncos,319.0,4951.0,973.0,5.1,30.0,12.0,285.0,256.0,454.0,2799.0,20.0,18.0,5.8,151.0,488.0,2152.0,12.0,4.4,106.0,67.0,478.0,28.0,30.7,14.6,-32.97
New York Jets,316.0,4891.0,1013.0,4.8,25.0,9.0,289.0,313.0,488.0,3153.0,17.0,16.0,6.0,161.0,491.0,1738.0,15.0,3.5,99.0,70.0,560.0,29.0,31.8,13.6,-18.81
Arizona Cardinals,314.0,5000.0,999.0,5.0,30.0,13.0,298.0,322.0,545.0,3662.0,17.0,17.0,6.3,187.0,419.0,1338.0,12.0,3.2,84.0,117.0,937.0,27.0,32.2,15.3,-23.26
Washington Redskins,307.0,5243.0,979.0,5.4,17.0,7.0,295.0,274.0,470.0,3027.0,19.0,10.0,6.2,150.0,490.0,2216.0,13.0,4.5,123.0,106.0,939.0,22.0,30.2,9.5,10.31
Detroit Lions,305.0,4949.0,963.0,5.1,39.0,17.0,290.0,372.0,596.0,3820.0,21.0,22.0,5.8,208.0,304.0,1129.0,9.0,3.7,53.0,116.0,939.0,29.0,31.9,21.1,-83.87
Green Bay Packers,301.0,5458.0,1085.0,5.0,33.0,15.0,301.0,350.0,630.0,3795.0,18.0,18.0,5.8,185.0,431.0,1663.0,9.0,3.9,93.0,90.0,689.0,23.0,26.6,16.1,-66.98
Buffalo Bills,300.0,4271.0,898.0,4.8,29.0,15.0,234.0,268.0,431.0,2719.0,19.0,14.0,5.7,132.0,420.0,1552.0,9.0,3.7,82.0,87.0,629.0,20.0,27.4,15.1,-86.1
San Francisco 49ers,298.0,4857.0,918.0,5.3,32.0,16.0,243.0,257.0,444.0,2685.0,16.0,16.0,5.6,132.0,438.0,2172.0,12.0,5.0,97.0,93.0,818.0,14.0,30.2,15.3,-72.72
Atlanta Falcons,292.0,5310.0,1000.0,5.3,20.0,5.0,287.0,222.0,416.0,2371.0,21.0,15.0,5.1,133.0,537.0,2939.0,9.0,5.5,134.0,96.0,877.0,20.0,28.8,10.9,-15.22
Minnesota Vikings,282.0,4943.0,1025.0,4.8,32.0,12.0,272.0,332.0,540.0,3123.0,13.0,20.0,5.4,160.0,442.0,1820.0,12.0,4.1,87.0,123.0,903.0,25.0,23.9,15.7,-127.19
Carolina Panthers,270.0,4923.0,994.0,5.0,27.0,10.0,278.0,325.0,539.0,3264.0,19.0,17.0,5.7,158.0,423.0,1659.0,7.0,3.9,100.0,103.0,744.0,20.0,25.4,12.7,-61.67
Houston Texans,267.0,4463.0,955.0,4.7,25.0,12.0,282.0,329.0,481.0,2778.0,14.0,13.0,5.3,156.0,431.0,1685.0,13.0,3.9,106.0,90.0,761.0,20.0,27.2,13.6,-39.57
Miami Dolphins,260.0,4960.0,1034.0,4.8,25.0,6.0,281.0,342.0,591.0,3287.0,16.0,19.0,5.2,180.0,402.0,1673.0,7.0,4.2,82.0,90.0,789.0,19.0,25.8,12.6,-83.13
Cleveland Browns,238.0,4233.0,938.0,4.5,42.0,17.0,250.0,318.0,512.0,2898.0,15.0,25.0,5.1,153.0,372.0,1335.0,7.0,3.6,72.0,74.0,687.0,25.0,22.9,21.3,-183.43
Tampa Bay Buccaneers,211.0,4321.0,972.0,4.4,32.0,14.0,237.0,296.0,535.0,2798.0,14.0,18.0,4.9,133.0,404.0,1523.0,6.0,3.8,82.0,87.0,732.0,22.0,19.5,16.3,-165.95
Oakland Raiders,168.0,3939.0,949.0,4.2,46.0,22.0,243.0,263.0,483.0,2420.0,7.0,24.0,4.4,144.0,394.0,1519.0,5.0,3.9,73.0,111.0,847.0,26.0,16.7,25.0,-239.69
Avg Team,330.5,5153.8,1000.0,5.2,28.0,11.8,293.9,306.1,512.2,3276.9,20.3,16.3,6.0,170.4,451.5,1876.9,13.3,4.2,99.8,95.15625,786.15625,23.6,31.015625000000004,14.193750000000003,-23.298124999999995
