Rk,Tm,G,Att,Yds,TD,Y/A,Y/G
1,Washington Redskins,16,349,1289,9,3.7,80.6
2,Cincinnati Bengals,16,430,1499,16,3.5,93.7
3,Dallas Cowboys,16,410,1499,12,3.7,93.7
4,Los Angeles Raiders,16,436,1586,13,3.6,99.1
5,New York Giants,16,502,1733,10,3.5,108.3
6,Los Angeles Rams,16,489,1781,21,3.6,111.3
7,Pittsburgh Steelers,16,509,1833,14,3.6,114.6
8,St. Louis Cardinals,16,443,1838,23,4.1,114.9
9,San Francisco 49ers,16,449,1936,10,4.3,121.0
10,Denver Broncos,16,509,1938,14,3.8,121.1
11,New Orleans Saints,16,472,2000,11,4.2,125.0
12,Chicago Bears,16,482,2000,20,4.1,125.0
13,Miami Dolphins,16,460,2037,11,4.4,127.3
14,Cleveland Browns,16,528,2065,15,3.9,129.1
15,Tampa Bay Buccaneers,16,561,2082,19,3.7,130.1
16,Detroit Lions,16,503,2104,11,4.2,131.5
17,Baltimore Colts,16,516,2118,13,4.1,132.4
18,San Diego Chargers,16,552,2173,26,3.9,135.8
19,Seattle Seahawks,16,511,2198,14,4.3,137.4
20,Kansas City Chiefs,16,554,2275,18,4.1,142.2
21,New England Patriots,16,549,2281,9,4.2,142.6
22,Atlanta Falcons,16,499,2309,20,4.6,144.3
23,New York Jets,16,547,2378,13,4.3,148.6
24,Buffalo Bills,16,566,2503,14,4.4,156.4
25,Minnesota Vikings,16,579,2584,16,4.5,161.5
26,Green Bay Packers,16,597,2641,28,4.4,165.1
27,Philadelphia Eagles,16,633,2655,14,4.2,165.9
28,Houston Oilers,16,576,2787,23,4.8,174.2
,Avg Team,,507.5,2075.8,15.6,4.1,129.7
,League Total,,14211,58122,437,4.1,129.7
,Avg Tm/G,,31.7,129.7,1.0,4.1,129.7
