Rk,Tm,G,Att,Yds,TD,Y/A,Y/G
1,Chicago Bears,16,389,1326,5,3.4,82.9
2,Tampa Bay Buccaneers,16,478,1551,21,3.2,96.9
3,San Francisco 49ers,16,441,1588,8,3.6,99.3
4,Houston Oilers,16,431,1592,20,3.7,99.5
5,Minnesota Vikings,16,435,1602,10,3.7,100.1
6,Philadelphia Eagles,16,466,1652,11,3.5,103.3
7,Los Angeles Rams,16,414,1686,12,4.1,105.4
8,Indianapolis Colts,16,447,1694,14,3.8,105.9
9,Washington Redskins,16,442,1745,17,3.9,109.1
10,New York Giants,16,454,1759,8,3.9,109.9
11,New Orleans Saints,16,442,1779,7,4.0,111.2
12,Buffalo Bills,16,477,1854,14,3.9,115.9
13,Dallas Cowboys,16,454,1858,13,4.1,116.1
14,Pittsburgh Steelers,16,516,1864,20,3.6,116.5
15,Cleveland Browns,16,498,1920,13,3.9,120.0
16,Phoenix Cardinals,16,467,1925,19,4.1,120.3
17,Detroit Lions,16,511,2037,16,4.0,127.3
18,Cincinnati Bengals,16,493,2048,18,4.2,128.0
19,New England Patriots,16,496,2099,20,4.2,131.2
20,Green Bay Packers,16,514,2110,17,4.1,131.9
21,New York Jets,16,517,2124,15,4.1,132.8
22,San Diego Chargers,16,521,2133,15,4.1,133.3
23,Los Angeles Raiders,16,533,2208,17,4.1,138.0
24,Seattle Seahawks,16,509,2286,14,4.5,142.9
25,Atlanta Falcons,16,518,2319,14,4.5,144.9
26,Miami Dolphins,16,557,2506,22,4.5,156.6
27,Denver Broncos,16,552,2538,21,4.6,158.6
28,Kansas City Chiefs,16,609,2592,23,4.3,162.0
,Avg Team,,485.0,1942.7,15.1,4.0,121.4
,League Total,,13581,54395,424,4.0,121.4
,Avg Tm/G,,30.3,121.4,0.9,4.0,121.4
