Rk,Tm,G,Att,Yds,TD,Y/A,Y/G
1,Denver Broncos,16,345,1331,5,3.9,83.2
2,Houston Oilers,16,397,1385,5,3.5,86.6
3,Pittsburgh Steelers,16,411,1415,7,3.4,88.4
4,Green Bay Packers,16,400,1416,7,3.5,88.5
5,San Francisco 49ers,16,418,1497,4,3.6,93.6
6,New England Patriots,16,434,1502,14,3.5,93.9
7,Miami Dolphins,16,411,1536,10,3.7,96.0
8,Carolina Panthers,16,374,1562,6,4.2,97.6
9,Dallas Cowboys,16,437,1576,10,3.6,98.5
10,Philadelphia Eagles,16,421,1583,12,3.8,98.9
11,Chicago Bears,16,427,1617,13,3.8,101.1
12,Cincinnati Bengals,16,444,1643,15,3.7,102.7
13,Kansas City Chiefs,16,441,1666,11,3.8,104.1
14,Buffalo Bills,16,495,1669,12,3.4,104.3
15,Oakland Raiders,16,463,1676,7,3.6,104.8
16,New York Giants,16,487,1748,14,3.6,109.3
17,San Diego Chargers,16,431,1755,10,4.1,109.7
18,Indianapolis Colts,16,459,1760,12,3.8,110.0
19,Jacksonville Jaguars,16,447,1781,9,4.0,111.3
20,St. Louis Rams,16,478,1854,22,3.9,115.9
21,Arizona Cardinals,16,514,1862,18,3.6,116.4
22,Tampa Bay Buccaneers,16,438,1889,13,4.3,118.1
23,Baltimore Ravens,16,508,1920,18,3.8,120.0
24,Minnesota Vikings,16,445,1966,15,4.4,122.9
25,Detroit Lions,16,510,2007,12,3.9,125.4
26,Atlanta Falcons,16,473,2041,18,4.3,127.6
27,New Orleans Saints,16,521,2076,11,4.0,129.8
28,Seattle Seahawks,16,506,2098,15,4.1,131.1
29,New York Jets,16,539,2200,19,4.1,137.5
30,Washington Redskins,16,520,2275,20,4.4,142.2
,Avg Team,,453.1,1743.5,12.1,3.8,109.0
,League Total,,13594,52306,364,3.8,109.0
,Avg Tm/G,,28.3,109.0,0.8,3.8,109.0
