Rk,Tm,G,Att,Yds,TD,Y/A,Y/G,EXP
1,San Diego Chargers,16,386,1349,14,3.5,84.3,48.18
2,Denver Broncos,16,344,1363,10,4.0,85.2,32.08
3,Pittsburgh Steelers,16,402,1376,10,3.4,86.0,53.62
4,Carolina Panthers,16,408,1465,9,3.6,91.6,74.32
5,Seattle Seahawks,16,420,1510,5,3.6,94.4,73.64
6,Tampa Bay Buccaneers,16,438,1515,10,3.5,94.7,73.86
7,Kansas City Chiefs,16,383,1570,11,4.1,98.1,45.46
8,New England Patriots,16,437,1580,11,3.6,98.8,40.61
9,Baltimore Ravens,16,431,1591,8,3.7,99.4,54.60
10,Arizona Cardinals,16,411,1632,22,4.0,102.0,30.22
11,Chicago Bears,16,443,1637,9,3.7,102.3,63.25
12,New York Giants,16,428,1656,12,3.9,103.5,54.89
13,Washington Redskins,16,411,1686,15,4.1,105.4,48.99
14,Jacksonville Jaguars,16,434,1709,4,3.9,106.8,51.33
15,Dallas Cowboys,16,414,1731,13,4.2,108.2,7.70
16,Indianapolis Colts,16,398,1762,9,4.4,110.1,23.10
17,Miami Dolphins,16,480,1771,11,3.7,110.7,60.63
18,San Francisco 49ers,16,486,1832,19,3.8,114.5,57.53
19,Minnesota Vikings,16,462,1841,14,4.0,115.1,34.61
20,Cincinnati Bengals,16,429,1850,16,4.3,115.6,10.69
21,Philadelphia Eagles,16,506,1883,15,3.7,117.7,66.10
22,Tennessee Titans,16,449,1894,12,4.2,118.4,53.61
23,Green Bay Packers,16,504,2010,10,4.0,125.6,51.43
24,Detroit Lions,16,488,2040,15,4.2,127.5,26.59
25,Oakland Raiders,16,507,2049,18,4.0,128.1,44.63
26,Atlanta Falcons,16,438,2063,18,4.7,128.9,-15.75
27,New Orleans Saints,16,503,2145,16,4.3,134.1,18.83
28,St. Louis Rams,16,459,2178,22,4.7,136.1,-19.14
29,New York Jets,16,554,2185,19,3.9,136.6,-10.87
30,Cleveland Browns,16,527,2202,11,4.2,137.6,7.41
31,Buffalo Bills,16,489,2205,22,4.5,137.8,-41.48
32,Houston Texans,16,506,2303,21,4.6,143.9,-27.40
,Avg Team,,449.2,1799.5,13.5,4.0,112.5,34.2
,League Total,,14375,57583,431,4.0,112.5,
,Avg Tm/G,,28.1,112.5,0.8,4.0,112.5,
