Rk,Tm,G,Att,Yds,TD,Y/A,Y/G
1,Chicago Bears,16,378,1377,10,3.6,86.1
2,Washington Redskins,16,390,1589,13,4.1,99.3
3,Los Angeles Rams,16,449,1600,15,3.6,100.0
4,Pittsburgh Steelers,16,454,1617,12,3.6,101.1
5,Denver Broncos,16,435,1664,10,3.8,104.0
6,Seattle Seahawks,16,475,1789,11,3.8,111.8
7,San Francisco 49ers,16,432,1795,10,4.2,112.2
8,Detroit Lions,16,519,1808,17,3.5,113.0
9,New York Giants,16,474,1818,10,3.8,113.6
10,San Diego Chargers,16,457,1851,23,4.1,115.7
11,Cincinnati Bengals,16,477,1868,21,3.9,116.8
12,New England Patriots,16,498,1886,11,3.8,117.9
13,Los Angeles Raiders,16,517,1892,12,3.7,118.3
14,St. Louis Cardinals,16,442,1923,11,4.4,120.2
15,Cleveland Browns,16,494,1945,10,3.9,121.6
16,Kansas City Chiefs,16,523,1980,10,3.8,123.8
17,Indianapolis Colts,16,559,2007,16,3.6,125.4
18,New York Jets,16,497,2064,16,4.2,129.0
19,Buffalo Bills,16,531,2106,19,4.0,131.6
20,Green Bay Packers,16,545,2145,14,3.9,134.1
21,Atlanta Falcons,16,538,2153,16,4.0,134.6
22,Miami Dolphins,16,458,2155,16,4.7,134.7
23,Philadelphia Eagles,16,556,2189,12,3.9,136.8
24,Dallas Cowboys,16,510,2226,8,4.4,139.1
25,Tampa Bay Buccaneers,16,511,2233,27,4.4,139.6
26,New Orleans Saints,16,549,2461,13,4.5,153.8
27,Minnesota Vikings,16,547,2573,20,4.7,160.8
28,Houston Oilers,16,596,2789,27,4.7,174.3
,Avg Team,,493.3,1982.3,14.6,4.0,123.9
,League Total,,13811,55503,410,4.0,123.9
,Avg Tm/G,,30.8,123.9,0.9,4.0,123.9
