Rk,Tm,G,Att,Yds,TD,Y/A,Y/G
1,New Orleans Saints,16,373,1326,10,3.6,82.9
2,Washington Redskins,16,384,1344,9,3.5,84.0
3,San Francisco 49ers,16,372,1383,9,3.7,86.4
4,New York Giants,16,421,1539,10,3.7,96.2
5,Los Angeles Rams,16,404,1543,13,3.8,96.4
6,Denver Broncos,16,426,1580,10,3.7,98.8
7,Philadelphia Eagles,16,426,1605,6,3.8,100.3
8,Detroit Lions,16,454,1621,18,3.6,101.3
9,Houston Oilers,16,437,1669,20,3.8,104.3
10,Cleveland Browns,16,446,1670,8,3.7,104.4
11,Minnesota Vikings,16,462,1683,14,3.6,105.2
12,Kansas City Chiefs,16,445,1766,9,4.0,110.4
13,San Diego Chargers,16,479,1813,13,3.8,113.3
14,Buffalo Bills,16,484,1840,15,3.8,115.0
15,Chicago Bears,16,446,1897,21,4.3,118.6
16,Los Angeles Raiders,16,504,1940,15,3.8,121.3
17,New England Patriots,16,495,1978,19,4.0,123.6
18,Dallas Cowboys,16,543,1991,17,3.7,124.4
19,Green Bay Packers,16,460,2008,15,4.4,125.5
20,Pittsburgh Steelers,16,498,2008,16,4.0,125.5
21,Tampa Bay Buccaneers,16,479,2023,18,4.2,126.4
22,Indianapolis Colts,16,507,2077,10,4.1,129.8
23,Seattle Seahawks,16,520,2118,11,4.1,132.4
24,New York Jets,16,517,2136,16,4.1,133.5
25,Miami Dolphins,16,493,2153,19,4.4,134.6
26,Cincinnati Bengals,16,482,2162,9,4.5,135.1
27,Phoenix Cardinals,16,539,2302,12,4.3,143.9
28,Atlanta Falcons,16,572,2471,26,4.3,154.4
,Avg Team,,466.7,1844.5,13.9,4.0,115.3
,League Total,,13068,51646,388,4.0,115.3
,Avg Tm/G,,29.2,115.3,0.9,4.0,115.3
