Rk,Tm,G,Att,Yds,TD,Y/A,Y/G,EXP
1,Pittsburgh Steelers,16,359,1375,16,3.8,85.9,54.26
2,Tennessee Titans,16,372,1424,7,3.8,89.0,42.35
3,Oakland Raiders,16,384,1453,14,3.8,90.8,53.75
4,Denver Broncos,16,379,1489,21,3.9,93.1,11.41
5,Miami Dolphins,16,407,1554,9,3.8,97.1,32.06
6,Tampa Bay Buccaneers,16,410,1554,8,3.8,97.1,33.06
7,San Francisco 49ers,16,394,1652,14,4.2,103.3,26.74
8,Carolina Panthers,16,448,1653,12,3.7,103.3,63.80
9,Philadelphia Eagles,16,390,1660,5,4.3,103.8,76.18
10,Minnesota Vikings,16,394,1666,15,4.2,104.1,35.16
11,San Diego Chargers,16,410,1739,15,4.2,108.7,6.38
12,Washington Redskins,16,435,1754,14,4.0,109.6,18.26
13,Baltimore Ravens,16,471,1762,17,3.7,110.1,29.14
14,St. Louis Rams,16,445,1816,15,4.1,113.5,19.31
15,Dallas Cowboys,16,481,1818,10,3.8,113.6,56.24
16,New York Giants,16,407,1830,12,4.5,114.4,22.40
17,Detroit Lions,16,495,1967,19,4.0,122.9,26.90
18,New York Jets,16,427,1973,17,4.6,123.3,-24.29
19,New Orleans Saints,16,439,1991,18,4.5,124.4,14.96
20,Indianapolis Colts,16,459,1992,16,4.3,124.5,10.18
21,Green Bay Packers,16,413,1998,14,4.8,124.9,3.56
22,Cincinnati Bengals,16,498,2003,16,4.0,125.2,33.48
23,Atlanta Falcons,16,441,2047,12,4.6,127.9,27.78
24,Kansas City Chiefs,16,431,2067,19,4.8,129.2,-36.80
25,Jacksonville Jaguars,16,487,2071,14,4.3,129.4,6.44
26,Chicago Bears,16,504,2076,13,4.1,129.8,54.08
27,Cleveland Browns,16,483,2079,12,4.3,129.9,14.70
28,Houston Texans,16,509,2089,14,4.1,130.6,19.17
29,Buffalo Bills,16,473,2122,20,4.5,132.6,-0.18
30,Arizona Cardinals,16,490,2146,17,4.4,134.1,8.44
31,New England Patriots,16,467,2198,17,4.7,137.4,-35.42
32,Seattle Seahawks,16,500,2441,18,4.9,152.6,-20.79
,Avg Team,,440.7,1858.1,14.4,4.2,116.1,21.3
,League Total,,14102,59459,460,4.2,116.1,
,Avg Tm/G,,27.5,116.1,0.9,4.2,116.1,
