Rk,Tm,G,Att,Yds,TD,Y/A,Y/G
1,Chicago Bears,15,412,1413,5,3.4,94.2
2,Cleveland Browns,15,401,1433,7,3.6,95.5
3,New Orleans Saints,15,388,1550,6,4.0,103.3
4,Pittsburgh Steelers,15,455,1610,8,3.5,107.3
5,San Francisco 49ers,15,429,1611,8,3.8,107.4
6,Dallas Cowboys,15,459,1617,19,3.5,107.8
7,Los Angeles Raiders,15,469,1637,12,3.5,109.1
8,Cincinnati Bengals,15,441,1641,15,3.7,109.4
9,Philadelphia Eagles,15,428,1643,16,3.8,109.5
10,Washington Redskins,15,441,1679,10,3.8,111.9
11,Minnesota Vikings,15,440,1724,9,3.9,114.9
12,Los Angeles Rams,15,419,1732,8,4.1,115.5
13,New York Giants,15,493,1768,14,3.6,117.9
14,New England Patriots,15,490,1778,13,3.6,118.5
15,Indianapolis Colts,15,463,1790,6,3.9,119.3
16,New York Jets,15,476,1835,15,3.9,122.3
17,Houston Oilers,15,446,1848,10,4.1,123.2
18,Green Bay Packers,15,521,1920,15,3.7,128.0
19,St. Louis Cardinals,15,492,2001,16,4.1,133.4
20,Denver Broncos,15,454,2017,16,4.4,134.5
21,Tampa Bay Buccaneers,15,500,2038,18,4.1,135.9
22,Buffalo Bills,15,541,2052,11,3.8,136.8
23,Detroit Lions,15,504,2070,18,4.1,138.0
24,San Diego Chargers,15,522,2171,14,4.2,144.7
25,Miami Dolphins,15,498,2198,18,4.4,146.5
26,Seattle Seahawks,15,472,2201,14,4.7,146.7
27,Kansas City Chiefs,15,535,2333,16,4.4,155.5
28,Atlanta Falcons,15,600,2734,24,4.6,182.3
,Avg Team,,471.0,1858.7,12.9,3.9,123.9
,League Total,,13189,52044,361,3.9,123.9
,Avg Tm/G,,31.4,123.9,0.9,3.9,123.9
