Rk,Tm,G,Att,Yds,TD,Y/A,Y/G
1,St. Louis Rams,16,338,1189,4,3.5,74.3
2,Baltimore Ravens,16,392,1231,6,3.1,76.9
3,San Diego Chargers,16,432,1321,8,3.1,82.6
4,Buffalo Bills,16,407,1370,9,3.4,85.6
5,Tampa Bay Buccaneers,16,361,1407,8,3.9,87.9
6,Dallas Cowboys,16,417,1442,6,3.5,90.1
7,Jacksonville Jaguars,16,373,1444,6,3.9,90.3
8,Miami Dolphins,16,413,1476,6,3.6,92.3
9,Detroit Lions,16,393,1531,12,3.9,95.7
10,Tennessee Titans,16,383,1550,8,4.0,96.9
11,Kansas City Chiefs,16,415,1557,10,3.8,97.3
12,Oakland Raiders,16,398,1559,10,3.9,97.4
13,New York Giants,16,447,1560,13,3.5,97.5
14,Minnesota Vikings,16,413,1617,9,3.9,101.1
15,San Francisco 49ers,16,426,1619,11,3.8,101.2
16,Cincinnati Bengals,16,454,1699,22,3.7,106.2
17,New York Jets,16,430,1703,16,4.0,106.4
18,Indianapolis Colts,16,406,1715,12,4.2,107.2
19,Denver Broncos,16,440,1737,15,3.9,108.6
20,New Orleans Saints,16,432,1774,15,4.1,110.9
21,New England Patriots,16,486,1795,6,3.7,112.2
22,Green Bay Packers,16,472,1804,16,3.8,112.8
23,Chicago Bears,16,438,1882,11,4.3,117.6
24,Carolina Panthers,16,450,1898,13,4.2,118.6
25,Seattle Seahawks,16,484,1934,9,4.0,120.9
26,Pittsburgh Steelers,16,451,1958,10,4.3,122.4
27,Washington Redskins,16,439,1973,16,4.5,123.3
28,Philadelphia Eagles,16,519,2001,12,3.9,125.1
29,Atlanta Falcons,16,487,2072,18,4.3,129.5
30,Arizona Cardinals,16,542,2265,17,4.2,141.6
31,Cleveland Browns,16,610,2736,29,4.5,171.0
,Avg Team,,437.0,1703.8,11.7,3.9,106.5
,League Total,,13548,52819,363,3.9,106.5
,Avg Tm/G,,27.3,106.5,0.7,3.9,106.5
