Rk,Tm,G,Att,Yds,TD,Y/A,Y/G
1,Detroit Lions,16,469,1623,14,3.5,101.4
2,Atlanta Falcons,16,459,1666,10,3.6,104.1
3,Kansas City Chiefs,16,507,1747,17,3.4,109.2
4,Philadelphia Eagles,16,476,1751,11,3.7,109.4
5,San Diego Chargers,16,491,1825,25,3.7,114.1
6,Oakland Raiders,16,524,1832,15,3.5,114.5
7,New York Jets,16,465,1867,19,4.0,116.7
8,Pittsburgh Steelers,16,500,1869,10,3.7,116.8
9,Cincinnati Bengals,16,465,1881,12,4.0,117.6
10,New York Giants,16,553,1891,10,3.4,118.2
11,New Orleans Saints,16,504,1916,17,3.8,119.8
12,San Francisco 49ers,16,464,1918,10,4.1,119.9
13,Denver Broncos,16,467,2005,17,4.3,125.3
14,Miami Dolphins,16,492,2032,10,4.1,127.0
15,Minnesota Vikings,16,540,2045,15,3.8,127.8
16,Dallas Cowboys,16,468,2049,16,4.4,128.1
17,Buffalo Bills,16,516,2075,7,4.0,129.7
18,Cleveland Browns,16,516,2078,14,4.0,129.9
19,Green Bay Packers,16,546,2098,21,3.8,131.1
20,Chicago Bears,16,521,2146,13,4.1,134.1
21,Washington Redskins,16,532,2161,17,4.1,135.1
22,Tampa Bay Buccaneers,16,551,2172,16,3.9,135.8
23,Los Angeles Rams,16,585,2397,19,4.1,149.8
24,Houston Oilers,16,549,2411,16,4.4,150.7
25,St. Louis Cardinals,16,509,2428,20,4.8,151.8
26,Baltimore Colts,16,607,2665,30,4.4,166.6
27,Seattle Seahawks,16,588,2806,20,4.8,175.4
28,New England Patriots,16,644,2950,20,4.6,184.4
,Avg Team,,518.1,2082.3,15.8,4.0,130.1
,League Total,,14508,58304,441,4.0,130.1
,Avg Tm/G,,32.4,130.1,1.0,4.0,130.1
