Rk,Tm,G,Att,Yds,TD,Y/A,Y/G,EXP
1,Pittsburgh Steelers,16,357,1299,8,3.6,81.2,39.46
2,Washington Redskins,16,419,1304,7,3.1,81.5,86.18
3,San Diego Chargers,16,355,1307,15,3.7,81.7,12.47
4,Denver Broncos,16,396,1512,16,3.8,94.5,29.95
5,New York Jets,16,432,1566,8,3.6,97.9,70.85
6,New England Patriots,16,405,1572,9,3.9,98.3,64.34
7,Buffalo Bills,16,447,1604,6,3.6,100.3,78.89
8,Baltimore Ravens,16,469,1681,9,3.6,105.1,58.85
9,Atlanta Falcons,16,434,1681,20,3.9,105.1,15.70
10,Dallas Cowboys,16,425,1764,14,4.2,110.3,5.70
11,Jacksonville Jaguars,16,438,1777,7,4.1,111.1,37.83
12,Kansas City Chiefs,16,397,1834,18,4.6,114.6,-2.65
13,Houston Texans,16,417,1843,4,4.4,115.2,20.46
14,Green Bay Packers,16,409,1878,12,4.6,117.4,0.76
15,Detroit Lions,16,498,1887,10,3.8,117.9,33.52
16,Philadelphia Eagles,16,442,1903,13,4.3,118.9,19.44
17,Carolina Panthers,16,474,1904,19,4.0,119.0,31.28
18,Tennessee Titans,16,421,1917,18,4.6,119.8,1.83
19,Tampa Bay Buccaneers,16,480,1973,8,4.1,123.3,31.02
20,San Francisco 49ers,16,495,1995,22,4.0,124.7,22.01
21,Minnesota Vikings,16,435,2006,15,4.6,125.4,-21.34
22,Oakland Raiders,16,537,2012,21,3.7,125.8,44.13
23,Seattle Seahawks,16,452,2031,17,4.5,126.9,-7.28
24,Indianapolis Colts,16,440,2037,12,4.6,127.3,4.47
25,Chicago Bears,16,496,2050,9,4.1,128.1,77.60
26,Cincinnati Bengals,16,474,2062,11,4.4,128.9,16.62
27,Arizona Cardinals,16,450,2105,12,4.7,131.6,53.70
28,New York Giants,16,498,2157,13,4.3,134.8,53.05
29,St. Louis Rams,16,480,2179,13,4.5,136.2,-25.90
30,New Orleans Saints,16,485,2253,16,4.6,140.8,-7.49
31,Miami Dolphins,16,539,2302,12,4.3,143.9,37.17
32,Cleveland Browns,16,532,2314,22,4.3,144.6,6.43
,Avg Team,,450.9,1865.9,13.0,4.1,116.6,27.8
,League Total,,14428,59709,416,4.1,116.6,
,Avg Tm/G,,28.2,116.6,0.8,4.1,116.6,
