Rk,Tm,G,Att,Yds,TD,Y/A,Y/G
1,Houston Oilers,16,369,1273,9,3.4,79.6
2,San Diego Chargers,16,414,1314,10,3.2,82.1
3,Pittsburgh Steelers,16,399,1368,6,3.4,85.5
4,Denver Broncos,16,397,1418,6,3.6,88.6
5,New York Jets,16,420,1473,8,3.5,92.1
6,Minnesota Vikings,16,415,1536,14,3.7,96.0
7,New York Giants,16,395,1547,7,3.9,96.7
8,Green Bay Packers,16,424,1582,6,3.7,98.9
9,Kansas City Chiefs,16,453,1620,11,3.6,101.3
10,Detroit Lions,16,433,1649,12,3.8,103.1
11,Dallas Cowboys,16,423,1651,7,3.9,103.2
12,Cleveland Browns,16,451,1654,9,3.7,103.4
13,Seattle Seahawks,16,452,1660,12,3.7,103.8
14,Miami Dolphins,16,460,1665,12,3.6,104.1
15,Atlanta Falcons,16,419,1784,14,4.3,111.5
16,San Francisco 49ers,16,404,1800,6,4.5,112.5
17,Chicago Bears,16,476,1835,9,3.9,114.7
18,Los Angeles Rams,16,480,1851,18,3.9,115.7
19,Phoenix Cardinals,16,433,1861,13,4.3,116.3
20,Los Angeles Raiders,16,494,1865,17,3.8,116.6
21,Buffalo Bills,16,500,1921,7,3.8,120.1
22,New England Patriots,16,505,1951,9,3.9,121.9
23,Tampa Bay Buccaneers,16,479,1994,15,4.2,124.6
24,Philadelphia Eagles,16,467,2080,11,4.5,130.0
25,New Orleans Saints,16,513,2090,7,4.1,130.6
26,Washington Redskins,16,513,2112,14,4.1,132.0
27,Cincinnati Bengals,16,521,2220,15,4.3,138.8
28,Indianapolis Colts,16,575,2521,20,4.4,157.6
,Avg Team,,453.0,1760.5,10.9,3.9,110.0
,League Total,,12684,49295,304,3.9,110.0
,Avg Tm/G,,28.3,110.0,0.7,3.9,110.0
