Rk,Tm,G,Att,Yds,TD,Y/A,Y/G
1,New York Giants,16,350,1284,10,3.7,80.3
2,Chicago Bears,16,427,1463,4,3.4,91.4
3,San Francisco 49ers,16,406,1555,8,3.8,97.2
4,New Orleans Saints,16,486,1559,11,3.2,97.4
5,Denver Broncos,16,432,1651,13,3.8,103.2
6,New York Jets,16,450,1661,12,3.7,103.8
7,San Diego Chargers,16,475,1678,14,3.5,104.9
8,Los Angeles Rams,16,460,1681,9,3.7,105.1
9,Buffalo Bills,16,465,1721,18,3.7,107.6
10,Los Angeles Raiders,16,439,1728,19,3.9,108.0
11,Kansas City Chiefs,16,485,1739,13,3.6,108.7
12,Seattle Seahawks,16,471,1759,12,3.7,109.9
13,Minnesota Vikings,16,481,1796,10,3.7,112.3
14,Washington Redskins,16,459,1805,14,3.9,112.8
15,Pittsburgh Steelers,16,471,1872,10,4.0,117.0
16,Atlanta Falcons,16,485,1916,10,4.0,119.8
17,Indianapolis Colts,16,517,1962,14,3.8,122.6
18,Cleveland Browns,16,494,1981,12,4.0,123.8
19,Philadelphia Eagles,16,458,1989,14,4.3,124.3
20,Houston Oilers,16,532,2035,13,3.8,127.2
21,Green Bay Packers,16,565,2095,16,3.7,130.9
22,Cincinnati Bengals,16,514,2122,23,4.1,132.6
23,Dallas Cowboys,16,500,2200,17,4.4,137.5
24,New England Patriots,16,510,2203,19,4.3,137.7
25,St. Louis Cardinals,16,560,2227,17,4.0,139.2
26,Detroit Lions,16,519,2349,15,4.5,146.8
27,Miami Dolphins,16,540,2493,23,4.6,155.8
28,Tampa Bay Buccaneers,16,558,2648,31,4.7,165.5
,Avg Team,,482.5,1899.0,14.3,3.9,118.7
,League Total,,13509,53172,401,3.9,118.7
,Avg Tm/G,,30.2,118.7,0.9,3.9,118.7
