Rk,Tm,G,Att,Yds,TD,Y/A,Y/G,EXP
1,Minnesota Vikings,16,371,1230,10,3.3,76.9,88.01
2,Pittsburgh Steelers,16,390,1284,7,3.3,80.3,76.59
3,Baltimore Ravens,16,366,1302,4,3.6,81.4,94.35
4,Philadelphia Eagles,16,421,1476,7,3.5,92.3,61.42
5,Chicago Bears,16,437,1496,16,3.4,93.5,48.03
6,Tennessee Titans,16,403,1502,12,3.7,93.9,37.62
7,New York Jets,16,407,1518,10,3.7,94.9,49.68
8,Washington Redskins,16,398,1526,12,3.8,95.4,41.30
9,New York Giants,16,386,1533,14,4.0,95.8,24.41
10,Miami Dolphins,16,388,1620,11,4.2,101.3,3.41
11,San Diego Chargers,16,408,1641,11,4.0,102.6,6.93
12,Dallas Cowboys,16,402,1706,11,4.2,106.6,31.71
13,Jacksonville Jaguars,16,428,1709,14,4.0,106.8,27.25
14,San Francisco 49ers,16,452,1709,14,3.8,106.8,17.82
15,New England Patriots,16,415,1722,8,4.1,107.6,36.52
16,Arizona Cardinals,16,445,1764,13,4.0,110.3,27.01
17,New Orleans Saints,16,445,1885,14,4.2,117.8,-11.74
18,Seattle Seahawks,16,457,1899,13,4.2,118.7,26.68
19,Tampa Bay Buccaneers,16,441,1901,8,4.3,118.8,31.41
20,Carolina Panthers,16,432,1912,14,4.4,119.5,9.47
21,Cincinnati Bengals,16,490,1921,15,3.9,120.1,29.93
22,Buffalo Bills,16,455,1946,18,4.3,121.6,13.77
23,Houston Texans,16,439,1962,18,4.5,122.6,-26.27
24,Indianapolis Colts,16,472,1966,18,4.2,122.9,-12.31
25,Atlanta Falcons,16,415,2040,17,4.9,127.5,-20.95
26,Green Bay Packers,16,458,2105,20,4.6,131.6,-25.59
27,Denver Broncos,16,469,2337,26,5.0,146.1,-28.85
28,Cleveland Browns,16,541,2431,16,4.5,151.9,13.44
29,St. Louis Rams,16,501,2475,26,4.9,154.7,-31.08
30,Kansas City Chiefs,16,509,2543,25,5.0,158.9,-16.22
31,Oakland Raiders,16,542,2555,23,4.7,159.7,-29.62
32,Detroit Lions,16,536,2754,31,5.1,172.1,-46.40
,Avg Team,,441.2,1855.3,14.9,4.2,116.0,17.1
,League Total,,14119,59370,476,4.2,116.0,
,Avg Tm/G,,27.6,116.0,0.9,4.2,116.0,
