Rk,Tm,G,Att,Yds,TD,Y/A,Y/G
1,San Diego Chargers,16,422,1140,12,2.7,71.3
2,Atlanta Falcons,16,361,1203,7,3.3,75.2
3,Denver Broncos,16,356,1287,8,3.6,80.4
4,Green Bay Packers,16,390,1442,7,3.7,90.1
5,Buffalo Bills,16,375,1493,11,4.0,93.3
6,Miami Dolphins,16,395,1511,6,3.8,94.4
7,New England Patriots,16,447,1547,8,3.5,96.7
8,Tampa Bay Buccaneers,16,415,1583,12,3.8,98.9
9,San Francisco 49ers,16,395,1610,13,4.1,100.6
10,Tennessee Oilers,16,414,1610,9,3.9,100.6
11,Minnesota Vikings,16,404,1614,12,4.0,100.9
12,Dallas Cowboys,16,401,1619,10,4.0,101.2
13,Pittsburgh Steelers,16,479,1642,8,3.4,102.6
14,New York Jets,16,400,1659,11,4.1,103.7
15,Oakland Raiders,16,482,1674,8,3.5,104.6
16,New Orleans Saints,16,467,1700,13,3.6,106.3
17,Baltimore Ravens,16,472,1705,12,3.6,106.6
18,Kansas City Chiefs,16,491,1869,22,3.8,116.8
19,Chicago Bears,16,479,1875,12,3.9,117.2
20,Arizona Cardinals,16,492,1989,18,4.0,124.3
21,Seattle Seahawks,16,487,1999,13,4.1,124.9
22,Jacksonville Jaguars,16,450,2000,9,4.4,125.0
23,New York Giants,16,476,2004,13,4.2,125.3
24,St. Louis Rams,16,479,2049,11,4.3,128.1
25,Detroit Lions,16,487,2102,15,4.3,131.4
26,Carolina Panthers,16,491,2133,14,4.3,133.3
27,Philadelphia Eagles,16,528,2416,18,4.6,151.0
28,Washington Redskins,16,531,2436,24,4.6,152.3
29,Indianapolis Colts,16,544,2570,20,4.7,160.6
30,Cincinnati Bengals,16,558,2612,23,4.7,163.3
,Avg Team,,452.3,1803.1,12.6,4.0,112.7
,League Total,,13568,54093,379,4.0,112.7
,Avg Tm/G,,28.3,112.7,0.8,4.0,112.7
