Rk,Tm,G,Att,Yds,TD,Y/A,Y/G,EXP
1,Baltimore Ravens,16,361,970,5,2.7,60.6,154.00
2,New York Giants,16,359,1156,7,3.2,72.3,68.28
3,Tennessee Titans,16,387,1390,7,3.6,86.9,87.71
4,San Diego Chargers,16,470,1422,10,3.0,88.9,93.93
5,Oakland Raiders,16,383,1551,8,4.0,96.9,80.59
6,Buffalo Bills,16,444,1559,13,3.5,97.4,68.69
7,Denver Broncos,16,344,1598,13,4.6,99.9,31.28
8,Green Bay Packers,16,417,1618,7,3.9,101.1,36.63
9,Tampa Bay Buccaneers,16,398,1648,12,4.1,103.0,14.34
10,New Orleans Saints,16,395,1672,14,4.2,104.5,11.27
11,Jacksonville Jaguars,16,436,1685,14,3.9,105.3,47.69
12,Pittsburgh Steelers,16,425,1693,9,4.0,105.8,67.60
13,St. Louis Rams,16,383,1697,18,4.4,106.1,11.82
14,Miami Dolphins,16,417,1736,9,4.2,108.5,40.55
15,Minnesota Vikings,16,396,1788,17,4.5,111.8,-8.75
16,San Francisco 49ers,16,435,1794,22,4.1,112.1,-15.60
17,Kansas City Chiefs,16,441,1809,13,4.1,113.1,44.62
18,Detroit Lions,16,421,1823,14,4.3,113.9,34.51
19,Chicago Bears,16,469,1827,15,3.9,114.2,19.23
20,Philadelphia Eagles,16,453,1830,10,4.0,114.4,57.25
21,New England Patriots,16,495,1831,12,3.7,114.4,56.12
22,Washington Redskins,16,430,1853,9,4.3,115.8,18.48
23,New York Jets,16,476,1888,9,4.0,118.0,47.94
24,Cincinnati Bengals,16,504,1925,12,3.8,120.3,81.27
25,Indianapolis Colts,16,446,1935,13,4.3,120.9,-11.19
26,Carolina Panthers,16,426,1944,12,4.6,121.5,35.19
27,Atlanta Falcons,16,453,1983,16,4.4,123.9,13.19
28,Seattle Seahawks,16,503,2454,20,4.9,153.4,11.98
29,Cleveland Browns,16,594,2505,26,4.2,156.6,-14.42
30,Arizona Cardinals,16,578,2609,29,4.5,163.1,-16.29
31,Dallas Cowboys,16,538,2636,17,4.9,164.8,-22.40
,Avg Team,,441.2,1800.9,13.3,4.1,112.6,37.0
,League Total,,13677,55829,412,4.1,112.6,
,Avg Tm/G,,27.6,112.6,0.8,4.1,112.6,
