Rk,Tm,G,Att,Yds,TD,Y/A,Y/G
1,San Francisco 49ers,16,348,1061,5,3.0,66.3
2,Pittsburgh Steelers,16,370,1321,9,3.6,82.6
3,Kansas City Chiefs,16,404,1327,7,3.3,82.9
4,Minnesota Vikings,16,352,1329,11,3.8,83.1
5,Chicago Bears,16,405,1441,9,3.6,90.1
6,Indianapolis Colts,16,418,1457,8,3.5,91.1
7,Green Bay Packers,16,374,1515,12,4.1,94.7
8,Houston Oilers,16,400,1526,11,3.8,95.4
9,Atlanta Falcons,16,404,1547,12,3.8,96.7
10,Carolina Panthers,16,450,1576,17,3.5,98.5
11,Buffalo Bills,16,453,1626,16,3.6,101.6
12,Miami Dolphins,16,415,1675,7,4.0,104.7
13,St. Louis Rams,16,410,1677,14,4.1,104.8
14,San Diego Chargers,16,441,1691,15,3.8,105.7
15,Tampa Bay Buccaneers,16,449,1754,14,3.9,109.6
16,Dallas Cowboys,16,442,1772,13,4.0,110.8
17,Oakland Raiders,16,446,1794,15,4.0,112.1
18,Detroit Lions,16,409,1795,15,4.4,112.2
19,Philadelphia Eagles,16,466,1822,14,3.9,113.9
20,Cleveland Browns,16,480,1826,15,3.8,114.1
21,New Orleans Saints,16,469,1838,13,3.9,114.9
22,New England Patriots,16,448,1878,12,4.2,117.4
23,Denver Broncos,16,451,1895,19,4.2,118.4
24,Jacksonville Jaguars,16,504,2003,17,4.0,125.2
25,New York Jets,16,526,2016,15,3.8,126.0
26,Cincinnati Bengals,16,483,2104,10,4.4,131.5
27,New York Giants,16,500,2109,17,4.2,131.8
28,Seattle Seahawks,16,496,2130,11,4.3,133.1
29,Washington Redskins,16,483,2132,18,4.4,133.3
30,Arizona Cardinals,16,503,2249,14,4.5,140.6
,Avg Team,,440.0,1729.5,12.8,3.9,108.1
,League Total,,13199,51886,385,3.9,108.1
,Avg Tm/G,,27.5,108.1,0.8,3.9,108.1
