Rk,Tm,G,Att,Yds,TD,Y/A,Y/G
1,Chicago Bears,16,359,1319,6,3.7,82.4
2,New York Giants,16,419,1482,9,3.5,92.6
3,New York Jets,16,433,1516,10,3.5,94.8
4,Los Angeles Rams,16,444,1586,9,3.6,99.1
5,Los Angeles Raiders,16,461,1605,7,3.5,100.3
6,New England Patriots,16,466,1655,15,3.6,103.4
7,San Francisco 49ers,16,435,1683,10,3.9,105.2
8,Washington Redskins,16,424,1734,11,4.1,108.4
9,Seattle Seahawks,16,473,1837,12,3.9,114.8
10,Cleveland Browns,16,497,1851,14,3.7,115.7
11,Dallas Cowboys,16,465,1853,18,4.0,115.8
12,Pittsburgh Steelers,16,470,1876,19,4.0,117.3
13,San Diego Chargers,16,470,1972,25,4.2,123.3
14,Denver Broncos,16,475,1973,10,4.2,123.3
15,Cincinnati Bengals,16,461,1999,23,4.3,124.9
16,Green Bay Packers,16,494,2047,17,4.1,127.9
17,Atlanta Falcons,16,437,2052,24,4.7,128.3
18,Indianapolis Colts,16,539,2145,20,4.0,134.1
19,New Orleans Saints,16,508,2162,19,4.3,135.1
20,Kansas City Chiefs,16,513,2169,18,4.2,135.6
21,Philadelphia Eagles,16,526,2205,17,4.2,137.8
22,Minnesota Vikings,16,542,2223,16,4.1,138.9
23,Miami Dolphins,16,509,2256,15,4.4,141.0
24,St. Louis Cardinals,16,552,2378,11,4.3,148.6
25,Tampa Bay Buccaneers,16,547,2430,28,4.4,151.9
26,Buffalo Bills,16,569,2462,20,4.3,153.9
27,Detroit Lions,16,560,2685,19,4.8,167.8
28,Houston Oilers,16,588,2814,21,4.8,175.9
,Avg Team,,487.0,1998.9,15.8,4.1,124.9
,League Total,,13636,55969,443,4.1,124.9
,Avg Tm/G,,30.4,124.9,1.0,4.1,124.9
