Rk,Tm,G,Att,Yds,TD,Y/A,Y/G
1,Minnesota Vikings,16,355,1090,9,3.1,68.1
2,San Francisco 49ers,16,375,1338,16,3.6,83.6
3,Green Bay Packers,16,381,1363,9,3.6,85.2
4,Arizona Cardinals,16,409,1370,7,3.3,85.6
5,San Diego Chargers,16,385,1404,11,3.6,87.8
6,Miami Dolphins,16,394,1430,14,3.6,89.4
7,Pittsburgh Steelers,16,421,1452,7,3.4,90.8
8,Buffalo Bills,16,447,1515,10,3.4,94.7
9,Los Angeles Raiders,16,444,1543,11,3.5,96.4
10,Dallas Cowboys,16,437,1561,8,3.6,97.6
11,Philadelphia Eagles,16,449,1616,11,3.6,101.0
12,Indianapolis Colts,16,463,1646,8,3.6,102.9
13,Cleveland Browns,16,465,1669,9,3.6,104.3
14,Atlanta Falcons,16,426,1693,16,4.0,105.8
15,New York Giants,16,447,1728,11,3.9,108.0
16,Kansas City Chiefs,16,446,1734,11,3.9,108.4
17,Denver Broncos,16,432,1752,12,4.1,109.5
18,New Orleans Saints,16,458,1758,10,3.8,109.9
19,New England Patriots,16,422,1760,11,4.2,110.0
20,Los Angeles Rams,16,496,1781,12,3.6,111.3
21,New York Jets,16,463,1809,17,3.9,113.1
22,Detroit Lions,16,511,1859,15,3.6,116.2
23,Cincinnati Bengals,16,517,1906,16,3.7,119.1
24,Chicago Bears,16,432,1922,10,4.4,120.1
25,Seattle Seahawks,16,511,1952,15,3.8,122.0
26,Tampa Bay Buccaneers,16,468,1964,13,4.2,122.8
27,Washington Redskins,16,556,1975,24,3.6,123.4
28,Houston Oilers,16,540,2120,17,3.9,132.5
,Avg Team,,448.2,1668.2,12.1,3.7,104.3
,League Total,,12550,46710,340,3.7,104.3
,Avg Tm/G,,28.0,104.3,0.8,3.7,104.3
