Rk,Tm,G,Att,Yds,TD,Y/A,Y/G
1,Philadelphia Eagles,16,337,1169,9,3.5,73.1
2,San Francisco 49ers,16,353,1258,7,3.6,78.6
3,Atlanta Falcons,16,413,1357,11,3.3,84.8
4,New York Giants,16,388,1459,9,3.8,91.2
5,San Diego Chargers,16,424,1515,10,3.6,94.7
6,New Orleans Saints,16,410,1559,8,3.8,97.4
7,Chicago Bears,16,391,1572,10,4.0,98.3
8,Houston Oilers,16,392,1575,12,4.0,98.4
9,Washington Redskins,16,382,1587,8,4.2,99.2
10,Seattle Seahawks,16,413,1605,7,3.9,100.3
11,Pittsburgh Steelers,16,446,1615,13,3.6,100.9
12,Kansas City Chiefs,16,373,1640,12,4.4,102.5
13,Los Angeles Rams,16,418,1649,17,3.9,103.1
14,Los Angeles Raiders,16,439,1716,4,3.9,107.3
15,Buffalo Bills,16,483,1808,13,3.7,113.0
16,Miami Dolphins,16,461,1831,11,4.0,114.4
17,Denver Broncos,16,456,1963,16,4.3,122.7
18,Dallas Cowboys,16,482,1976,18,4.1,123.5
19,New York Jets,16,423,2018,15,4.8,126.1
20,Green Bay Packers,16,475,2059,16,4.3,128.7
21,Minnesota Vikings,16,503,2074,12,4.1,129.6
22,Cincinnati Bengals,16,442,2085,15,4.7,130.3
23,Cleveland Browns,16,511,2105,21,4.1,131.6
24,Indianapolis Colts,16,513,2212,12,4.3,138.3
25,Tampa Bay Buccaneers,16,496,2223,20,4.5,138.9
26,Phoenix Cardinals,16,521,2318,20,4.4,144.9
27,Detroit Lions,16,532,2388,22,4.5,149.3
28,New England Patriots,16,565,2676,29,4.7,167.3
,Avg Team,,444.4,1821.9,13.5,4.1,113.9
,League Total,,12442,51012,377,4.1,113.9
,Avg Tm/G,,27.8,113.9,0.8,4.1,113.9
