Rk,Tm,G,Att,Yds,TD,Y/A,Y/G
1,Pittsburgh Steelers,16,403,1318,5,3.3,82.4
2,San Francisco 49ers,16,386,1366,5,3.5,85.4
3,New York Giants,16,432,1451,17,3.4,90.7
4,Tennessee Oilers,16,414,1573,12,3.8,98.3
5,New England Patriots,16,436,1616,16,3.7,101.0
6,Tampa Bay Buccaneers,16,420,1617,10,3.9,101.1
7,Kansas City Chiefs,16,413,1621,8,3.9,101.3
8,Atlanta Falcons,16,409,1666,18,4.1,104.1
9,St. Louis Rams,16,440,1687,10,3.8,105.4
10,Baltimore Ravens,16,470,1690,17,3.6,105.6
11,San Diego Chargers,16,453,1698,12,3.7,106.1
12,Seattle Seahawks,16,455,1731,10,3.8,108.2
13,Jacksonville Jaguars,16,455,1734,12,3.8,108.4
14,New Orleans Saints,16,496,1764,11,3.6,110.3
15,Buffalo Bills,16,493,1792,11,3.6,112.0
16,Denver Broncos,16,381,1803,10,4.7,112.7
17,Miami Dolphins,16,443,1813,9,4.1,113.3
18,Detroit Lions,16,471,1833,15,3.9,114.6
19,Chicago Bears,16,421,1858,18,4.4,116.1
20,Green Bay Packers,16,443,1876,16,4.2,117.3
21,New York Jets,16,470,1899,9,4.0,118.7
22,Carolina Panthers,16,497,1973,12,4.0,123.3
23,Minnesota Vikings,16,442,1983,13,4.5,123.9
24,Dallas Cowboys,16,511,1994,12,3.9,124.6
25,Philadelphia Eagles,16,476,2009,16,4.2,125.6
26,Indianapolis Colts,16,438,2034,18,4.6,127.1
27,Arizona Cardinals,16,524,2180,13,4.2,136.3
28,Washington Redskins,16,508,2212,15,4.4,138.3
29,Cincinnati Bengals,16,514,2223,15,4.3,138.9
30,Oakland Raiders,16,525,2246,19,4.3,140.4
,Avg Team,,454.6,1808.7,12.8,4.0,113.0
,League Total,,13639,54260,384,4.0,113.0
,Avg Tm/G,,28.4,113.0,0.8,4.0,113.0
