Rk,Tm,G,Att,Yds,TD,Y/A,Y/G,EXP
1,Green Bay Packers,16,371,1333,5,3.6,83.3,69.79
2,Minnesota Vikings,16,357,1394,5,3.9,87.1,67.02
3,Pittsburgh Steelers,16,372,1438,7,3.9,89.9,14.39
4,Dallas Cowboys,16,365,1448,7,4.0,90.5,32.24
5,Baltimore Ravens,16,435,1492,8,3.4,93.3,62.98
6,San Francisco 49ers,16,426,1552,12,3.6,97.0,71.21
7,Cincinnati Bengals,16,399,1573,12,3.9,98.3,29.40
8,New York Jets,16,420,1578,11,3.8,98.6,43.40
9,Philadelphia Eagles,16,413,1675,11,4.1,104.7,42.07
10,Atlanta Falcons,16,433,1711,10,4.0,106.9,42.48
11,Houston Texans,16,396,1711,17,4.3,106.9,11.03
12,Tennessee Titans,16,402,1711,16,4.3,106.9,9.45
13,New England Patriots,16,398,1768,6,4.4,110.5,21.61
14,New York Giants,16,423,1773,21,4.2,110.8,-7.58
15,Seattle Seahawks,16,428,1776,17,4.1,111.0,49.45
16,Washington Redskins,16,449,1799,10,4.0,112.4,59.90
17,Arizona Cardinals,16,402,1804,13,4.5,112.8,10.99
18,Miami Dolphins,16,435,1835,16,4.2,114.7,3.72
19,Jacksonville Jaguars,16,458,1863,12,4.1,116.4,35.91
20,San Diego Chargers,16,422,1884,10,4.5,117.8,16.75
21,New Orleans Saints,16,435,1955,19,4.5,122.2,-27.56
22,Carolina Panthers,16,450,1997,15,4.4,124.8,16.13
23,Chicago Bears,16,467,2022,14,4.3,126.4,23.05
24,Indianapolis Colts,16,467,2024,10,4.3,126.5,24.49
25,Detroit Lions,16,458,2025,18,4.4,126.6,23.98
26,Denver Broncos,16,458,2059,11,4.5,128.7,18.52
27,St. Louis Rams,16,500,2201,24,4.4,137.6,-8.22
28,Cleveland Browns,16,506,2314,15,4.6,144.6,-10.84
29,Oakland Raiders,16,548,2488,24,4.5,155.5,9.79
30,Buffalo Bills,16,535,2501,19,4.7,156.3,-32.81
31,Kansas City Chiefs,16,531,2504,18,4.7,156.5,-3.47
32,Tampa Bay Buccaneers,16,529,2531,16,4.8,158.2,-8.87
,Avg Team,,440.3,1866.8,13.4,4.2,116.7,22.2
,League Total,,14088,59739,429,4.2,116.7,
,Avg Tm/G,,27.5,116.7,0.8,4.2,116.7,
