Rk,Tm,G,Att,Yds,TD,Y/A,Y/G,EXP
1,Pittsburgh Steelers,16,333,1004,5,3.0,62.8,65.07
2,Chicago Bears,16,386,1441,14,3.7,90.1,65.06
3,New York Jets,16,408,1454,11,3.6,90.9,83.56
4,San Diego Chargers,16,404,1500,14,3.7,93.8,32.30
5,Baltimore Ravens,16,384,1503,5,3.9,93.9,52.16
6,San Francisco 49ers,16,447,1547,9,3.5,96.7,54.40
7,Miami Dolphins,16,447,1601,8,3.6,100.1,49.79
8,New York Giants,16,389,1620,11,4.2,101.3,18.51
9,Minnesota Vikings,16,417,1635,10,3.9,102.2,36.18
10,Atlanta Falcons,16,366,1694,9,4.6,105.9,23.63
11,New England Patriots,16,409,1728,10,4.2,108.0,10.93
12,Dallas Cowboys,16,402,1734,11,4.3,108.4,32.51
13,Houston Texans,16,433,1751,16,4.0,109.4,13.45
14,Kansas City Chiefs,16,408,1764,11,4.3,110.3,28.77
15,Philadelphia Eagles,16,423,1766,12,4.2,110.4,36.38
16,New Orleans Saints,16,421,1797,13,4.3,112.3,27.69
17,St. Louis Rams,16,404,1810,7,4.5,113.1,29.49
18,Green Bay Packers,16,395,1838,6,4.7,114.9,17.94
19,Cincinnati Bengals,16,416,1843,15,4.4,115.2,4.85
20,Tennessee Titans,16,474,1851,7,3.9,115.7,37.12
21,Seattle Seahawks,16,452,1903,13,4.2,118.9,24.81
22,Jacksonville Jaguars,16,416,1945,19,4.7,121.6,1.05
23,Carolina Panthers,16,503,1981,20,3.9,123.8,50.21
24,Detroit Lions,16,443,1999,18,4.5,124.9,-2.91
25,Indianapolis Colts,16,445,2032,14,4.6,127.0,-4.52
26,Washington Redskins,16,444,2041,15,4.6,127.6,18.42
27,Cleveland Browns,16,505,2070,7,4.1,129.4,22.00
28,Tampa Bay Buccaneers,16,444,2107,12,4.7,131.7,4.29
29,Oakland Raiders,16,474,2138,14,4.5,133.6,38.94
30,Arizona Cardinals,16,526,2323,19,4.4,145.2,42.74
31,Denver Broncos,16,531,2473,26,4.7,154.6,-10.21
32,Buffalo Bills,16,571,2714,18,4.8,169.6,-14.92
,Avg Team,,435.0,1831.5,12.5,4.2,114.5,27.8
,League Total,,13920,58607,399,4.2,114.5,
,Avg Tm/G,,27.2,114.5,0.8,4.2,114.5,
