Rk,Tm,G,Att,Yds,TD,Y/A,Y/G,EXP
1,Minnesota Vikings,16,379,1185,7,3.1,74.1,103.43
2,Baltimore Ravens,16,446,1268,9,2.8,79.3,82.08
3,Pittsburgh Steelers,16,361,1438,6,4.0,89.9,22.34
4,Washington Redskins,16,391,1460,10,3.7,91.3,12.80
5,Tennessee Titans,16,369,1478,11,4.0,92.4,13.69
6,Dallas Cowboys,16,381,1513,12,4.0,94.6,25.57
7,Philadelphia Eagles,16,403,1533,10,3.8,95.8,40.76
8,New York Giants,16,408,1563,12,3.8,97.7,47.07
9,Arizona Cardinals,16,407,1567,13,3.9,97.9,35.21
10,New England Patriots,16,360,1572,7,4.4,98.3,-7.17
11,Jacksonville Jaguars,16,390,1605,12,4.1,100.3,20.40
12,Seattle Seahawks,16,422,1644,16,3.9,102.8,64.07
13,New Orleans Saints,16,408,1646,7,4.0,102.9,30.50
14,Green Bay Packers,16,424,1647,6,3.9,102.9,42.39
15,Indianapolis Colts,16,454,1711,10,3.8,106.9,30.25
16,San Diego Chargers,16,416,1712,11,4.1,107.0,41.10
17,Tampa Bay Buccaneers,16,454,1726,11,3.8,107.9,50.81
18,Carolina Panthers,16,472,1771,13,3.8,110.7,46.96
19,Houston Texans,16,417,1825,15,4.4,114.1,-11.13
20,St. Louis Rams,16,445,1844,16,4.1,115.3,16.62
21,Cincinnati Bengals,16,449,1893,11,4.2,118.3,46.34
22,San Francisco 49ers,16,504,1896,9,3.8,118.5,44.03
23,Detroit Lions,16,448,1911,19,4.3,119.4,25.50
24,Chicago Bears,16,454,1967,17,4.3,122.9,47.72
25,Buffalo Bills,16,454,1993,15,4.4,124.6,23.35
26,Atlanta Falcons,16,481,2033,12,4.2,127.1,-4.24
27,Cleveland Browns,16,460,2072,8,4.5,129.5,10.90
28,Kansas City Chiefs,16,481,2089,11,4.3,130.6,24.38
29,New York Jets,16,517,2156,14,4.2,134.8,-15.59
30,Denver Broncos,16,501,2282,14,4.6,142.6,7.01
31,Oakland Raiders,16,486,2334,24,4.8,145.9,-30.90
32,Miami Dolphins,16,544,2456,18,4.5,153.5,-28.69
,Avg Team,,437.1,1774.7,12.1,4.1,110.9,26.8
,League Total,,13986,56790,386,4.1,110.9,
,Avg Tm/G,,27.3,110.9,0.8,4.1,110.9,
