Rk,Tm,G,Att,Yds,TD,Y/A,Y/G
1,Dallas Cowboys,16,345,1244,11,3.6,77.8
2,Buffalo Bills,16,427,1395,8,3.3,87.2
3,San Diego Chargers,16,365,1395,10,3.8,87.2
4,San Francisco 49ers,16,351,1418,5,4.0,88.6
5,Philadelphia Eagles,16,387,1481,4,3.8,92.6
6,Miami Dolphins,16,428,1600,9,3.7,100.0
7,New Orleans Saints,16,381,1605,8,4.2,100.3
8,Cleveland Browns,16,429,1605,5,3.7,100.3
9,Houston Oilers,16,412,1634,6,4.0,102.1
10,Phoenix Cardinals,16,436,1635,13,3.8,102.2
11,Tampa Bay Buccaneers,16,441,1675,15,3.8,104.7
12,Los Angeles Raiders,16,478,1683,17,3.5,105.2
13,Washington Redskins,16,406,1696,11,4.2,106.0
14,Minnesota Vikings,16,438,1733,11,4.0,108.3
15,Kansas City Chiefs,16,441,1787,12,4.1,111.7
16,Green Bay Packers,16,406,1821,12,4.5,113.8
17,Pittsburgh Steelers,16,435,1841,6,4.2,115.1
18,Detroit Lions,16,460,1841,14,4.0,115.1
19,New York Jets,16,460,1919,13,4.2,119.9
20,Seattle Seahawks,16,513,1922,14,3.7,120.1
21,Chicago Bears,16,468,1948,14,4.2,121.8
22,New England Patriots,16,521,1951,15,3.7,121.9
23,Denver Broncos,16,489,1963,10,4.0,122.7
24,Cincinnati Bengals,16,490,2007,15,4.1,125.4
25,New York Giants,16,458,2012,17,4.4,125.8
26,Indianapolis Colts,16,495,2174,16,4.4,135.9
27,Los Angeles Rams,16,467,2230,22,4.8,139.4
28,Atlanta Falcons,16,464,2294,20,4.9,143.4
,Avg Team,,439.0,1768.2,11.9,4.0,110.5
,League Total,,12291,49509,333,4.0,110.5
,Avg Tm/G,,27.4,110.5,0.7,4.0,110.5
