Rk,Tm,G,Att,Yds,TD,Y/A,Y/G,EXP
1,Pittsburgh Steelers,16,339,1195,5,3.5,74.7,71.78
2,Chicago Bears,16,373,1313,6,3.5,82.1,80.51
3,St. Louis Rams,16,366,1374,11,3.8,85.9,31.12
4,Baltimore Ravens,16,410,1411,10,3.4,88.2,76.07
5,Tennessee Titans,16,405,1431,17,3.5,89.4,74.52
6,Denver Broncos,16,406,1492,9,3.7,93.3,55.65
7,San Diego Chargers,16,449,1504,10,3.3,94.0,76.27
8,New York Giants,16,428,1545,7,3.6,96.6,65.78
9,San Francisco 49ers,16,389,1571,9,4.0,98.2,39.09
10,Jacksonville Jaguars,16,469,1611,15,3.4,100.7,70.80
11,Cincinnati Bengals,16,453,1675,10,3.7,104.7,84.93
12,Tampa Bay Buccaneers,16,415,1702,8,4.1,106.4,41.69
13,Dallas Cowboys,16,472,1710,12,3.6,106.9,74.61
14,New Orleans Saints,16,443,1715,15,3.9,107.2,27.38
15,Seattle Seahawks,16,427,1721,9,4.0,107.6,8.26
16,Green Bay Packers,16,406,1769,10,4.4,110.6,16.04
17,Miami Dolphins,16,453,1779,9,3.9,111.2,32.86
18,Philadelphia Eagles,16,455,1837,6,4.0,114.8,66.42
19,New England Patriots,16,429,1855,7,4.3,115.9,29.11
20,Washington Redskins,16,484,1869,10,3.9,116.8,43.33
21,Atlanta Falcons,16,405,1943,13,4.8,121.4,9.05
22,Oakland Raiders,16,433,1988,17,4.6,124.3,1.91
23,Detroit Lions,16,470,1993,15,4.2,124.6,9.06
24,Arizona Cardinals,16,496,2087,10,4.2,130.4,28.40
25,Indianapolis Colts,16,455,2115,20,4.6,132.2,-3.74
26,Buffalo Bills,16,482,2133,20,4.4,133.3,-17.14
27,Kansas City Chiefs,16,481,2140,15,4.4,133.8,12.86
28,New York Jets,16,481,2154,15,4.5,134.6,3.51
29,Cleveland Browns,16,494,2208,11,4.5,138.0,11.28
30,Minnesota Vikings,16,477,2299,21,4.8,143.7,11.52
31,Carolina Panthers,16,521,2301,13,4.4,143.8,38.14
,Avg Team,,440.8,1788.4,11.8,4.1,111.8,37.8
,League Total,,13666,55440,365,4.1,111.8,
,Avg Tm/G,,27.6,111.8,0.7,4.1,111.8,
