Tm,FmbTD,IntTD,OthTD,AllTD,2PM,2PA,Sfty
Miami Dolphins,0.0,0.0,0.0,56.0,0.0,0.0,0.0
New England Patriots,2.0,1.0,2.0,45.0,0.0,0.0,1.0
Cincinnati Bengals,1.0,1.0,0.0,51.0,0.0,0.0,1.0
Minnesota Vikings,0.0,2.0,1.0,48.0,0.0,0.0,0.0
Cleveland Browns,3.0,0.0,2.0,45.0,0.0,0.0,0.0
Denver Broncos,2.0,2.0,0.0,45.0,0.0,0.0,2.0
San Francisco 49ers,0.0,5.0,0.0,43.0,0.0,0.0,0.0
New York Giants,0.0,1.0,1.0,42.0,0.0,0.0,0.0
Washington Redskins,1.0,0.0,0.0,46.0,0.0,0.0,0.0
Seattle Seahawks,0.0,1.0,2.0,43.0,0.0,0.0,0.0
New York Jets,0.0,0.0,0.0,45.0,0.0,0.0,1.0
Kansas City Chiefs,2.0,4.0,3.0,43.0,0.0,0.0,0.0
Chicago Bears,1.0,1.0,1.0,38.0,0.0,0.0,2.0
Dallas Cowboys,0.0,1.0,0.0,43.0,0.0,0.0,0.0
San Diego Chargers,0.0,1.0,0.0,41.0,0.0,0.0,1.0
Los Angeles Raiders,1.0,1.0,1.0,37.0,0.0,0.0,1.0
Los Angeles Rams,2.0,3.0,1.0,37.0,0.0,0.0,1.0
Pittsburgh Steelers,0.0,1.0,0.0,35.0,0.0,0.0,1.0
New Orleans Saints,0.0,1.0,0.0,30.0,0.0,0.0,0.0
Buffalo Bills,2.0,0.0,0.0,34.0,0.0,0.0,0.0
Atlanta Falcons,2.0,2.0,0.0,30.0,0.0,0.0,1.0
Detroit Lions,0.0,0.0,0.0,32.0,0.0,0.0,0.0
Houston Oilers,3.0,0.0,0.0,30.0,0.0,0.0,0.0
Philadelphia Eagles,0.0,0.0,0.0,28.0,0.0,0.0,1.0
Green Bay Packers,0.0,1.0,1.0,29.0,0.0,0.0,0.0
Tampa Bay Buccaneers,2.0,0.0,0.0,27.0,0.0,0.0,0.0
Indianapolis Colts,0.0,0.0,1.0,27.0,0.0,0.0,1.0
St. Louis Cardinals,0.0,0.0,0.0,27.0,0.0,0.0,0.0
Avg Team,0.9,1.0,0.6,38.464285714285715,0.0,0.0,0.5
